,Artist,Album,Release Date,Lyrics
​money machine,100 Gecs,1000 gecs,"{'year': 2019, 'month': 5, 'day': 28}","Hey, you little piss baby
You think you're so fucking cool? Huh?
You think you're so fucking tough?
You talk a lotta big game for someone with such a small truck
Aw, look at those arms
Your arms look so fucking cute, they look like lil' cigarettes
I bet I could smoke you, I could roast you
And then you'd love it and you'd text me I love you""
And then I'd fucking ghost you

With the big boys coming with the big stuff
I feel so clean like a money machine, oh yeah
Big boys coming with the big trucks
Feel so clean like a money machine, oh yeah
Big boys coming with the big trucks
Feel so clean like a money machine, oh yeah
Big boys coming with the picture
Feel so clean like a money machine, oh yeah Oh yeah)

Feel so clean like a money machine
Feel so clean like a money machine
Feel so clean like a money machine
Feel so clean like a money machine
See  gecs Live 
Tell me what's the deal, I've been tryin' to go to bed
I've been up for days, I've been tryna get ahead
Said it all before, and I'll say it once again
I'm better off alone
Tell me what's the deal, I've been tryin' to go to bed
I've been up for days, I've been tryna get ahead
Said it all before, and I'll say it once again
I'm better off alone

With the big boys coming with the big stuff
I feel so clean like a money machine, oh yeah
Big boys coming with the big trucks
Feel so clean like a money machine, oh yeah
Big boys coming with the big trucks
Feel so clean like a money machine, oh yeah
Big boys coming with the picture
Feel so clean like a money machine, oh yeah Oh yeah)

Feel so clean like a money machine
Feel so clean like a money machine
Feel so clean like a money machine
Feel so clean like a money machine"
​hand crushed by a mallet,100 Gecs,1000 gecs,"{'year': 2019, 'month': 5, 'day': 31}","I was tryin' to find a way to kill time
I didn't even get to tell you goodbye
I was tryin' to find a way to kill time
Now you're gone and I can't ever say goodbye

This feeling's goin' to my head, I'm thinkin' things I shouldn't say
You circled me inside my room, I couldn't go another day
This feeling's goin' to my head, I'm thinkin' things I shouldn't say
You circled me inside my room, I couldn't go, go, go, go

Oh my god, what the fuck? Take my hand, crush it up
Spill the blood on the floor, I ain't scared, think there's more
What the fuck? Make it stop, took too long, here right now
On the floor, in the car, smokin' cigs in the bar
I don't want you to think I got bad intentions
Never wanted you inside, you made it your mission, yeah Yeah)
Didn't wanna hurt no one No one)
But you just went and made it fun, fun, fun, fun

Hear you're lookin' for a way to fight the Corpus bride
She's workin' in my mind
And you're lookin' for a way to crush, it's not enough
You fucked up your last try, you cannot try Last try)
We were in the studio, I was just playin'
You were all work and I was all play and
You were talkin' business, aimin' with your weapon
I was on your hit list, I felt the compression
See  gecs Live 
I'll never go, I'll haunt your studio
You won't think of words when you write it up
You'll just hear me singin' this song
You'll think that's okay, you'll just sing along
You just copy everything we do
If I wasn't me, I'd copy me too
You just copy everything we do
If I wasn't me, I'd copy me too"
​stupid horse,100 Gecs,1000 gecs,"{'year': 2019, 'month': 5, 'day': 31}","Pick it up!

Bet my money on a stupid horse, I lost that
So I ran out to the track to get my cash back
I just gotta leave this place with a big bag
So I found the fuckin' jockey and I grabbed that Pick it up!)
Pushed him down to the ground and I punched him in his face In his face!)
Yeah, I stole his phone, that put him in his place In his place!)
Me and the horse, we ran out of the place Out the place!)
Then we drove my Porsche back to my place

Stupid horse, I just fell out of the Porsche
Lost the money in my bank account, oh no
Stupid horse, I just fell out of the Porsche
Lost the money in my bank account, oh no
Stupid horse, I just fell out of the Porsche
Lost the money in my bank account, oh no
Stupid horse, I just fell out of the Porsche
Lost the money in my bank account

Woo!
Pick it up!
See  gecs Live 
Stupid horse and a swordfish dancer Pick it up)
I'm bettin' my money on a fishnet carousel
Go, go, go, go, go so fast now
Go, go, go, go, go so fast now
Racing horses at the derby
Why am I never getting lucky?
I never have any money
I never win any money

Stupid horse, I just fell out of the Porsche
Lost the money in my bank account, oh no
Stupid horse, I just fell out of the Porsche
Lost the money in my bank account, oh no
Stupid horse, I just fell out of the Porsche Oh shit)
Lost the money in my bank account, oh no Oh no)
Stupid horse, I just fell out of the Porsche Oh God)
Lost the money in my bank account, oh no Oh no)
Stupid horse, I just fell out of the Porsche Of the Porsche)
Lost the money in my bank account, oh no Oh no)
Stupid horse, I just fell out of the Porsche Of the Porsche)
Lost the money in my bank account"
800db cloud,100 Gecs,1000 gecs,"{'year': 2019, 'month': 5, 'day': 31}","He said, I love you,"" on the plane, I said, I love you too""
He said, Everything is different now, everything has changed
Always on a plane, always something new""
I said, Nothing's new, nothings changed, I still need you""
I'm 'bout to hit the boof
Smokin’ somethin' new

Rororoll the boof, then I smoke, then it's all gone
Hit that G so hard that I fall off
Taking shots in the dark, that's a bad call
Going straight for your head, got a sawedoff
Go, go, go, go, go) I got a bag on the way
Go, go, go, go, go) Smokin' a zip in a day
Go, go, go, go, go) What were you trying to say?
Go, go, go, go, go) Making it up on the way

I never say what I need, when I need you
Never say what I need, when I need you
I'm good on the weed but I need you
I might hit the weed, I might hit the boof

I'm addicted to Monster, money, and weed, yeah
I'm blowin’ clouds so loud, you cant fuckin' see, yeah
Im addicted to everything that I see, yeah
I'm addicted to making money off me, yeah
I might go and throw my phone into the lake, yeah
It ain't hard to quit caring what you think, yeah
Burnt me one too many times like a tree, yeah
Now there's fire raining down on your screams, yeah
See  gecs Live 
Oh
Yeah
I hit the big boof then its all gone
I hit the big boof then it's gone
I hit the big boof and the weed, yeah
I hit the big boof then it's gone
Boy, shut the fuck up, where's the weed at?
Just shut the fuck up, where's the weed?
Boy, shut the fuck up, where's the weed at?
Just shut the fuck up"
​ringtone,100 Gecs,1000 gecs,"{'year': 2018, 'month': 5, 'day': 31}","My boy's got his own ringtone
It's the only one I know, it's the only one I know
My boy's got his own ringtone
It's the only one I know, it's the only one I know
My boy's got his own ringtone
It's the only one I know, it's the only one I know
My boy's got his own ringtone
It's the only one I know, it's the only one I answer

 missed calls lightin' up my cell phone
Sending you a text sayin', Call you when I get home""
Taking off my work clothes, workin' in a cold one
 group texts,  group DMs
Send another text askin' me if I've seen them
Pushin' back a deadline, gotta make my bedtime
Then I crack a smile, 'cause I love you and I'd do it all again

My boy's got his own ringtone
It's the only one I know, it's the only one I know
My boy's got his own ringtone
It's the only one I know, it's the only one I know
My boy's got his own ringtone
It's the only one I know, it's the only one I know
My boy's got his own ringtone
It's the only one I know, it's the only one I answer
See  gecs Live 
Something's gotta work this time
It's my way of trying to let you know
I've got a little thing for you
I've got a little crush or somethin'
Maybe I'm just drunk as fuck
I customize my ringtone
But it's always you
It's always you
It's always you
It's always you
It's always you

It was always you
Put it on vibrate when I'm with you With you)
Talkin' to myself again Again)
Falling on broken glass
 missed calls, never leave the basement
I don't wanna tell you what I'm really thinking What I'm thinking)
Thinking, what I'm really thinking
Thinking, what I'm really thinking

Used to love that ringtone when you called me
Now it makes me sick
Used to love that ringtone when you called me
Now it makes me sick Sick, sick)
My boy's got his own ringtone
It's the only one I know, it's the only one I know
My boy's got his own ringtone
It's the only one I know, it's the only one I know
My boy's got his own ringtone
It's the only one I know, it's the only one I know
My boy's got his own ringtone
It's the only one I know, it's the only one I answer

My boy's got his own ringtone
It's the only one I know, it's the only one I know
My boy's got his own ringtone
It's the only one I know, it's the only one I answer"
​​ringtone (Remix),100 Gecs,1000 gecs and The Tree of Clues,"{'year': 2020, 'month': 2, 'day': 24}","Oh, oh
Oh, oh
Oh, oh
Oh, oh

When he calls me, I go crazy
Call me with my friends, it doesn't phase me
Windows down, ridin' in the SUV
And I'm spillin' champagne all on my screen, screamin'
Wheels are screechin', hundred miles per hour
He like me 'cause I'm wild, camera phone in the shower
Ringring, gonna let it ring out
Sounds so good, wanna turn it up loud

My boy's got his own ringtone
It's the only one I know, it's the only one I know
My boy's got his own ringtone
It's the only one I know, it's the only one I know
My boy's got his own ringtone
It's the only one I know, it's the only one I know
My boy's got his own ringtone
It's the only one I know, it's the only one I answer
See  gecs Live 
KKB, AAC
Your ringtone could be anything
A barking dog, revved engine
Whatever catches your attention
It's your choice
Would you like to hear my voice?
Or is it hard to talk
When you're scared of where the call is coming from?

My boy's got his own ringtone
It's the only one I know, it's the only one I know
My boy's got his own ringtone
It's the only one I know, it's the only one I know
My boy's got his own ringtone
It's the only one I know, it's the only one I know
My boy's got his own ringtone
It's the only one I know, it's the only one I answer

I think I might be addicted to your kisses
Lovestruck, baby, you're the piece I'm missin'
I know you're what I'm lookin' for and I'm so tired of wishin'
We can do it now or later, it don't make a difference
He sent me a text, says See you when you get here""
I was lonely last week, but I won't be next year
Kiss me on my left cheek, love me like my bestie
On the phone with Ashley, run shit like an athlete
We be at the game, yeah, but we never play them
He could be in danger, I still wouldn't save him
I be in the front like Rudolph the Reindeer
I can tell you got a crush, that's the reason why you came here
You ain't gotta lie, just be honest with yourself
You wouldn't be here if it was for anyone else
My boy's got his own ringtone
It's the only one I know, it's the only one I know
My boy's got his own ringtone
And when he calls me, I don't come home
Throw away my phone, hide it somewhere no one knows
Buried it in the ground, so it can never be found
But I still hear it, I hear the sound of your ringtone
It's a crime, why can't I get you outta my mind?
My boy's got—
Wait, Charli, can you sing the chorus again please?

My boy's got his own ringtone Oh, oh)
It's the only one I know, it's the only one I know Oh, oh)
My boy's got his own ringtone Oh, oh)
It's the only one I know, it's the only one I know Oh, oh)
My boy's got his own ringtone Oh, oh)
It's the only one I know, it's the only one I know Oh, oh)
My boy's got his own ringtone Oh, oh)
It's the only one I know, it's the only one I— Oh, oh)
My boy's got his own ringtone
It's the only one I know, it's the only one I know
My boy's got his own ringtone
It's the only one I know, it's the only one I know
My boy's got his own ringtone
It's the only one I know, it's the only one I know
My boy's got his own ringtone
It's the only one I know, it's the only one I answer
My boy's got his own ringtone
It's the only one I know, it's the only one I know
My boy's got his own ringtone
It's the only one I know, it's the only one I—
My boy's got his own ringtone
It's the only one I know, it's the only one I know
My boy's got his own ringtone
It's the only one I know, it's the only one I answer"
​bloodstains,100 Gecs,100 gecs,"{'year': 2016, 'month': 7, 'day': 15}","I'm just staring at my empty cans that sprawl across my floor
I'm smoking dope in empty cans I got from corner stores
There's broken glass from broken pieces lying in my sink
I'll wash them down with water getting harder ending blinks
I'll hang with this old feeling, treat it like another friend
We'll sit and watch some YouTube videos, we're staying in
We'll feed a doggo playing looking good with new veneer
Then end the night in covers, whisper nothings in my ear

Don't say it's personal
'Cause I'm fine, I can do anything
I don't need you
I don't need you

I've got bloodstains in my bathtub, I've got vomit on my floor
I've got Popov in my vomit, smell it as I leave my door
I've got three cans of Four Loko just to go and see your face
Going through it every weekend just to sleep and leave my place

It's really just a doggo feeling shy about their teeth
I'm walking feeling fall, I might just catch a falling leaf
I'll catch it in my mouth and I'll refuse to tear it up
I'll take it home and put it on my table in a cup
I notice it looks good, sitting next to all my empty shit
I'll clean just a little, just to show it to my friend
I'll notice that they're leaving, but they leave their bags unpacked
They say it's nothing major and they promise to be back
See  gecs Live 
Don't say it's personal
'Cause I'm fine, I can do anything
I don't need you
I don't need you

I've got bloodstains in my bathtub, I've got vomit on my floor
I've got Popov in my vomit, smell it as I leave my door
I've got three cans of Four Loko just to go and see your face
Going through it every weekend just to sleep and leave my place"
745 sticky,100 Gecs,1000 gecs,"{'year': 2019, 'month': 5, 'day': 31}","I make my money on my own, yeah
Wakin' up five in the morning, yeah
Throwin' money in the oven, yeah
Fuck sleep and his cousin, yeah
I've been on a roll, yeah
I spend my money like it's stolen, yeah
Shit, I'm already broke and it's only : in the morning, yeah

Goddamn, what the fuck?
Feel like I'm not good enough
Get off of me, I swear I'll do it all
Do it all, do it all
I can swear I can do it all
Do it all, do it all
I can swear I can do it all

I'm done trying, new plan
Do what I want, don't hold my hand
I can do anything I want, first try
You take like ten tries, hurtin' my eyes
Oh my god)

Batshit, got a check and I spent it
Money got me feelin' like a dentist
I can do anything I put my mind to
You can't do anything even if you wanted to Yeah)
See  gecs Live 
I make my money on my own, yeah
Wakin' up five in the morning, yeah
Throwin' money in the oven, yeah
Fuck sleep and his cousin, yeah
I've been on a roll, yeah
I spend my money like it's stolen, yeah
Shit, I'm already broke and it's only : in the morning, yeah

Goddamn, what the fuck?
Feel like I'm not good enough
Get off of me, I swear I'll do it all
Do it all, do it all
I can swear I can do it all
Do it all, do it all
I can swear I can do it all"
​xXXi_wud_nvrstøp_ÜXXx,100 Gecs,1000 gecs,"{'year': 2019, 'month': 5, 'day': 31}","Baby, you know that I got ya
I would never stop you
I would never stop you
'Cause you know I'm crazy
Crazy for you, baby
And you gotta know
Every day you've got me oh, feeling like

Baby, you know that I got ya
I could never stop you
I would never stop you
'Cause you know I'm crazy
Crazy for you, baby
And you gotta know
Every day, you got me oh, feeling like
Baby, you know that I got ya
I would never stop you
I would never stop you
'Cause you know I'm crazy
Crazy for you, baby
And you gotta know
Every day, you got me always feeling like
Baby, you know that I got ya
I would never stop you
I would never stop you
'Cause you know I'm crazy
Crazy for you, baby
And you gotta know
Every day, you got me always feeling like
See  gecs Live 
I would never stop you

Giving my heart for you to take
We could go and drive and leave this place
Getting my strength from your embrace
Baby, let's go all the way
Giving my heart for you to take
We could go and drive and leave this place
Getting my strength from your embrace
Baby, let's go all the way

Baby, you know that I got ya
I would never stop you
I would never stop you
'Cause you know I'm crazy
Crazy for you, baby
And you gotta know
Every day, you got me always feeling like
Baby, you know that I got ya
I would never stop you
I would never stop you
'Cause you know I'm crazy
Crazy for you, baby
And you gotta know
Every day, you got me always feeling like
Bay, bay, bay, bay, bay, bay, bay, bay
Bay, bay, bay, bay, bay, bay, bay, bay
Bay, bay, bay, bay, bay, bay, bay
Wait a minute now)
Bay, bay, bay, bay, bay, bay, bay, bay
Bay, bay, bay, bay, bay, bay, bay, bay
Bay, bay, bay, bay, bay, bay, bay, bay
Bay, bay, bay, bay, bay, bay, bay, bay
Bay, bay, bay, bay, bay, bay, bay, bay
Bay, bay, bay, bay, bay, bay, bay, bay
Bay, bay, bay, bay, bay, bay, bay, bay
Bay, bay, bay, bay, bay, bay, bay, bay
Bay, bay, bay
Baybaybay, bay, bay
Baybaybay, bay, bay
Baybaybay, bay, bay
Baybaybay"
757,100 Gecs,"10,000 gecs","{'year': 2023, 'month': 3, 'day': 17}","Sevenfiftyseven
Yeah, I'll never go to heaven
I've been smokin' since eleven
Told the devil he's a lemon
Yeah, it's sevenfiftyseven
Yeah, I'll never go to heaven
I've been smokin' since eleven
Told the devil he's a lemon, yeah

Sevenfiftyseven
Yeah, I'll never go to heaven
I've been smokin' since eleven
Told the devil he's a lemon
I got problems with my spending
All these horses in my engine
Doing eighty in a thirty
But I'm never in a hurry
Screaming, Ladidadidadi
All I wanna do is party""
Drinkin' bottles of Moscato
Takin' pictures with a model
Stayin' up until the morning
Wish that I was more discerning
Goin' wild like coyote
Where's the water? Something's burnin', yeah
See  gecs Live 
Sevenfiftyseven
Yeah, I'll never go to heaven
I've been smokin' since eleven
Told the devil he's a lemon
Yeah, it's sevenfiftyseven
Yeah, I'll never go to heaven
I've been smokin' since eleven
Told the devil he's a lemon, yeah
Ah, blow out the blunt smoke
Sound of the shotgun
I wanted smoke so I went out and I got some
Live in dog years and I feel twentysix
Yeah, I'm old bitch but I learn new tricks
Better learn quick or end up like green bricks
You say you smoke real trees, they look like little sticks
We don't smoke trees, we smoke tree sized dicks

Sevenfiftyseven
Yeah, I'll never go to heaven
I've been smokin' since eleven
Told the devil he's a lemon
Yeah, it's sevenfiftyseven
Yeah, I'll never go to heaven
I've been smokin' since eleven
Told the devil he's a lemon, yeah
I smell the trees when I'm in Colorado
Interior gas station McDonald's
I left my cell phone dead at the house
I see the stars when the sun goes down
Somebody's making money off of my problems
The way that you're talking, you'd better wear a condom
I smell cowards and sons of a bitch
Everything quick all smells like shit
I smell the trees when I'm in Colorado
Interior gas station McDonald's
I left my cell phone dead at the house
I see the stars when the sun goes down"
