,Artist,Album,Release Date,Lyrics
​anything,Adrianne Lenker,songs,"{'year': 2020, 'month': 9, 'day': 2}","Staring down the barrel of the hot sun
Shining with the sheen of a shotgun Shotgun)
Carol has a little if we need some
Joa has a ride if we wanna come
Hanging your jeans with a clothespin
Skin still wet, still on my skin
Mango in your mouth, juice drippin'
Shoulder of your shirt sleeve slippin'

Christmas Eve with your mother and sis
Don't wanna fight but your mother insists
Dog's white teeth slice right through my fist
Drive to the ER and they put me on risk
Grocery store list, now you get pissed
Unchecked calls and messages
I don't wanna be the owner of your fantasy
I just wanna be a part of your family

And I don't wanna talk about anything
I don't wanna talk about anything
I wanna kiss, kiss your eyes again
Wanna witness your eyes looking
I don't wanna talk about anyonе
I don't wanna talk about anyone
I wanna sleep in your car while you're driving
Lay in your lap whеn I'm crying
 
Circle of pine and red oak
Circle of moss and fire smoke
Fan on the ceiling like a wheel spoke
Push the clutch and I pull the choke
Wanna listen to the sound of you blinking
Wanna listen to your hands soothe
Listen to your heart beating
Listen to the way you move

And I don't wanna talk about anything
I don't wanna talk about anything
I wanna kiss, kiss your eyes again
Wanna witness your eyes looking
I don't wanna talk about anyone
I don't wanna talk about anyone
I wanna sleep in your car while you're driving
Lay in your lap when I'm crying

Weren't we the stars in Heaven?
Weren't we the salt in the sea?
Dragon in the new warm mountain
Didn't you believe in me?
You held me the whole way through
But I couldn't say the words like you
I was scared, Indigo, but I wanted to
I was scared, Indigo, but I wanted to
And I don't wanna talk about anything
I don't wanna talk about anything
I wanna kiss, kiss your eyes again
Wanna witness your eyes looking
I don't wanna talk about anyone
I don't wanna talk about anyone
I wanna sleep in your car while you're driving
Lay in your lap when I'm crying"
"​not a lot, just forever",Adrianne Lenker,songs,"{'year': 2020, 'month': 10, 'day': 23}","Through your eyes I see
A smile you bring to me
To your joy I tether

Not a lot, just forever
Intertwined sewn together
Like the rock bears the weather
Not a lot, just forever

My dog barks wildly
To protect my infancy
From my exbeliever
And I try to calm the wolf
To remind her I am both
Still she tears at my sweater

Not a lot, just forever
Intertwined, sewn together
As the wren sheds her feather
Not a lot, just forever

And your dearest fantasy
Is to grow a baby in me
I could be a good mother
And I wanna be your wife
So I hold you to my knife
And I steal your letter
 
Not a lot, just forever
Intertwine some together
As the rock bears the weather
Not a lot, just forever

So I bash around the house
And the poison stains my mouth
She comes, I let her
And we share a paradise
And I roll them once or twice
Can't get much better

Not a lot, just forever
Intertwined sewn together
As the rock bears the weather
Not a lot, just forever
Not a lot, just forever
Intertwined, sewn together
As the wren bares her feathers
Not a lot, just forever"
​ingydar,Adrianne Lenker,songs,"{'year': 2020, 'month': 10, 'day': 23}","Fragilely, gradually and surrounding
The horse lies naked in the shed
Evergreen anodyne decompounding
Flies draw sugar from his head

His eyes are blueberries, video screens, Minneapolis schemes
And the dried flowers from books halfread
The juice of dark cherries cover his chin
The dog walks in and the crow lies in his jaw like lead

Everything eats and is eaten
Time is fed

Early еvening, the pink ring swallows
The sphеrical marigold terrain
Sleepily, Venus sinks and hollows
The stationed headlight of a plane

You are as far from me as memory
With fixtures fracture varyingly
The juice of dark cherries cover my skin
Six years in, no baby
 
Everything eats and is eaten

Ingydar bares a scar like a meteor
Crystalline amber guilds her cheek
Tambourine of the beech leaves lead her
To the raven playing hide and seek

Drying blueberries, figurines
And the angel leans at the head of the bed
The juice of dark cherries cover her chin
The dog walks in and the crow lies in his smile like lead

Everything eats and is eaten, time is fed
Everything eats and is eaten
Everything eats and is eaten
Everything eats and is eaten
Everything eats and is eaten
Everything eats and is eaten"
Sadness As a Gift,Adrianne Lenker,Bright Future,"{'year': 2024, 'month': 1, 'day': 17}","Two
And one, two, three, four

You and I both know
There is nothing more to say
Chance has shut her shining eyes
And turned her face away

Leaning on the windowsill
You could write me someday, and I think you will
We could see the sadness as a gift and still
Feel too heavy to hold

Snow fallin'
I try to keep from callin'
Watch the spring turn to winter
Fireflies all frozen

The seasons go so fast
Thinking that this one was gonna last
Maybe the question was too much to ask
 
Been searching for your eyes
All I see is blue skies
And that old man beats his crooked cane
It's time to let go

Leaning on the windowsill
You could write me someday, and I bet you will
We could see the sadness as a gift and still
The seasons go so fast
Thinking that this one was gonna last
Maybe the question was too much to ask

You and I could see into the same eternity
Every second brimming with a majesty

Oh, kiss so sweet, so fine
You could hear the music inside my mind
And you showed me a place
I'll find even when I'm old
Just leaning on the windowsill
You could write me someday, and I hope you will
We could see the sadness as a gift and still
The seasons go so fast
Thinking that this one was gonna last
Maybe the question was too much to ask"
​zombie girl,Adrianne Lenker,songs,"{'year': 2020, 'month': 10, 'day': 23}","What a dream that was
I almost couldn't wake because
I was frozen in bed with a zombie girl
Vacant as a closed down fair

Sleep paralysis, I sworn I couldve felt you there
And I almost could've kissed your hair
But the emptiness withdrew me
From any kind of wishful prayer

Oh, emptiness
Tell me 'bout your nature
Maybe Ive been getting you wrong
I cover you with questions
Cover you with explanations
Cover you with music

Then the next night
Dreaming I could feel your skin
But the dream escaped so easily
And I wokе up to the road again
 
How your words ring through
Something kinda sweet and blue
And I knеw that you'd been understanding
Everything that I'd said, too

About emptiness
Tell me 'bout your nature
Maybe I've been getting you wrong
I cover you with questions
Cover you with explanations
Cover you with music

What's on your mind?
What's on your mind?
What's on your mind?
Whats on your mind?
In your mind"
​two reverse,Adrianne Lenker,songs,"{'year': 2020, 'month': 10, 'day': 23}","Lay me down so
To let you leave
Tell me lies
I wanna see your eyes
Is it a crime to say
I still need you?
Crime, wanna feed you

Light blue, dark blue, grey
Crimson trail
Straight through, stay don't stray

Grandmother, Juniper
Tell to me your recipe
Is it a cry I hear
From the deep wood?
Crying, reappear from
The weeds

Light blue, dark blue, grey
Crimson trail
Straight through, stay don't stray
 
Through the jail
See the sun
Flat as a knife
Cold and white
To my home, two rivers
Through my home, two reverse
Is it a crime to do
What you ask me to?
Crime"
​symbol,Adrianne Lenker,abysskiss,"{'year': 2018, 'month': 9, 'day': 12}","Fly make flea, make haste, make waste, eight makes infinity
Times I've tried to make breaks, embrace for the enemy
Meet my face to face, time try to find the diamond
Counting time as time counts me, the river to the island

Do you not, do you not tell?
That smile always makes me well
Do you see circling through?
That's how one returns from two

Fly make flea, make haste, make taste, eight makes infinity
Times I've tried to make breaks, embrace for the enemy
Meet my face to face, time try to find the diamond
Counting time as time counts me, the river to the island

Do you not, do you not tell?
That smile always makes me well
Do you see circling through?
That's how one returns from two

The symbol of your love is time
The symbol of your love is time
 
Do you not, do you not tell?
That smile always makes me well
Do you see circling through?
That's how one returns from two
Do you not, do you not tell?
That smile always makes me well
Do you see circling through?
That's how one returns from two"
Real House,Adrianne Lenker,Bright Future,"{'year': 2024, 'month': 3, 'day': 22}","Do you remember running?
The purity of the air around
Braiding willow branches into a crown
That love is all I want

I'm a child humming
Into the clarity of black space
Where stars shine like tears on the night's face
With a cool wind

Mama, what happened?
I never thought we'd go this long
Now, thirtyone and I don't feel strong
And your love is all I want

When I was seven
I saw the first film that made me scared
And I thought of this whole world ending
I thought of dying unprepared

We moved into a real house
A wild field behind it
I wanted to be an inventor
Collected scraps to make a portal
I wanted so much for magic to be real
 
So many dreams of flying
Rising high over the crowd
And they'd go, Oh, man, look at her go!""
And I'd go

Do you remember
Coming to the hospital when I was fourteen?
My friends all left me there spinning
Dad was angry, but you saw everything
And you made me laugh as the nurses undressed me
You held my hand as they put the needle in me

I never saw you cry
Not until our dog died
And the whole family came back together
We held her body as they put the needle in her
And then I saw you cry
And then I saw you cry"
​dragon eyes,Adrianne Lenker,songs,"{'year': 2020, 'month': 10, 'day': 1}","Chewing a cigarette and repeating
Shadows of the words I've said
I don't wanna blame you, I don't wanna blame
The stars bloom in the warm summer night
They have a clear view without the bedroom light
They don't wanna name you, they don't wanna name
Dragons have silent eyes
Cracked eggshells, fireflies
I don't wanna tame you, I don't wanna tame
When the hot sand burns my feet
You have cool hands, you are sweet
I don't wanna changе you, I don't wanna change
Carnations into the vase
Unfold your clothеs out of the case
I just want a place with you, I just want a place
As the coastline is shaped by the wind
As we make love and you're on my skin
You are changing me, you are changing
Stars bloom on a warm summer night
They have a clear view without the bedroom light
I just want a place with you, I just want a place $"
​forwards beckon rebound,Adrianne Lenker,songs,"{'year': 2020, 'month': 10, 'day': 23}","Over the Dead Sea
Keeping you company
Thinking, I'm not afraid of you now
I'm not afraid of you now""
Letting my eyes close
Shedding my soft clothes
Wind blows
Wind that howls like a hound
Wind that laughs like a clown

Mystery of lack
Stabbing stars through my back
Forwards, beckon, rebound
Forwards, beckon, rebound

Virtual bedroom
Rise like a full moon
Show me pictures that hang in your house
Pictures that hang in your mouth
Candescent insects
Crosses and fishnecks
I have nothing to pray to you now
Nothing to pray to you now
 
Mystery of lack
Stabbing stars through my back
Forwards, beckon, rebound
Forwards, beckon, rebound


Pulling your face close, wanting the inmost
Show me
I'm not afraid of you now
I'm not afraid of you now
Villain and violent, infant and innocent
Baby, both arms cradle you now
Both arms cradle you now

Mystery of lack
Stabbing stars through my back
Forwards, beckon, rebound
Forwards, beckon, rebound
Forwards, beckon, rebound"
