,Artist,Album,Release Date,Lyrics
Pretend,Alex G,High,"{'year': 2011, 'month': 1, 'day': 1}","Gonna crack a rib, when I get home
I'm gonna bury you in my favorite hole
I made a bloody mess in the kitchen sink
I tried to fix myself, but I didn't think

They said, We just want to talk with you""
We just want to walk you through,"" oh


Oh, I don't want to see me
I wanna be trapped in you
Oh, I don't want to be me
But I'm gonna pretend for you, oh


Let's paint our nails and keep it real
'Cause honey all I know is what I feel
I'm still looking for a friend of a friend
He said he'd hook me up, he told me what he had

They say, Leave your body, leave your mind
Don't you know you're out of time?""

In his room, in his bed
You can't hear what he said
Looks like dirt, tastes like trash
Honey, I know you could float right past
Oh, oh

Oh, I don't want to see me
I wanna be trapped in you
Oh, I don't want to be me
But I'm gonna pretend for you, oh"
Treehouse,Alex G,High,"{'year': 2011, 'month': 1, 'day': 17}","Do Not Enter"" is written on the doorway
Why can't everyone just go away?
Except you
You can stay
What do you think of my treehouse?
Its where I sit and talk really loud
Usually
I'm all by myself
Ooh

I'm the captain but you can be the deputy
Im really glad you think I'm so funny
I don't think I'm ever gonna let you leave

Do Not Enter"" is written on the door way
Why can't everyone just go away?
Except you
You can stay
What do you think of my treehouse?
It's where I sit and talk really loud
Usually
I'm all by myself
Ooh

I'm the captain but you can be the deputy
Im really glad you think Im so funny
I don't think Im ever gonna let you leave"
I Wait for You,Alex G,EASY (EP),"{'year': 2011, 'month': 8, 'day': 21}","I have a friend who sits at the corner lots
Selling pills to the girls when they cross the block
I told him he should quit that sketchy scene
He said, Nothing compares to the fever dream""
It's what I do
I wait for you

I know a girl who stays still on Sunday night
Because her boy hits hard in the morning light
He told her, Everything ends when you reach that thrill""
He told her, Nothing exists past the window sill""
It's nothing new
I wait for you
I wait for you

I wanna tell my baby to pretend
That every word I say is what I really meant
And when I get my head back on all right
Then we can be together for another night
And we can have those dreams like no one else
It's just one more reason to control myself
Its just one more reason to control yourself
It's just one more reason to control myself

It's what I do
I wait for you
I wait for you
I wait for you
I wait for you
I wait for you"
Mary,Alex G,Trick,"{'year': 2012, 'month': 11, 'day': 2}","Mary is the girl that I wanna kiss
She's got big red eyes and big red lips
She's got big sharp teeth and big fat hips

Mary is the girl that I wanna fuck
She's got leather heart and leather gloves
She's the only girl that I wanna love
Listen to me, baby, I don't mind
I wanna be with you and waste my time

Give it to me, baby, I feel good
I wanna feel whatever you think I should

Sing it for me, baby, play my song
I wanna hear your daddy sing along

Mary is the girl that leaves you to rot
She says, I am real, and you are not""
She says, I am real, and you are not"""
Sarah,Alex G,Trick,"{'year': 2015, 'month': 3, 'day': 24}","And clear her head
Do you know what Sarah meant
When she said, You be my guest""?
And keep the pace to save your face
You'll never make the place
Why do you even run the race?
I can't be what you need
I am stuck in a dream
I am stuck in a dream
Don't you know
She's been here all along in a dream?
She belongs in a dream
Every day I'll make promises that plague Sarah's heart
So I can watch her fall apart
'Cause I know when I break her down
We'll spit on all the happy clowns
That live around this sunny town
She loves me like a dog Doodoo)
And when we mess around Doodoo)
I'll let her know the truth I found Doodoo, doodoo)
In my own hopeless hate Doodoo)
And every time I wake Doodoo)
I second guess the game I played Doodoo)
Did I make a mistake?"
Gnaw,Alex G,Race,"{'year': 2010, 'month': 1, 'day': 1}","And you were cryin' loud, right out in the schoolyard
And, yeah, I felt good
Everything I knew was looking just as it should
I saw the tree
Carved in it """" and he found me
But I am no fool
I know every time I look in his eyes, he sees me too
Dry your eyes
I won't tell your mother
She won't ever discover
The things you kept under the covers
And please don't cry
I am not your brother
I am not your lover
And there is nothing wrong"
Hope,Alex G,House of Sugar,"{'year': 2019, 'month': 7, 'day': 15}","He was a good friend of mine
He died
Why I write about it now?
Gotta honor him somehow
Saw some people crying that night
Yeah, Fentanyl took a few lives from our life
Alright

I awoke in the middle of the night
He spoke
With his eyes half closed
Can you get me something else to eat?
Got a hole in my chest
I can't take it anymore
Put my pillow to the test
Let me rest


In the house they were calling out his name
All night
Taking turns on the bed
Throwing bottles from the windows of the home
On Hope Street
You can write a check in my name now
Eddie take the money and run"
Bobby,Alex G,Rocket,"{'year': 2017, 'month': 5, 'day': 19}","Bobby's just a friend of mine
He's on his back
I'm on his mind
He wakes me when he goes to work
His hands are cold
His breath is smoke

I'd leave him for you
If you want me to
I'd leave him for you
If you want me to
I'd leave him for you
If you want me to
I'd leave him for you
If you want me to

Do you forget when we first met?
You grabbed my hand
I tore your dress
I felt things I cannot express
But I lost my way
I made my mess
I'd clean it for you
If you want me to
I'd clean it for you
If you want me to
I'd clean it for you
If you want me to
I'd clean it for you
If you want me to

But I know what you're doing
I know what you're doing
I know you
I know you
I do, I do, I tell you what

I paint pictures of my heart
The colors blue and purple start
To bleed into an endless dark
It's only you, it's only you

I'd burn them for you
If you want me to
I'd burn them for you
If you want me to
I'd burn them for you
If you want me to
I'd burn them for you
If you want me to

But I know what you're doing
I know what you're doing
I know you
I know you
I do, I do, I tell you what"
Advice,Alex G,Trick,"{'year': 2012, 'month': 11, 'day': 6}","String the sinner by his wings
In his head, a brittle bone
The world is full of fishes
But I trust you
But I trust you
But I trust
Stick your finger in the hole
A thousand watts but you're not sold
Make you hurt, we love you more"
Sometimes,Alex G,WINNER,"{'year': 2011, 'month': 7, 'day': 4}","Baby talk to this guy
Get his stuff
I don't have to deal with this shit anymore
I got paradise waiting in my drawer
Sometimes I just wanna be happy
Sometimes I just wanna be happy
Sometimes I just wanna be happy
Sometimes I just wanna be happy
Call you on the phone and I know you know
Call you on the phone
You just tell me not to go
Baby I don't wanna be alone anymore
All you gotta do is let me lock this door
Something special about you girl
You make me wanna break up my world
It's funny baby
Sometimes I just wanna be happy
Sometimes I just wanna be happy
Sometimes I just wanna be happy
Sometimes I just wanna be happy"
Runner,Alex G,God Save the Animals,"{'year': 2022, 'month': 6, 'day': 21}","I like people who I can open up to
Who don't judge for what I say, but judge me for what I do
And when I think of people I look up to

My runner, my runner, my man
My runner, my runner, my man

I laugh when you say the wrong thing
Mouthing off to everybody else but me
They hit you with the rolled up magazine

My runner, my runner, my man
My runner, my runner, my man

Load it up, know your trigger like the back of my hand
Load it up, know your trigger like the back of my hand

What's a couple grand rolled up in your pocket?
I won't tell nobody, baby, you don't tell nobody
Yes, I have done a couple bad things
Yes, I have done a couple bad things
Yes, I have done a couple bad things
Yes, I have done a couple bad, yeah

Load it up, know your trigger like the back of my hand
Load it up, know your trigger like the back of my hand
Load it up, know your trigger like the back of my hand
Load it up, know your trigger like the back of my hand
Load it up, know your trigger like the back of my hand
Load it up, know your trigger like the back of my hand"
Change,Alex G,Trick,"{'year': 2012, 'month': 11, 'day': 6}","How are you today?
I saw your friend's band play
A little show last night
It's not my thing, they were alright
You're in my dream last week
I'd like to hear what you think
We passed a house, driving fast
The sun was shining on the grass
You made me stop and leave the car
You pulled my sleeve but not too hard
Remember when you took too much?
I didn't mind being your crutch

We loved you then, it's not the same
I don't like how things change
I don't like how things change
I don't like how things change
I don't like how things change
I don't like how things change
I don't like how things change"
16 Mirrors,Alex G,Trick,"{'year': 2015, 'month': 3, 'day': 24}","Let's get all the years where I was her friend
Look at all the mirrors at the bottom of the well)
I thought I lost my heartbeat, I wanna tell you
This is a piece of cake working with my hands)
This one is a page where I used too many colors
Sixteen mirrors at the bottom of the well)
Roll it in a mirror, all my work will be discovered
This is a piece of cake working with my hands)

Let's get all the years where I was her friend
Look at all the mirrors at the bottom of the well)
I thought I lost my heartbeat, I wanna tell you
This is a piece of cake working with my hands)

This one is a page where I
Sixteen mirrors)
This one is a page where I
Sixteen mirrors)
This one is a page where I
Sixteen mirrors)
This one is a page where I
Sixteen mirrors)
Sixteen mirrors
Sixteen mirrors
Sixteen mirrors
Sixteen mirrors"
Forever,Alex G,Trick,"{'year': 2012, 'month': 11, 'day': 6}","Burns in the sun
Lives for no one
Salt on your tongue
Lights out, no fun
Drink to forget
Don't get upset
Open your mouth
You look so
Out of it

Pull it together
We could love you
Forever and ever
Pull it together
We could love you
Forever and ever

Made up a game
No pain, no gain
Until you break
Make no mistake

I will pull it together
You can love me
Forever and ever
I will pull it together
You can love me
Forever and ever"
Gretel,Alex G,House of Sugar,"{'year': 2019, 'month': 6, 'day': 4}","I don't wanna go back
Nobody's gonna push me off track, uh huh
I don't wanna go back
Nobody's gonna push me off track, uh huh

Its calling me back
House of Sugar
Did they bury me here?
Daddy, dont let 'em put me down
Daddy, dont let 'em turn me around

I dont wanna go back
Nobodys gonna push me off track, uh huh
I see what they do
Good people got something to lose, uh huh
I dont wanna go back
Nobodys gonna push me off track, uh huh
I dont wanna be this
Good people gotta fight to exist, uh huh

I can see it right there right in front of me
I can see it right there right in front of me
I can see it right there right in front of me
I can see it right there right in front of me
I can see it right there right in front of me
I can see it right there right in front of me
I can see it right there right in front of me
I can see it right there right in front of me

I don't wanna go back
Nobody's gonna push me off track, uh huh
I don't wanna go back
Nobody's gonna push me off track, uh huh
I don't wanna go back"
Things to Do,Alex G,Race,"{'year': 2010, 'month': 1, 'day': 1}","Thinking of things to do
Yeah, only the cheapest things left there for you
And the only thing I learned from you
Is that there's nothing left to look forward to and
I was asleep for days
And now you're the only thing keeping me awake
The calculator will make the same mistakes
Yeah, I see it in its face

Hold on tight to this time, this place
'Cause everything you know will be erased
You were born inside your head
And that is where you'll be when you are dead
You're just a boy, you are no man
And nobody you know will understand
You're just a boy, you are no man
And nobody you know will understand

Welcoming you back home
The only one that you have ever known
Welcoming you back home
The only one that you will ever know

Haaaaa haaaaaaaa haaaaaaaaaaaaaaaaaaaaaaa"
Race,Alex G,Race,"{'year': 2010, 'month': 1, 'day': 1}","You're walkin' on hot coals now, you fuck
'Cause you're a joke, yeah, you're a hoax and now I found you out
'Cause you think the brains in your head are worth
Breathing this smoke and itchy throats and being happy
And I could be your man all day and you could look inside my brain and see this one thing
But then it disappears like smoke and you're alone
I forget
How to play
The game
Everyone
Wants to come
Along
I don't know
Where you are
One, two, three, okay)
You're starting to look really weird, oh, yeah
Your face is out of place and I can't make you out
And I forget just what you said
Yeah, it's not clear, it was about fear and getting out of here
But you're okay with me
Tear it down
It's not right
Tear it down
It's not right"
Harvey,Alex G,DSU,"{'year': 2014, 'month': 6, 'day': 17}","Success is the only thing I understand
Head back home to the place I grew up
Give my medals to the ones that I love
I'll chase Harvey through the door in the wall
He says, never catch me, never miss me at all""
Drool comes down from the corner of his mouth
I say, I love you Harvey, you cut it out""
I love winning, baby, I want it all
I wanna prove that I got the balls
Harvey keeps on playing with his food
He doesn't understand what big boys do
He wakes up in the middle of the night
I run in and turn on the light
Run my hands through his short black hair
I love you, Harvey, I don't care"
Sandy,Alex G,Rules,"{'year': 2011, 'month': 6, 'day': 30}","My friends say I'm ugly
But my dad says I'm the prettiest thing
The prettiest thing
The prettiest thing
The prettiest thing
The prettiest thing
My name is Sandy; I'm  years old
And sometimes I hate you
But right now, I just wanna go home
Just wanna go home
Just wanna go home
Just wanna go home
Just wanna go home
My name is Sandy; I'm  years old
My brother says he hates me
And Satan is his master
My name is Sandy; I'm  years old
My insides are changing
And right now, I just wanna grow up
I just wanna grow up
I just wanna grow up
I just wanna grow up
I just wanna grow up
I just wanna grow up
I just wanna grow up
I just wanna grow up
I just wanna grow up"
Brite Boy,Alex G,Beach Music,"{'year': 2015, 'month': 10, 'day': 9}","Bright boy, I can help you
If you let me take your hand
Bring you right to promise land
Bring you right to promise
Bright boy, I could love you
If you let me be your wife
Love you so for all my life
Love you so for all my
Waiting by the water
You return with eyes cast down
Bright boy, what has made you frown?
Bright boy, what has made you
Waiting by the water
Sun is setting on the sea
Bright boy, please return to me
Bright boy, please return to"
Animals,Alex G,Trick,"{'year': 2012, 'month': 11, 'day': 6}","Everything we do, we do it alone
I get sick when I get stoned
Everything we do, we do it alone
Rosie is my favorite dog
Takes her piss on the neighbor's lawn
Rosie is my favorite dog
Bites my hand when I go wrong
I do
Animals, not people
I do animals
Not people
I do
Who's that walking down your stairs?
Double check, there's something there
Who's that walking down your stairs?
Double check, there's something there
Rosie told me not to cry
Look her in her big brown eyes
Hold her tight and feel no pain
Her dog breath drives me insane
I do
Animals, not people
I do animals
Not people
I do"
Southern Sky,Alex G,House of Sugar,"{'year': 2019, 'month': 8, 'day': 13}","One, two, three
I count black sheep on my way to sleep
I cant pick and choose these devils in my
Patterned dreams
When I wake up I am smiling
Now I will not change my mind
I will remember the trouble in my
Brothers eye

Its okay we dont cry, we love the southern sky
Its okay we dont cry, we love the southern sky
Its okay we dont cry, we love the southern sky
Its okay we dont cry, we love the southern sky

You and me
These are titles I can hardly speak
Are we bound here to an echo tinted
Blue and green?
Let my memory run backwards
So together we may lie
I will remember the fire
In the southern sky
"
Kute,Alex G,Trick,"{'year': 2012, 'month': 11, 'day': 6}","I think you're cute, I'll keep you in the cellar
Show you to the children, kill me after dinner
You're alright
You look like someone I could bury in the garden
Cover you in diamonds when I die

And when I die
And when I die
And when I die

I'll dig you up
I'll tear out all your feathers
Cook you in the oven, burn myself
What is mommy cookin'?
She looks like a baby

You love me
Do you love me?
You wanna die

You really wanna see us laughin' at your body
Floating down the river, baby, you're pathetic
You are God, you are God, you are God
You are God, you are God, you are God
You are God"
Kicker,Alex G,Beach Music,"{'year': 2015, 'month': 10, 'day': 9}","White bird in a black cloud
You flap, eyes rolled back
Medicine gave you a heart attack
Big fight for a small right
First flight into white light
Pull the trigger, love at first bite
Big plan for a big man
Tough change for a tough guy
Twitching out the corner of your eye

White bird in a black cloud
Rain comin' down, thinking hey
Maybe we should turn this boat around
Heaven - maybe freedom
What's the word? Right, I forgot
Quiet is the closest thing we got"
Snot,Alex G,Beach Music,"{'year': 2015, 'month': 10, 'day': 9}","Sparkling
And squirming
Under him
I know now
What's right and wrong
And I know when
To turn that off
It's shining
And combining
I knew you
Way before you said -
I love him
And 
I want him
To make me sick
My love comes
With my snot
Im all in
And he's all out"""
