,Artist,Album,Release Date,Lyrics
Dreams Tonite,Alvvays,Antisocialites,"{'year': 2017, 'month': 7, 'day': 25}","Rode here on the bus
Now you're one of us
It was magic hour
Counting motorbikes
On the turnpike
One of Eisenhower's

Live your life on a merrygoround
Who starts a fire just to let it go out?

If I saw you on the street
Would I have you in my dreams tonight?
If I saw you on the street
Would I have you in my dreams tonight, tonight?

On a weird guitar
Said you wrote a while
In the waking hour
In fluorescent light
Antisocialites
Watch a wilting flower

If I saw you on the street
Would I have you in my dreams tonight?
If I saw you on the street
Would I have you in my dreams tonight, tonight?
If I saw you on the street
Would I have you in my dreams tonight, tonight?
Don't let motion distort everything
If I saw you on the street
Would I have you in my dreams tonight, tonight?
Don't let motion distort everything

Don't sit by the phone for me
Wait at home for me, all alone for me
Your face was supposed to be hanging over me like a rosary
So morose for me, seeing ghosts of me
Writing oaths to me, is it so naïve to wonder?

If I saw you on the street
Would I have you in my dreams tonight, tonight?
Don't let motion distort everything
If I saw you on the street
Would I have you in my dreams tonight, tonight?
Don't let motion distort everything
If I saw you on the street
Would I have you in my dreams tonight, tonight?
Don't let motion distort everything
If I saw you on the street
Would I have you in my dreams tonight, tonight?
Don't let motion distort everything"
"Archie, Marry Me",Alvvays,Alvvays,"{'year': 2014, 'month': 7, 'day': 22}","You've expressed explicitly your contempt for matrimony
You've student loans to pay and will not risk the alimony
We spend our days locked in a room, content inside a bubble
And in the nighttime we go out and scour the streets for trouble
Hey, hey
Marry me, Archie
Hey, hey
Marry me, Archie

During the summer, take me sailing out on the Atlantic
I won't set my sights on other seas, there is no need to panic
So, honey, take me by the hand and we can sign some papers
Forget the invitations, floral arrangements and bread makers
Hey, hey
Marry me, Archie
Hey, hey
Marry me, Archie

Too late to go out
Too young to stay in
They're talking about
Us living in sin
Hey, hey
Marry me, Archie
Hey, hey
Marry me, Archie
Hey, hey
Marry me Archie
Hey, hey
ARCHIE, oh, yeah"
Adult Diversion,Alvvays,Alvvays,"{'year': 2013, 'month': 10, 'day': 28}","How do I get close to you?
Even if you don't notice
As I admire you on the subway
When it's dark outside your house
You won't let anybody out
And keep a padlock on the door, well

One more cocktail
And I'm on your trail

If I should fall
Act as though it never happened
I will retreat
And sit inside so very quietly

How do I grow old with you?
Even if you don't notice
As I pass by you on the sidewalk
When it's dark outside your house
You won't let anybody out
You're keeping a dead girl in the closet
One more cocktail
Is it a good time?
Or is it highly inappropriate?

If I should fall
Act as though it never happened
I will retreat
And then go back to university
If I should fall
Act as though it never happened
I will retreat
And sit inside so very quietly

I won't waste a Moment)
I won't waste a—
I won't waste a—

If I should fall
Act as though it never happened
I will retreat
And sit inside so very quietly
If I should fall
Act as though it never happened
I will retreat
And then go back to university"
In Undertow,Alvvays,Antisocialites,"{'year': 2017, 'month': 6, 'day': 6}","You find a wave and try to hold on for as long as you can
You made a mistake you'd like to erase and I understand
What's left for you and me?"" I ask that question rhetorically
Can't buy into astrology, and won't rely on the moon for anything

No turning, there's no turning
There's no turning back after what's been said
No turning, there's no turning
There's no turning back

Meditate, play solitaire, take up self defense
When you get old and faded out, will you want your friends?
What's left for you and me? You respond to my question metaphorically
Don't read into psychology and won't rely on your mood for anything

No turning, there's no turning
There's no turning back after what was said
No turning, there's no turning
There's no turning back after what's been said

You find a wave and try to hold on for as long as you can
You made a mistake you'd like to erase and I understand
What's next for you and me? I'll take suggestions
We toss and turn in undertow, time to let go
There's no turning, there's no turning
There's no turning back after what's transpired
No turning, there's no turning
There's no turning back, it's so uninspired
No turning, there's no turning
There's no turning back, no turning back"
Not My Baby,Alvvays,Antisocialites,"{'year': 2017, 'month': 9, 'day': 8}","Now that youre not my baby, I'll go do whatever I want
No need to turn around to see whats behind me, I dont care
And its true, Ive been checking out lately, I go do whatever I want
No need to turn around to see whats behind me, I dont care

Because Im really not there
Im really not there

And now that youre not my baby
Ill go do whatever I want
No need to sit at home with the dial tone
'Cause I dont care
And its true, Ive been going out lately
And I go do whatever I want
You can write it down with a fountain pen
Close your eyes and then count to ten
You can tell your friends that I dont make sense
And I dont care

Because Im really not there
I'm really not there
The night is like a fading radio
The lake was frozen over long ago

Now that youre not my baby
Now youre not)
Now that youre not my baby
Now youre not)

You sought an eye
So did I for an island
You sought an eye
So did I for an eye
Traded my rosecoloured shades for a wide lens
Used to make noise, now, I much prefer silence

Now that youre not my baby
Now youre not)
Now that youre not my baby
Now youre not)
Now that youre not my baby
Now youre not)
Now that youre not my baby
Now youre not)
I feel alive for the first time
Since I dont know how long
I see a light for the first time
Since I dont know how long"
Party Police,Alvvays,Alvvays,"{'year': 2014, 'month': 7, 'day': 22}","Walking through the trees, I never really know what's on your mind
Is it ever me, or just someone you've left behind?
Floating through a dream, I never could make out the words you said
Sentences are bouncing back and forth inside my head

You don't have to leave, you could just stay here with me
Forget all the party police, we can find comfort in debauchery

Fighting through the fog, I can't believe it rained all summer long
When every day's a hurricane, you know there's something wrong
I see you every day, it's hard to figure out what happens next
I cannot decipher conversation in your head

You don't have to leave, you could just stay here with me
Forget all the party police, we can find comfort in debauchery
You don't have to leave, you could just stay here with me
Forget all the local police, we can find comfort in biology

We wrote our names on the overpass and I hope it lasts forever
Don't have to
You don't have to
You don't have to leave, you could just stay here with me
Forget all the party police, we could find comfort in debauchery
You don't have to leave, you could just stay here with me
Forget all the local police, we could find—
If you don't want to, you don't have to"
Ones Who Love You,Alvvays,Alvvays,"{'year': 2014, 'month': 7, 'day': 22}","Take, take from the ones who love you, ooh
Leave, leave with the ones who don't, ooh
Lie, lie to the ones who like you ooh
Lay, lay with the ones who won't

When lightning strikes
I will be on my bike
I won't be stuck inside
I will be taking flight

They, they are the ones who love you, ooh
We, we are the ones who don't, ooh
Hang up on the ones who need you, ooh
Watch out for the ones who won't

When lightning strikes
I will be on my bike
I won't be stuck inside
I will be taking flight
And when the wheels come off
I'll be an astronaut
But I won't be lost in space
I will be skipping rocks
When you live on an island
Nothing ever falls in place
The winters are violent
And you can't ever feel your face
You can't fucking feel your face

And when lightning strikes
I willl be on my bike
I won't be stuck inside
I will be taking flight
And when the wheels come off
I'll be an astronaut
But I won't be lost in space
I'll be on Lippincott

Ooh
Take"
Next of Kin,Alvvays,Alvvays,"{'year': 2014, 'month': 7, 'day': 22}","We walked along the rocks for nearly an hour
I caught the way you looked at me in the sunlight
You took something before you went in the shower
To help suppress the things that make you feel uptight

If I'd known you couldn't swim
We would never have gone in

I left my love in the river
The only one who sees
I lost his hand in the current
It was the life I wanted and I'd hoped for
And now I am left sifting through the leaves

The sun so hot, I saw his skin through his tshirt
The grass so tall, we knew we wouldn't be found
We climbed into the stream sure no one would be heard
And in no time at all, there wasn't a sound

If I'd known you couldn't swim
We would never have gone in
I left my love in the river
The only one who sees
I lost his hand in the current
It was the life I wanted and I'd hoped for
And now I am left sifting through the leaves

No color to his skin
Inform the next of kin
No color to his skin

I left my love in the river
The only one I see
I lost his hand in the current
And now I am left looking through the trees

Ooh
Ooh"
Atop a Cake,Alvvays,Alvvays,"{'year': 2014, 'month': 7, 'day': 22}","I lie on a sofa awake
It's what you said last night
You'd like us on top of a cake
But you won't let me take a bite

Flowers arriving in fleets
Can't we talk about this?
Why let the state in our sheets?
Can't we do without it?

Well, I don't mean to wind you up
But I'd like to slow it down
How do I remain a pup
If you put me in a gown?

What's it got to do with you?
What's it got to do with me?
How could I lose control
When you're driving from the backseat?
What's it got to do with you?
What's it got to do with me?
How could I lose control
When you're driving from the backseat?
Corners begin to repeat
I think we're getting lost
We walked to the end of the street
But we were bitten by the frost

So if you have to thaw me out
You can put me in a pail
Can we take another route?
I don't want to wear a vail

What's it got to do with you?
What's it got to do with me?
How could I lose control
When you're driving from the backseat?
What's it got to do with you?
What's it got to do with me?
How could I lose control
When you're driving from the backseat?

I'll wait in the lobby for someone to show
And if they don't come, I will know where to go
The bodies are lined up outside in the hall
I don't want to decay in a mall
If everything you say is true
Then why would I disagree?
How could I lose control?

What's it gotta do with you?
What's it gotta do with me?
How could I lose control
When you're driving from the backseat?
When you're driving from the backseat"
Plimsoll Punks,Alvvays,Antisocialites,"{'year': 2017, 'month': 8, 'day': 17}","When I chip through your candy coating
You're stuffed with insulation
Just strawberry ice cream floating
With a sprinkle of indignation
Cherry under knot of shoestring
Conflate and agitate

You're a plimsoll punk
You're a plimsoll punk

And you're gettin' me down, gettin' me down, gettin' me down
Gettin' me down down down, you're gettin' me down
Gettin' me down, gettin' me down, gettin' me down
Plimsoll punk

Your posture's blocking out any possible light
I can hardly see
This conversation spirals into a fight
I can barely breathe

Who ran from Roman candles
Underneath a willow weeping?
Do the tealights on your mantel
Illuminate that summer feeling?
You're the seashell in my sandal
That's slicing up my heel
You're a plimsoll punk
You're a plimsoll punk

And you're getting me down, gettin' me down, gettin' me down
Gettin' me down down, down you're gettin' me down
Rrrracking my brain, trying to escape, getting me down
Plimsoll punk
Plimsoll punk

Your posture's blocking out any possible light
I can no longer see
This conversation spirals into a fight
I can barely breathe

Gettin' me down, gettin' me down, you're gettin' me down
Gettin' me down down down, you're gettin' me down
Gettin' me down, gettin' me down, you're gettin' me down
Plimsoll punk
Plimsoll punk

Plimsoll punks"
