,Artist,Album,Release Date,Lyrics
Come Down,Anderson .Paak,Malibu,"{'year': 2016, 'month': 1, 'day': 9}","When you see Jerusalem
How your heart will sing
They are with a blessing only God can bring
Y'all niggas got me hot, yuh
Uh, niggas, tell me how, yuh, yuh, say

Hey! Well, that's exactly what a nigga came for
Huh, you throwin' shots from afar
I'ma meet you at your front door
Uh, so hard to be doin' what you're really meant for, beauty
Huh, but don't I make it look easy?
Don't I make it look good?

Hey, now you drank up all my liquor, come on
What I'm 'posed to do now?
And you talkin' all that shit, now come on
You gon' have to back it up, hey
If I get too high now, sugar, come on
I might never come down
You might not ever come down
Naw, let me get down
You might not ever come down
Nawnawnaw, let me get down
You might not ever come down
Let me get down!

You might never ever come down
It took too long to get this high off the ground
Don't run, just stay awhile

C'mon, uh
Can't beat it, can't beat it, can't beat it
Can't beat it with a big bat, though
Can't see her with these pitch black Gucci frames on
Let me take these bitches off
Let me get the full scope, hold up
Huh, full screen, HD, let me take another picture
Let me pull it to the preshow
Whoa, cool beans, cool beans
That's a whole lot of reefer
Let me help you with the preroll

You drank up all my liquor, come on
What I'm 'posed to do now?
And you talkin' all that shit, now come on
You gon' have to back it up
If I get too high now, sugar, come on
I might never come down
You might not ever come down
Nawnawnaw, let me get down
You might not ever come down
Now let me get down
You might not never come down
Naw, let me get down!
You might never ever come down
It took too long to get this high off the ground
Don't run, just stay awhile
You might never ever come down
It took too long to get this high off the ground
Don't run, just stay awhile

Before Vietnam, when boards were long and hair were short, the center of the surfing world was a place called Malibu"
Heart Don’t Stand a Chance,Anderson .Paak,Malibu,"{'year': 2016, 'month': 1, 'day': 15}","Ooh, champagne pourin' down
Arms, legs wrapped around you
Ooh, champagne, let it fall down
Arms, legs keep grabbing

See, I be catchin' you starin', be careful
The idle mind is a dangerous place to be left in
But keep your eyes on me
Yeah, your heart don't stand a chance
It feels like it's been far too long
Your knees can't hold your legs
Your feet just want to pace
The eyes keep me all in a trance
Let me ask you
Would you leave it all in the back of your head
Or all in the palm of my hand, huh?
Ain't nobody holding you back
Don't it feel like it's been far too long, girl?
Your heart don't stand a chance
Your knees just want to break
Your eyes keep me all in a trance
And let me ask you, mmm
I know the approach is so far from what you're used to
But you know it
And do I hold a candle to the last one over your moon?
Baby, of course I do
And I'm not closing my tab
Don't it feel like it's been far too long, girl?
Huh, your heart don't stand a chance

Ooh, champagne pourin' down
Arms, legs wrapped around you
Ooh, champagne, let it fall down
Arms, legs keep grabbing

Yeah, yeah, twostep in the corridor
Spinning the greatest hits of Hall & Oates
Open of chronic smoke
I know my time will flee
But your heart don't stand a chance, uh
It feels like it's been far too long, hmm
The moment is all that we have
My meter should be up by the half
A ticket is the least of my cares
So let me ask you, uh
Am I dreaming?
Mind on the tip of a cloud
Or is it real as the stone in your crown?
Say, ain't nobody towing my Jag, uh
Don't it feel like it's been far too long, girl, huh?
Your heart don't stand a chance
I'm waiting for the white flag
You're talking with the blunt in your hand
And won't you pass that, huh?
I know in the morning
The sunlight cover your wounds, huh
But I'm hoping that I look the same as the way you always knew
Baby, of course, I flew
But I'm not over what we had, huh
Don't it feel like it's been far too long, girl, uh?
Your heart don't stand a chance
Ooh, champagne pourin' down
Arms, legs wrapped around you
Ooh, champagne, let it fall down
Arms, legs keep grabbing
I remember being tumbled around and not being able to get to the surface where the air was
And looking down and seeing my body spinning around in the white water"
Bubblin,Anderson .Paak,Madden NFL 19 Soundtrack,"{'year': 2018, 'month': 5, 'day': 17}","Look at you go
Okay, you bubblin'
Look, go, go
Look at you go
Okay, you bubblin', look

Yeah, one in the hand, one in the bag, bubblin'
Look at the cash, look at the cash comin' in
Come get your mans, this lil' nigga buggin' me
Just leave the bag, quit all that jawjackery
Don't even pass me that, I don't want none of it Yeah)
These niggas mad about it, had enough of it
Woah, watch what you sayin', all that poppin' and shakin'
Got me hot as a laser, my posse deep and irate
And we act a fool for the paper, had a dream and I made it
El Camino on Dayton's, Vintage Guess over Bape
Put the bread on me, bitch, bitch, you bet I'ma bank it
Piggy flat in a blanket, I might just roll out today
I might just roll out to Vegas, head back to my old ways
Cop a room full of Asian hoes and do blow all day
Look at me, baby, look at me, baby
Don't I look like a million? I'm 'bout to clean out the safe
Ddon't I look like somebody that just be bodyin' everything?
All that talkin' is great but I don't be talkin', I air it out
All the problems have gotten easy to bury
I'd rather drown them in Hendrick's, I'd rather kiss on my Mary
I been broker way longer than I been rich so until it levels out
I'ma take your mama to the Marriott and wear it out
Took me so long to get it, go on and spread it out
Let 'em know all about me when I'm dead and gone woah)

One in the hand, one in the bag, bubblin' look at you go)
One in the hand, one in the bag, bubblin' look at you go)
Look at the cash, look at the cash bubblin' okay, you bubblin')
Look at the cash look) bubblin' go)
One in the hand look), one in the hand go)
One in the hand, one in the bag, bubblin' look at you go)
Look at the cash, look at the cash bubblin' okay, you bubblin')
Look at the cash look) bubblin'

I'ma need all the fries you can give me
All the hot sauce, all the pie you can give me
Better be all or nothin', don't have me in the middle
You better be all you can, get higher than the limit, yeah
Simplify for the Dumbos, plenty slides, I can shuffle
Hit the cadence with my young bitch, Isaac Hayes, Billy Ocean
Bought the old hoe with the cane stick, left my slippers at the function
It's hard to run in Gucci slides
Chick, I thought you said you didn't have a husband
I'm a stud, no cuckold, Jackie Chan, no trouble
Can't clean it with a bib, blood drippin' from the cutthroats
No Lord, not me, I can never be the one you wanna stunt for
Money, money, that machine gun sprayed the Ferragamo store
RIP to times that I was broke, after life in  Porsche
Matte black lookin' clean, dead prezies in an envelope
Cookin up canard, waitin' for the antidote
Runnin' out of time, patience thinner than a pantyhose
Get over here and empty your pockets.""
I don't do that.""
You're my prisoneryou do what I tell you to doget over here.""
Haha, he's gonna get nasty about it!""
Fuckin' bitch!""
Frank! Cool it, huh?""
Stay the fuck outta this!""

One in the hand, one in the bag, bubblin' look at you go)
One in the hand, one in the bag, bubblin' look at you go)
Look at the cash, look at the cash bubblin' okay, you bubblin')
Look at the cash look) bubblin' go)
One in the hand look), one in the hand go)
One in the hand, one in the bag, bubblin' look at you go)
Look at the cash, look at the cash, bubblin' okay, you bubblin')
Look at the cash look) bubblin'"
The Bird,Anderson .Paak,Malibu,"{'year': 2016, 'month': 1, 'day': 15}","A bird with the word came to me
The sweetness of a honeycomb tree
And now I look what's taking over me
Couldn't fake it if I wanted to
I had to wake up just to make it through
I got my patience and I'm making do
I learned my lessons from the ancient roots
I choose to follow what the greatest do
A bird with the word came to me
The sweetness of a honeycomb tree
And now I look what's taking over me
Couldn't fake it if I wanted to
I had to wake up just to make it through
I got my patience and I'm making do
I learned my lessons from the ancient roots
I choose to follow what the greatest do

I'm repping for the longest cycle, mmm
My uncles had to pay the cost, mmm
My sister used to sing to Whitney, mmm
My mama caught the gambling bug, mmm
We came up in a lonely castle, mmm
My papa was behind them bars, mmm
We never had to want for nothing, mmm
Said, all we ever need is love, mmm
We see the same things
We sing the same songs
We feel the same grief
Bleed the same blood
You grew up in the home beside me
I always had a friend to call
How could I make it here without you? Mmm
I pray I leave before you're gone

The bird with the word came to me
The sweetness of a honeycomb tree
And now I look what's taking over me
Couldn't fake it if I wanted to
I had to wake up just to make it through
I got my patience and I'm making do
I learned my lessons from the ancient roots
I choose to follow what the greatest do
A bird with the word came to me
The sweetness of a honeycomb tree
And now my luck was taking over me
Couldn't fake it if I wanted to
I had to wake up just to make it through
I got my patience and I'm making do
I learned my lessons from the ancient roots
I choose to follow what the greatest do

Hey, my little youth is crying
I'm almost home, almost home
Look, no further riots, mmm
Working my fingers to the bone
See, I do the best I can, mmm
Mama was a farmer, mmm
Papa was a goner, mmm"
Am I Wrong,Anderson .Paak,Malibu,"{'year': 2015, 'month': 11, 'day': 9}","Why lie?
Why lie, yeah

I'm only comin' out to play
Nothin' more that I hate in this life
The wrong impression, I only have one to make
You can open your palm, waiting to catch a break
The cards will fall where they may
And what about me?
I believe in fate, huh
They wanna know where I'll be in five, huh
But, what about today? What about tonight?

Only one at a time
So precious, it's yours, it's mine
Only one at a time
My life, my life, yeah

Am I wrong to assume
If she can't dance, then she can't ooh, yeah?
Am I wrong to say
If she can't dance, then she can't ooh?

Hey, I never wanna waste your time, my life
So precious, it's yours, it's mine
And look at the time, my God
So precious, it's yours, it's mine

Only one at a time
So precious, it's yours, it's mine
Only one at a time
My life, my life, yeah
Smiles around the clock
Dance around the globe to Disco 
I stare at you in the eyes and spin you on your toes
Music ain't music without soul
Feelin' the top row
Shut the blindfolds, pass the nitro
Rock the love boat, get high to get low
Chill the Merlot, steady your fast pour
You pick up, we go low
Make love once or more, we rest then encore
Dodo thatthatthat, hey
Break you off in your KitKatKat, hey
Never seen no one this gorgeous
Pay your whole damn mortgage
Will you look at the time, hey?
Still, you the one on the mind, hey
Still, you the topic of rhyme, hey
Thank God that it's Friday
Tonight, let's be the life of the party
It's nothing to me
Get up and move your feet, ah!
I never wanna waste your time, my life
So precious, it's yours, it's mine
And look at the time, my God
So precious, it's yours, it's mine

Hey, I never wanna waste your time, my life
So precious, it's yours, it's mine
And look at the time, my God
So precious, it's yours, it's mine"
The Season / Carry Me,Anderson .Paak,Malibu,"{'year': 2016, 'month': 1, 'day': 15}","
My faith is buried somewhere underneath the town
Until its paid for)
Strawberry season, my sweetheart is coming round
I hear it rain and pour)
How did you find me here? It must be perfect timing
Forever grateful)
If I didnt love you then, I damn sure love you now
Fruit of your labor)

Say, aint shit change but the bank statements
Spent the summer in the wave with the beach babies
Threw your chula in the buggie
With the top down up the PCH
Im heading north, I hope it doesn't rain
Went from playing community ball to balling with the majors
Oh, what, you major?)
Yeah, nigga, I ran bases, pitch flame
I call plays, remove labels
And fuck fame, that killed all my favorite entertainers
Nothing short of amazing, ooh, yeah)
But Im short on my patience
Say, I dont play that shit, I dont ever forget
And dont forget that dot, nigga, you paid for it
I spent years being called out my name
Living under my greatness
But what dont kill me is motivation

My faith is buried somewhere underneath the town
Until its paid for)
Strawberry season, my sweetheart is coming round
I hear it rain and pour)
How did you find me here? It must be perfect timing
Forever grateful)
If I didnt love you then, I damn sure love you now
Fruit of your labor)


Yeah, say, yeah

Six years old, I tried my first pair of Jordans on
(Momma, can you carry me?"")
It was late in the fall
I caught a glimpse of my first love, my God
(Momma, can you carry me?"")
Knees hit the floor, screams to the Lord
Why they had to take my ma? (Momma, carry me?"")
To the early morn' (Momma, can you carry me?"")
To the early morning (Momma, can you carry me?"")
Hey, hey, hey, gather round, hustlers, that's if ya still livin'
And get on down before the judge give the sentence
A few more rounds before the feds come and get you
Is you gon' smile when your date gets issued?
You know them feds taking pictures
Your moms in prison, your father need a new kidney
Your familys splitting, rivalries between siblings
If cash aint king, it's damn sure the incentive
And good riddance

Is the element of danger an important factor for the members of your peer group?""
Yes, you might say that. Why dont you give it a try and find out for yourself?""

'Bout the year Drizzy and Cole dropped
Before KDot had it locked
I was sleeping on the floor, newborn baby boy
Tryna get my money pot so wifey wouldnt get deported
Cursing the heavens, falling out of orbit
Tryna roll this seven, tryna up my portion
What about your goals? What about your leverage?
So they dont force you into some hole
Whats the meaning of my fortune reading?
When I crack the cookie, all it said was keep dreaming”
When I look at my tree, I see leaves missing
Generations of harsh living and addiction
I came to visit during the sevenyear stint
But they wouldnt let me in because my license suspended
Now Im scraping the pennies just to kiss you on your cheek
Its gonna be a couple weeks before I get it
I know you miss me
Six years old, I tried my first pair of Jordans on
Momma, can you carry me?)
It was late in the fall
I caught a glimpse of my first love, my God
Momma, can you carry me?)
Knees hit the floor, screams to the Lord
Why they had to take my ma? Momma, carry me)
To the early morn' Momma, can you carry me?)
To the early morning Momma, can you carry me?)

Momma, can you carry me?)
Momma, can you carry me?)
Momma, can you carry me?)
Momma, can you carry me?)

Yeah, oh, oh, oh
And one of these is my rise
One of these is my downfall
And Im the one to make it right
I wanna make it right, momma
And one of these is my rise
One of these is my downfall
And Im the one to make it right
I wanna make it right, momma
I wanna make it right

Momma, can you carry me?)
To the early morning
Momma, can you carry me?)
To the early morning
Momma, can you carry me?)
Oh, lord
Momma, can you carry me?)
Momma, can you carry me?)
Momma, can you carry me?)
Momma, can you carry me?)
Momma, can you carry me?)
I, uh, see here they call you a masochist
I like pain
Can you be specific? What kind of pain do you like?
Any kind of pain"
Tints,Anderson .Paak,Oxnard,"{'year': 2018, 'month': 10, 'day': 4}","I been feelin' kinda cooped up, cooped up
Im tryna get some fresh air
Hey, why you got the roof off, roof off?
You know it never rains here
Hey, you ain't gotta flash when you takin' your picture
You aint gotta draw no extra attention
Paparazzi wanna shoot ya, shoot ya
Niggas dyin' for less out here

I been in my bag, adding weight
Tryna throw a bag in a safe
Giggin', tourin', chorin', raisin' babes
Baby Milo wants some Bathing Apes
Niggas crying for less out here
Do what I gotta do bruh, do bruh
Get up in my rear view mirror

I can't be ridin' round and round that open strip
I need tints Windows tinted)
I need tints I need my windows tinted)
I cant be flying down that  with a bad bitch in my whip
I need tints Windows tinted)
I need tints I need my windows tinted)
And its no good for me, it's so good for them
I need tints Windows tinted)
I need tints I need my windows tinted)
I got way too much to lose, so roll your window up real quick
I need tints Windows tinted)
I need tints I need my windows tinted)

You probably think a nigga trollin’ Like)
Or showin' out for the cameras Right)
Fuck I'm doin' fishbowlin’? ('Side)
One hunnid thou' on the passenger
Bitch, I'm Kendrick Lamar, respect me from afar
I was made in His image, you call me a god
Everybody in attendance, I'm about to perform
Everybody get offended by the shit I got on
Like, can you buy that, nigga?
Nine hundred horse, can you drive that, nigga?
A G, can you fly that, nigga?
I need tints so I can look at the snakes and posers
I need tint) 'Cause bomb head is nondisclosure
I need tint) So I can live with a peace of mind
Without niggas takin' a piece of mine
And peace be still and not do fines, so fuck a fixit ticket
You pull me over and might see one of your bitches, ahh!

Ridin' round and round that open strip
I need tints Windows tinted)
I need tints I need my windows tinted)
I can't be flying down that  with a bad bitch in my whip
I need tints Windows tinted)
I need tints I need my windows tinted)
And it's no good for me, it's so good for them
I need tints Windows tinted)
I need tints I need my windows tinted)
I got way too much to lose, so roll your window up real quick
I need tints Windows tinted)
I need tints I need my windows tinted)
You know I like it presidential Presidential)
Stretch it out, that's a limo That's a limo)
Pull it over, let me get behind ya ('Hind ya)
Where we goin', they don't need to know Don't need to know)
Ghost ridin' in the Phantom In the Phantom?)
Niggas never see me comin' Uh, superstar)
She wanna hold me like a ransom Uh, bitch, I don't know you)
But the money keep me runnin' Uh, but the money)

I been in my bag, adding weight
Tryna throw a bag in a safe
Giggin', tourin', chorin', raisin' babes
Baby Milo wants some Bathing Apes
Niggas crying for less out here
Do what I gotta do bruh, do bruh
Get up in my rear view mirror

Ridin' round and round that open strip
I need tints Windows tinted)
I need tints I need my windows tinted)
I can't be flying down that  with a bad bitch in my whip
I need tints Windows tinted)
I need tints I need my windows tinted)
And it's no good for me, it's so good for them
I need tints Windows tinted)
I need tints I need my windows tinted)
I got way too much to lose, so roll your window up real quick
I need tints Windows tinted)
I need tints I need my windows tinted)
I, I think I'm 'bout to black out
Can't see me when I act out tonight
I got some moves I gotta make though
I got the goons up on the payroll
They won't see me coming
They won't see me coming, no, no
I, I think I'm 'bout to black out
Can't see me when I act out tonight
I got some moves I gotta make though
I got the goons up on the payroll
They won't see me coming
They won't see me coming
]
As soon as I put this on, yeah, ooh)
Yeah, as soon as I put this on)
God damn, what?
Don't fight it, let it live)
Shit, what's up man?
Bubblin'! I see you my nigga!
Oh, thank you bro!
Ay, bro, I don't know if you- anybody ever told you this, you need to start sellin' bubble baths
Ah
Since you got the song Bubblin'"" so it's- bath bombs dawg! It's London, my nigga! You'll really win!
That's extra, bro. That's extra. You gotta chill, bro, you gotta chill
Whatchu mean I gotta chill, bro? Why are you rollin' yo windows up?
Just be- just be yourself
Bro, lemme get  dollars!
Ay, you got some lotion?"
Put Me Thru,Anderson .Paak,Malibu,"{'year': 2016, 'month': 1, 'day': 15}","Why the hell would you run this game?
Both my hands are tied
Afraid of thinking I dug my own grave
Fuck around with this
Strange and elusive, too afraid to lose it
I don't mind this pain
Most niggas want you for your candy
They'll never know just how long it takes
I wave my own pride
And put it all on the line

There I go, volunteering punishment
Self inflicted pain, sickness over used
Way over used
Here I stay, hey, time to time
It must be what you put me through, ha
It must be what you put me through

A little while longer
A bit more time
Why would you run these thoughts across my mind?
Please, relieve me
As cool as I remain
There's a point in which I'll lose my self restraint
Say, love, most niggas would've left you lonely
I fancy throwin' it all away
I see it to my own demise
How much longer will I let it ride?

There I go, volunteering punishment
Self inflicted pain, sickness over used
Will I let it ride? Here I stay)
Here I stay, time to time
It must be what you put me through Yeah, time to time)
It must be what you put me through

Hey, it must be Here I stay, time to time)
It must be what you put me through
It must be what you put me through"
Trippy,Anderson .Paak,Oxnard,"{'year': 2018, 'month': 11, 'day': 16}","Ah, that's right, doll
But everyone wants love
Love, is the answer, Johnny
Everyone is lookin' for love, deep love
A lifetime of deep love, you know?
I'm lookin' for a shallow half hour, you know?
Don't you have luck with women?
I never had luck with women
I'm no ladies man, I know that, Johnny
And I never got girls when I was a kid in show business either, you know?
One girl told me, Come on over, there's nobody home""
I went over, there was nobody home!

You and I will always meet somewhere in between
You and I will always meet somewhere in between
Sweet Trippy, I'm yours for the gettin'
Talkin' foolish at the moon, I was gone, , sippin'
I can't get rid of you, all the places that I used to go and kick it
All this weight that I'm liftin', trippy

Come meet me in the middle, right there where you always be
Somewhere in between, you and I will always meet
Come meet me in the middle, right there where we always be
Somewhere in between, you and I will always meet
Come meet me in the middle I'll meet you in the middle)
Come meet me in the middle Somewhere in between)
Come meet me in the middle You and I will always meet)
Right there where we always be Somewhere in between)

Without a space I could feel, in the words to define
Pick it up, if you will, heavy weight on my mind
Just a pretty brown thing wit'cho head in the clouds
Why don't you put the round thing in the palm of my hands
Up enough for the thrill, over over you spill
Open up, I could tell
I could see when it's real
And as soon as I grab a hold of ya, I'ma have to let go of ya

Came down the block, somethin' sick, but it's rented
I don't give a fuck, bitch, either way, I'm in it
I ain't gotta prove to you that I got bread
Niggas talkin' money but be broker than the bed
That I slept on back in Mohammed crib
'Member fuckin' hoes leanin' all to the left?
Don't know why they rock wit' a nigga, but they did
Damn sure wasn't the money, maybe it's the kid?
Used to have a honey that I loved when we was younger but somehow got disconnected before Facebook got so big
I used to search her name hopin' we could reconnect
But if I sent the message, would she still be on my dick?
When I couldn't find her, had me feelin' mad lame
Maybe she got married and she changed her last name
Maybe she just ain't up on the latest of the internet and ain't got into that
But give her time, that'll change
Bingo, what do you know?
Years later Right), late night after a show we here laid up Right)
Brown skin, love how it glow, your hair tied up Right)
Ask, Is it cool if I smoke?"" Go 'head, light up Right)
High from your fragrance, I love, you smell purrty Smells good)
Know I got it straight from the mud, my nails dirty Right)
If somehow we both lose touch, I won't lie, ya got me open way too much, I'm gon' find ya
Sweet trippy, youre lost in the deep end, like water to a fish scale
Love to watch you swim
I can't get rid of you, all the places that I used to go and kick it
All this weight that I'm liftin', trippy

Come meet me in the middle, right there where you always be
Somewhere in between, you and I will always meet
Come meet me in the middle, right there where we always be
Somewhere in between, you and I will always meet
Come meet me in the middle You and I will always be)
Come meet me in the middle Somewhere in between)
Come meet me in the middle You and I will always meet)
Somewhere in between
You and I will always be"
Come Home,Anderson .Paak,Ventura,"{'year': 2019, 'month': 4, 'day': 12}","Ooh, oohoohoohooh, ahah
Ooh, oohoohoohooh, ahah, ahah
Ooh, oohoohoohooh, ahah
Ooh, oohoohoohooh, ahah, ahah

Darlin', I have to be moved from afar
The truth is the only thing worth holdin' onto anymore Anymore)
Untie me, let me loose from the cord
I'm so gone, so far, I deserve more More, I deserve more)
Yeah

I'm beggin' you I beg)
I'm beggin' you, please, come home Please)
No one even begs anymore Come home)
I'm beggin' you I beg)
I'm beggin' you, please, come home Please)
No one even begs anymore Come home)

Ooh, oohoohoohooh, ahah
Ooh, oohoohoohooh, ahah, ahah
Ooh, oohoohoohooh, ahah
Ooh, oohoohoohooh, ahah, ahah

Who should I rest blame upon
When all of the signs are brightly drawn
And point back to your open arms? Point back to your open arms)
Back too soon, but I'm here for the last of support
No longer bound by a broken heart Bound by a broken heart)

I'm beggin' you I beg)
I'm beggin' you, please, come home Please)
No one even begs anymore Come home)
I'm beggin' you I beg)
I'm beggin' you, please, come home Please)
No one even begs anymore Come home)

Ooh, oohoohoohooh, ahah
Ooh, oohoohoohooh, ahah, ahah
Ooh, oohoohoohooh, ahah
Ooh, oohoohoohooh, ahah, ahah

Somewhere in a plane over water
My love, my love
Home base, wifey turn it off before I touch down
You're all I need, all of me on my knees
Normally harmony, bumblebee, hummingbird
I'm a nerd, study you
What are you, WWF?
We fightin', we might need counseling
Possibly moreso me
Sounds to me frowns'll be grounds to leave
Hounds'll be lookin' for you before you drop a tear, apres diem
Stop pretending that I ain't him
I ain't them, dim sum dumpling
I remember when you start dyeing them silver hairs
And start hiding from your age
I ask, Why? How come?""
Amazin' how time can run away from us
I'm no nun, you're no priest, but I promise, hun, you gon' see
A phenomenon, come with me
Like it's Ramadan, I don't eat
Like it's Comic Con, I'm a freak for you Yeah!)
I'm begging now, pretty please with cherries on top
Hairy wet twat
Harriet Tubman, I don't give up
And if your gut tells you to strut, then strut
Then I'll hail you a car, but what man won't beg?
You know I'm nutmeg
I will show up on a lil' moped
With a lil' puppy, it'll be fluffy
You will untoughen, we can discuss it
You know I'm sufferin', I do miss my friend
I don't like my fin bent up, Tilikum, well, that's illinformed
Sweet stuff, Willa Wonk', we stuck, Billabong
'Least at minumum we gon' get along
Peace and inner calm, geez, it's been a long
TIME, um, please, I'm feelin' dumb
Please, I'm feelin' dumb
Please, I'm feelin' dumb
Ooh, oohoohoohooh, ahah
Ooh, oohoohoohooh, ahah, ahah
Ooh, oohoohoohooh, ahah
Ooh, oohoohoohooh, ahah, ahah"
