,Artist,Album,Release Date,Lyrics
Paul,Big Theif,Masterpiece,"{'year': 2016, 'month': 5, 'day': 12}","Oh, the last time I saw Paul
I was horrible and almost let him in
But I stopped and caught the wall
And my mouth got dry so all I did was take him for a spin
Yeah, we hopped inside my car
And I drove in circles 'round the freight train yard
And he turned the headlights off
Then he pulled the bottle out
And then he showed me what was love

I'll be your morning bright goodnight shadow machine
I'll be your record player, baby, if you know what I mean
I'll be your real tough cookie with the whiskey breath
I'll be a killer and a thriller and the cause of our death

In the blossom of the months
I was sure that I'd get driven off with thought
So I swallowed all of it
As I realized there was no one who could kiss away my shit

I'll be your morning bright goodnight shadow machine
I'll be your record player baby if you know what I mean
I'll be your real tough cookie with the whiskey breath
I'll be a killer and a thriller and the cause of our death

Paul, I know you said that you'd take me any way I came or went
But I'll push you from my brain
See, you're gentle, baby
I couldn't stay, I'd only bring you pain

I was your starryeyed lover and the one that you saw
I was your hurricane rider and the woman you'd call
We were just two moonshiners on the cusp of a breath
And I've been burning for you baby since the minute I left"
Vampire Empire,Big Theif,Vampire Empire / Born For Loving You,"{'year': 2023, 'month': 7, 'day': 19}","Watching TV tired, bleeding on the bed
The milk has just expired, all the leaves are dead
I'm not quiet, you've been quiet, just receiving what you said
Reeling, feeding, feeling filled by everything you fed
I see you as you see yourself through all the books you read
Overwhelmed with guilt and realizing the disease

You give me chills, I've had it with the drills
I am nothing, you are nothing, we are nothing with the pills
I am empty 'til she fills, alive until she kills
In her vampire empire, I am

Falling, yeah
Falling, yeah

I see you there rejecting all your earthly power
Protecting and dissecting 'til you've emptied every hour
We jump into the pond, then we come under the shower
You lay upon my pillow and you open like a flower
I wanted to see you naked, I wanted to hear you scream
Wanted to kiss your skin and your everything
I wanted to be your woman, I wanted to be your man
I wanted to be the one that you could understand

You give me chills, I've had it with the drills
I am nothing, you are nothing, we are nothing with the pills
I am empty 'til she fills, alive until she kills
In her vampire empire, I am

Falling, yeah
Falling, yeah

Ohoh
Ohoh
Ohoh
Oh

Well, I walked into your dagger for the last time
It's like trying to start a fire with matches in the snow
Where you can't seem to hold me, can't seem to let me go
So I can't find surrender, and I can't keep control
You turn me inside out and then you want the outside in
You spin me all around, then you ask me not to spin
You say you want to be alone, and you want children
You wanna be with me, you wanna be with him
You give me chills, I've had it with the drills
I am nothing, you are nothing, we are nothing with the pills
I am empty 'til she fills, alive until she kills
In her vampire empire, I am

Falling, yeah
Falling, yeah
Falling, yeah
Falling, yeah
Falling, yeah
Falling, yeah"
Masterpiece,Big Theif,Masterpiece,"{'year': 2016, 'month': 2, 'day': 4}","Years, days, makes no difference to me, babe
You look exactly the same to me
Aint no time, crossing your legs inside the diner
Raising your coffee to your lips, the steam

You saw the masterpiece, she looks a lot like you
Wrapping her left arm around your right
Ready to walk you through the night

You whisper to a restless ear, Can you get me out of here?
This place smells like piss and beer, can you get me out?”
You were asking me how to get you free
I only know the recipe to roam

You saw the masterpiece, she looks a lot like you
Wrapping her left arm around your right
Ready to walk you through the night

Old stars filling up my throat
You gave 'em to me when I was born, now theyre coming out
Laying there on the hospital bed, eyes were narrow, blue and red
You took a draw of breath and said to me

You saw the masterpiece, she looks a lot like me
Wrapping my left arm around your right
Ready to walk you through the night

Old friends, old mothers, dogs and brothers
Theres only so much letting go you can ask someone to do
So I keep you by my side, I will not give you to the tide
I'll even walk you in my stride, Marie

'Cause I saw the masterpiece, she looks a lot like you
Wrapping your left arm around my right
Ready to walk me through the night"
Mary,Big Theif,Capacity,"{'year': 2017, 'month': 5, 'day': 31}","Burn up with the water
The floods are on the plains
The planets in rows
Who knows what they contain?
And my brain is like an orchestra
Playing on, insane
Will you love me like you loved me in the January rain?

Mom and Dad and violins
Somber country silence
The needle stopped the kicking
The clothes pins on the floor
And my heart is playing hide and seek
Wait and count to four
Will you love me like you loved me and I'll never ask for more

What did you tell me Mary
When you were there so sweet and very
Full of field and stars
You carried all of time
Oh and, heavens, when you looked at me
Your eyes were like machinery
Your hands were making artifacts in the corner of my mind

Monastery monochrome
Boom balloon machine and oh
Diamond rings and gutter bones
Marching up the mountain
With our aching planning, high and smiling
Cheap drink, dark and violent
Full of butterflies, the violent tenderness
The sweet asylum
The clay you find is fortified
We felt unfocused fade the line
The sugar rush, the constant hush
The pushing of the water gush
The marching band when April ran
May June bugs fly and
Push your gin Jacob
With the tired wiry brandy look
Here we go round, Mary
In your famous story book

We overcome the sirens
We look both left and right
And I can feel the numbness accompany my plight
And I know that someday soon I'll see you
But now you're out of sight
And you'll kiss me like you used to in the January night
What did you tell me Mary
When you were there so sweet and very
Full of field and stars
You carried all of time
Oh and, heavens, when you looked at me
Your eyes were like machinery
Your hands were making artifacts in the corner of my mind

Monastery monochrome
Boom balloon machine and oh
Diamond rings and gutter bones
Marching up the mountain
With our aching planning, high and smiling
Cheap drink, dark and violent
Full of butterflies, the violent tenderness
The sweet asylum
The clay you find is fortified
We felt unfocused fade the line
The sugar rush, the constant hush
The pushing of the water gush
The marching band when April ran
May June bugs fly and
Push your gin Jacob
With the tired wiry brandy look
Here we go round, Mary
In your famous story book"
Simulation Swarm,Big Theif,Dragon New Warm Mountain I Believe in You,"{'year': 2022, 'month': 1, 'day': 19}","I tried to tell you
I didn't know how to stay
You believe she can see through
Cutting at the silent clay
A relief, beckon deep blue
Fettered in the magnet sun
Eat the gun as it feeds you
Spitting up the oxygen
Once again
Once again

Once again, empty horses
Gallop through the violet door
Follow red, crooked courses
Shadows on the moonlit floor
Oh, my stars, winged creatures
Gathering in silken height
Like the last human teachers

Once again, wе must bleed new
Even as the hours shakе
Crystal blood like a dream true
A ripple in the wound and wake
You believe, I believe too
That you are the river of light
Who I love, that I cling to
In the belly of the empty night

From the thirtyfirst floor of the simulation swarm
With the drone of fluorescence
Flicker, fever, fill the form
With a warm gush, now I wanna touch
Like we never could before
I'd fly to you tomorrow, I'm not fighting in this war
I wanna drop my arms and take your arms
And walk you to the shore

I remember building an energy shield
In your room, like a temple
Swallows in the windless field
Very thin, with your mother
Tall as a pale green tree
Very wild, bright as winter
Rising with a prism key
And a child to deliver
Taken with the blood and vine
As the first little angel

Little Andy, soft in your newborn skin
Only one, little Andy, will you return again?
I believe we can renew
And you could be my brother
Once again, fall asleep with our backs against each other
You believe, I believe too
That you are the river of light who I love
That I sing to in the belly of the empty night
From the thirtyfirst floor of the simulation swarm
With the drone of fluorescence
Flicker, fever, fill the form
With a warm gush, now I wanna touch
Like we never could before
I'd fly to you tomorrow, I'm not fighting in this war
I wanna drop my arms and take your arms
And walk you to the shore
I'd fly to you tomorrow, I'm not fighting in this war
I wanna drop my arms and take your arms"
Not,Big Theif,Two Hands,"{'year': 2019, 'month': 8, 'day': 13}","It's not the energy reeling
Nor the lines in your face
Nor the clouds on the ceiling
Nor the clouds in space
It's not the phone on the table
Nor the bed in the earth
Nor the bed in the stable
Nor your stable words
It's not the formless being
Nor the cry in the air
Nor the boy I'm seeing
With her long black hair
It's not the open weaving
Nor the furnace glow
Nor the blood of you bleeding
As you try to let go

It's not the room
Not beginning
Not the crowd
Not winning
Not the planet
Not spinning
Not a ruse
Not heat
Not the fire lapping up the creek
Not food
Not to eat

Not the meat of your thigh
Nor your spine tattoo
Nor your shimmery eye
Nor the wet of the dew
It's not the warm illusion
Nor the crack in the plate
Nor the breath of confusion
Nor the starkness of slate

It's not the room
Not beginning
Not the crowd
Not winning
Not the planet
Not spinning
Not a ruse
Not heat
Not the fire lapping up the creek
Not food
Not to eat

Not what you really wanted
Nor the mess in your purse
Nor the bed that is haunted
With the blanket of thirst
It's not the hunger revealing
Nor the ricochet in the cave
Nor the hand that is healing
Nor the nameless grave
It's not the room
Not beginning
Not the crowd
Not winning
Not the planet
Not spinning
Not a ruse
Not heat
Not the fire lapping up the creek
Not food
Not to eat
Not to die
Not dying
Not to laugh
Not lying
Not the vacant wilderness vying
Not the room
Not beginning
Not the crowd
Not winning
Not the planet
Not spinning"
Shark Smile,Big Theif,Capacity,"{'year': 2017, 'month': 5, 'day': 5}","She was a shark smile in a yellow van
She came around and I stole her glance
In my youth, a vampire
Evelyn shone quiet as roses sting
It came over me at a bad time
But who wouldn't ride on a moonlit line?
I had her in my eye,  down the road of a dead end gleam

And she said woo
Baby, take me
And I said woo
Baby, take me too

It came over her at a bad time
Riding through Winona down the dotted line
Held us gunning out
 miles down the road of a dead end dream
She looked over with her part smile
Caught up in the twinkle, it could take awhile
And the money pile on the dashboard fluttering

As she said woo
Baby, take me
And I said woo
Baby, take me too

Evelyn's kiss was oxygen
I leaned over to take it in
As we went howling through the edge of south Des Moines
It came over me at a bad time
She burned over the double line
And she impaled as I reached my hand for the guard rail
Ooh the guard rail
Ooh the guard rail

She said woo
Baby, take me
And I said woo
Baby, take me too
She said woo
Baby, take me
And I said woo
Baby, take me too"
Mythological Beauty,Big Theif,Capacity,"{'year': 2017, 'month': 4, 'day': 5}","You have a mythological beauty
You have the eye of someone I have seen
Outside of ordinary situations
Even outside of dreams
You lie in bed at night and watch the lines
Of headlights through your screen
There is a child inside you
Whos trying to raise a child in me

If you wanna leave
You just have to say
Youre all caught up inside
But you know the way

You cut the flesh of your left thumb
Using your boyfriends knife
Seventeen, you took his cum
And you gave birth to your first life
You gave Andrew a family who you thought
Could love and take better care
I have an older brother I dont know
He could be anywhere

If you wanna leave
You just have to say
Youre all caught up inside
But you know the way
Youre all caught up inside
But you know the way

Rented a house in Nisswa, Minnesota
Shrapnel and oil cans, rhubarb in the yard
I built a ladder out of metal pieces
Father was working hard
Standing beneath the oak tree by the front door
You were inside baking bread
Sister came out and put her arms around me
Blood gushing from my head
You held me in the backseat with a dishrag
Soaking up blood with your eye
I was just five and you were twentyseven
Praying, Dont let my baby die.”

If you wanna leave
You just have to say
Youre all caught up inside
But you know the way
Youre all caught up inside
But you know the way
So much more to live your life
To walk the floor
To say goodnight
Do you leave your light on?
Do you leave your light on?
Youre all caught up inside
But you know the way
Youre all caught up inside
But you know the way
Youre all caught up inside
But you know the way
Youre all caught up inside
But you know the way"
Velvet Ring,Big Theif,Masterpiece,"{'year': 2016, 'month': 5, 'day': 27}","Two, three, four

Shoved in the kitchen of a city tomb
The light would flicker like a violent womb
The night was thicker than a smoky fume
And Liza waited in the room
Benny loved her like he loved no one
The way she'd laugh and hold a smoking gun
The way she always said, What's done is done.""
And he was not the only one

Love is a gentle thing
Yours is thicker than a velvet ring
Yours is thicker than a velvet ring

A victim healer with a sharp sharp blade
Benny knew how she was getting paid
Her water broke and they would have to wade
And when he knew that she was fooling
He faced the mirror to avoid the thing
We're outta money and we sold the bling
And I just wanna take you home, I just wanna take you home

Love is a gentle thing
Yours is thicker than a velvet ring
Yours is thicker than a velvet ring
And I am wondering, ring
I am wondering
"
Real Love,Big Theif,Masterpiece,"{'year': 2016, 'month': 3, 'day': 3}","Having a bad week?
Let me touch your cheek
I will always love you

Having your face hit
Having your lip split
By the one who loves you

Real love, real love
Real love makes your lungs black
Real love is a heart attack

Showing your mother to any other
Letting them touch her
Looking up to her
Watching her do her makeup and hair

Real love, real love
Real love makes your lungs black
Real love is a heart attack

Cry like a bird, fly like a baby
Mama got drunk and Daddy went crazy
If your speech slurs, if you feel shaky, meet me out back
I'll be there waiting

Riding in the back seat
Watching the spit fly and the hummingbird cry
Oh mama, oh papa
Oh mama, oh papa
How much blood is worth the draw?
How much blood is worth the draw?

Real love, real love
Real love makes your lungs black

Hummingbird watching
Watching her young thing
Grow up so fast
Looking up to her
Watching her do her makeup and hair
"
