,Artist,Album,Release Date,Lyrics
Beach Life-in-Death [2018],Car Seat Headrest,Twin Fantasy (Face to Face),"{'year': 2017, 'month': 12, 'day': 13}","Last- Last night I drove to Harper's Ferry and I thought about you
There were signs on the road that warned me of stop signs
The speed limit kept decreasing by ten
As we entered a town about halfway there
It was almost raining at the train station
We put our hoods on our heads at the train station
We threw rocks into the river
The river underneath the train tracks
And when the train came it was so big and powerful
When it came into the little station
I wanted to put my arms around it
But the conductor looked at me funny
So we had to say goodbye and leave
The Monopoly board still in the backseat
Took that nightmare left turn to get out of town
Ran into the decreasing speed limits again
What should I do? Eat breakfast)
What should I do? Eat lunch)
What should I do? Eat dinner)
What should I do? Go to bed)
Where can I go? Go to the store)
Where can I go? Apply for jobs)
Where can I go? Go to a friend's)
Where can I go? Go to bed)
I wrote Beach Death"" when I thought you were taken
I wrote Beach Funeral"" when I knew you were taken
I wrote Beach Fagz""well it wasn't about you
But it could've beenwell, no, it couldn't have
I spent a week in Ocean City
And came back to find you were gone
I spent a week in Illinois
And came back to find you were still gone
I pretended I was drunk when I came out to my friends
I never came out to my friends
We were all on Skype
And I laughed and I changed the subject
She said, what's with this dog motif?""
I said,​ do you have something against dogs?""
I am almost completely soulless
I am incapable of being human
I am incapable of being inhuman
I am living uncontrollably
It should be called antidepression
As a friend of mine suggested
Because it's not the sadness that hurts you
It's the brain's reaction against it
It's not enough to love the unreal
I am inseparable from the impossible
I want gravity to stop for me
My soul yearns for a fugitive from the laws of nature
I want a cut scene
I want a cut from your face to my face
I want a cut I want
The next related video
I don't want to go insane
I don't want to have schizophrenia
Part II
Oh oh oh oh oh oh
Oh oh oh oh oh oh
Oh oh oh oh oh oh oh oh oh oh oh oh oh
Last night I dreamed he was trying to kill you
I woke up and I was trying to kill you
It's been a year since we first met
I don't know if we're boyfriends yet
Do you have any crimes that, that
We can use to pass the time I am
Running out of drugs to try and I
We said we hated humans
We wanted to be humans
We said we hated humans
We wanted to be humans
More groceries, get eaten
Get more groceries, get eaten
Get more groceries, get eaten
Oh oh oh oh oh oh
Oh oh oh oh oh oh oh oh oh oh oh oh oh oh
In the mall in the nighttime
You came back alone with a flashlight
It was the start of nothing new backwards)
And it was my favorite scene
I couldn't tell you what it means
But it meant something to me
And pretty soon you'll find some nice young
Satanist with braces and one
Capital O"", significant Other
And you can take him home to your mother and
Say ma, this is my brother""
We said we hated humans
We wanted to be humans
We said we hated humans
We wanted to be humans
More groceries, get eaten
Get more groceries, get eaten
Get more groceries, get eaten
By the one you love
When they put their lips around you
You can feel their smile from the inside
Part III
Last night I dreamed he was trying to kill you
I woke up and I was trying to kill you
Your ears perked up
I perked up when your ears perked up
You were all looking around
And I hoped it was for me
I hoped you were using your sonar systems for me
The ancients saw it coming
You can see that they tried to warn them
In the tales that they told their children
But they fell out of their heads in the morning
They said sex can be frightening
But the children were not listening
And the children cut out everything
Except for the kissing and the singing
When they finally found their homes
At Walt Disney studios
And then everyone grew up
With their fundamental schemas fucked, but, but
But there are lots of fish left in the sea
There are lots of fish in business suits
That talk and walk on human feet
And visit doctors, have weak knees
Oh please let me join your cult
I'll paint my face in your colors
You had a real nice face
I had an early death
The ocean washed over your grave
The ocean washed open your grave
The ocean washed over your grave
The ocean washed open your grave
The ocean washed over your grave
The ocean washed open your grave
How's your face? How's your body?)
The ocean washed over your grave
The ocean washed open your grave
We're too scared to do shit!)
The ocean washed over your grave
The ocean washed open your grave
The ocean washed over your grave
The ocean washed open your grave
We're too scared to do shit!)"
Drunk Drivers/Killer Whales,Car Seat Headrest,Teens of Denial,"{'year': 2016, 'month': 3, 'day': 24}","In the backseat of my heart
My love tells me I'm a mess
I couldn't get the car to start
I left my keys somewhere in the mess

It comes and goes in plateaus
One month later, I'm a fucking pro
My parents would be proud
Or fall asleep on the floor
Forget what happened in the morning
There are notes in your handwriting
But you can't make it out

We are not a proud race
It's not a race at all
We're just trying
I'm only trying to get home
Drunk drivers, drunk drivers
This is not a good thing
I don't mean to rationalize
Or try and explain it away
It's not okay
Drunk drivers, drunk drivers

It's too late to articulate it
That empty feeling
You share the same fate as the people you hate
You build yourself up against others' feelings
And it left you feeling empty as a car coasting downhill
I have become such a negative person
It was all just an act
It was all so easily stripped away

But if we learned how to live like this
Maybe we can learn how to start again
Like a child who's never done wrong
Who hasn't taken that first step

We are not a proud race
It's not a race at all
We're just trying
I'm only trying to get home
Drunk drivers, drunk drivers
Put it out of your mind
And perish the thought
There's no comfort in responsibility
Drunk drivers, drunk drivers
It doesn't have to be like this
It doesn't have to be like this
It doesn't have to be like this
Killer whales, killer whales
It doesn't have to be like this
It doesn't have to be like this
It doesn't have to be like this
Killer whales, killer whales

Here's that voice in your head
Giving you shit again
But you know he loves you
And he doesn't mean to cause you pain
Please listen to him
It's not too late
Turn off the engine
Get out of the car
And start to walk

Drunk drivers
Drunk drivers
Drunk drivers
Drunk drivers
It doesn't have to be like this
It doesn't have to be like this
It doesn't have to be like this
Killer whales, killer whales
It doesn't have to be like this
It doesn't have to be like this
It doesn't have to be like this
Killer whales, killer whales
Ahhh
Whales... ahhh
Whales... ahhh yeah yeah...
Whales... oh oh oh oh oh"
Famous Prophets (Stars),Car Seat Headrest,Twin Fantasy (Face to Face),"{'year': 2018, 'month': 2, 'day': 16}","But I can't help feeling like we're through
The ripping of the tape hurts my ears
In my years, I've never seen anyone quit quite like you do
Twin bruises on my shins
From where I kicked the back of the seat in
They meant what I went through for you
But now they're fading, now they're gone
Don't)
Don't)
Don't spend too much time on it)
Don't)
Don't spend too much time on it)
Don't)
These teenage hands will never touch yours again
But I remember you
You had a body
You had hands and arms and legs and et cetera
Did I fail? Did I fall?
In the morning when I wake up, are you mine?)
Did I waste my time, waste my time on a broken heart?
Take the trash out like a bad dream, are you gone?)
Or is this the start of the great silence?
From the old house, the fiercest heart spoke, are you mine?)
Is this the start of every day?
Christmas tree's dead, you know how time flies, are you gone?)
I'm not gonna end up a nervous wreck
Like the people I know who are nervous wrecks
Though I'm not gonna name names
Yours was an exception)
Did the sound just stop?
At the end of every day
There'll be nothing left to say
There'll be no backstage pass
We gotta go back
We gotta go back
We gotta go back
We gotta go back
We gotta go back
We've gotta go back)
We gotta go back
We've gotta go back)
We gotta go back
We've gotta go back)
We gotta go back
We've gotta go back)
We've gotta go back
We've gotta go back
We've gotta go back
We've gotta go back
We've gotta go back
We've gotta go back
We've gotta go back
Don't spend too much time on it)
Don't get too impressed
You might lose your breath
Don't predict your death
'Cause I like you the best
Don't you fall apart
You might lose my heart
You know I love your art
The ocean washed over your grave
The ocean washed open your grave
The ocean washed over your grave
The ocean washed open your grave
The ocean washed over your grave
The ocean washed open your grave
The ocean washed over your grave
The ocean washed open your grave
The ocean washed over your grave
The ocean washed open your grave
The ocean washed over your grave
The ocean washed open your grave
So descend into cliché
If you've found your holy grail
The ocean washed over your grave)
I could fill back in that grave
I could hammer in that nail
The ocean washed open your grave)
I could give you what you want
I could give you what you deserve
The ocean washed over your grave)
I could sing another song
I could watch that hammer swerve
The ocean washed open your grave)
And when the mirror breaks
I wouldn't miss it for the world
The ocean washed over your grave)
Call it blackstar, call it painstar
The same thing happens when you touch it
The ocean washed open your grave)
Let me tell you, did they tell you what happens when you touch it? Did they tell you?
The ocean washed over your grave)
Let me tell you what happens when you touch it, let me tell you, let me, let me, let me, let me, let me, let me, let me, let me, let me, let me, let me, let-
The ocean washed open your grave)
Let me
Let me in
So descend into cliché
If the music has forsaken you
Roll the stone over the grave
I never liked that one anyways
Or stare into the face
Of whatever it is that's facing you
And if the levee breaks
You'll find out what it is that's replacing you
And when the mirror breaks
I wouldn't miss it for the world
Call it blackstar, call it painstar
The same thing happens when you touch it
Did they tell you what happens when you touch it?
Did they tell you what happens when you touch it?
Did they tell you...
Did they tell me...
What happened to you?

Love-
I gain nothing - I have love, I gain nothing - I have love...
If I give all I possess to the poor all I possess to the poor) and give over my body to hardship over my body to hardship) that I may boast, but do not have love, I gain nothing - I gain nothing
Love is patient, love is kind. It does not envy, it does not boast-
Love does not delight in evil, but rejoices with the truth. It always protects, always trusts, always hopes, always perseveres-
My
Be
Ohh
It'll take some time
It'llIt'll
Be
Aaahoohaaahooooooooooh
Aaah
Don't see
Don't see each other-
We-
We don't see
We don't seeee
Aahoohaah
Aah
Aah
Somewheeeeeeereere down the
Down the
Down the line
Down the line
Down the line
ch other
ch other
Ohhhhhohohohoh
Ohhhhhohohohohoh
Babababa
Bababababa
Bababababa
Babababa

Love never fails. But where there are prophecies, they will cease; where there are tongues, they will be stilled; where there is knowledge, it will pass away. For we know in part and we prophesy in part, but when completeness comes, what is in part disappears
When I was a child, I talked like a child, I thought like a child, I reasoned like a child. At the end of my childhood, I put these ways behind me. For now,​ we see only a reflection as in a mirror; then we shall see face to face. Now I know in part; then I shall know fully, even as I am fully known
And now these two remain:"
Fill in the Blank,Car Seat Headrest,Teens of Denial,"{'year': 2016, 'month': 4, 'day': 11}","What's up, guys?)
You are now listening to, uh, Car Seat Headrest)

I'm so sick of, fill in the blank
Accomplish more, accomplish nothing
If I were split in two, I would just take my fists
So I can beat up the rest of me

You have no right to be depressed
You haven't tried hard enough to like it
Haven't seen enough of this world yet
But it hurts, it hurts, it hurts, it hurts
Well, stop your whining, try again
No one wants to cause you pain
They're just trying to let some air in
But you hold your breath, you hold your breath, you hold it
Hold my breath, I hold my breath, I hold it

I've known for a long time
I'm not getting what I want out of people
It took me a long time
To figure out I don't know what I want
You'll ask, Why?"", and there will be no answer
Then you'll ask, For how long?"", and there will be no answer
Then you'll ask, What can I do?"", and there will be no answer
And eventually, you will shut up

You have no right to be depressed
You haven't tried hard enough to like it
Haven't seen enough of this world yet
But it hurts, it hurts, it hurts, it hurts
Well, stop your whining, try again
No one wants to cause you pain
They're just trying to let some air in
But you hold your breath, you hold your breath, you hold it
Hold my breath, I hold my breath, I hold it

I get signs
From the cops
Saying, Stay the fuck down""
I get signs
From the audience
Saying, Stay the fuck down""
I get signs
From God
Saying, Stay the fuck down""
Ohohohoh
Ohohohoh

I've got a right to be depressed
You've got no right to be depressed)
I've given every inch I had to fight it
You haven't tried hard enough to like it)
I have seen too much of this world, yes
Haven't seen enough of this world yet)
But it hurts, it hurts, it hurts, it hurts
And I will never see the light
So stop your whining, try again)
That I've seen shining in your eyes
No one wants to cause you pain)
You just want to see me naked
They're just trying to let some air in, but you)
So I'll hold my breath, I hold my breath, I hold it
Hold your breath, you hold your breath, you hold it)
Hold my breath, I hold my breath, I hold my breath
I hold my breath, I hold my breath, I hold my breath"
Bodys [2018],Car Seat Headrest,Twin Fantasy (Face to Face),"{'year': 2018, 'month': 2, 'day': 16}","That's not what I meant to say at all
I mean, I'm sick of meaning
I just wanna hold you
But that's not what I wanted to say at all
I mean, I'm sick of meaning
I just wanna hold you
Is it the chorus yet?)

No. It's just a building of the verse
So when the chorus does come
It'll be more rewarding

I would speak to you in song
But you can't sing
As far as I'm aware
Though everyone can sing
As you are well aware
I keep so quiet it's hard to tell I'm alive

Everybody is swinging their hips now)
Everybody is giving the waitress tips
Everybody's dancing all of the dances
Everybody's dancing every dance right now!

Those are you got some nice shoulders
I'd like to put my hands around them
I'd like to put my hands around them

I have enough trouble controlling my own limbs
Stealing alcohol from our parents and grandparents
There's no devil on one shoulder and angel on the other
They're just two normal people
These are the people that I get drunk with
These are the people that I fell in love with
These are the people that I get drunk with
These are the people that I fell in love with
But if you keep drawing my eyes on your hands
These are the people that I get drunk with)
And talking to the other
These are the people that I fell in love with)
Let's pull out the nail with the back of the hammer
These are the people that I get drunk with)
'Cause this one has grown old and bitter
These are the people that I fell in love with)

Well, so what?
We're young
We're thin most of us)
We're alive most of us)
Don't you realize our bodies could fall apart at any second?
I am terrified your body could fall apart at any second
Those are you got some nice shoulders
I'd like to put my hands around them
I'd like to put my hands around them

We can get real horny and keep messing around
We can keep real quiet, won't be making no sound
I'll try my best not to touch your face
Next time can we please meet at my place?

And I know that I don't talk a lot
But I know that you don't care a lot
As long as we move our bodies around a lot
We'll forget that we forgot how to talk
When we dance, when we
When we dance, when we

Don't you realize our bodies could fall apart at any second?
I am terrified your body could fall apart at any second
Those are you got some nice shoulders)
I'd like to put my hands around them)
I'd like to put my hands around them)
When we dance
That's not what I meant to say at all)
When we dance
I mean, I'm sick of meaning, I just wanna hold you)
When we dance
But that's not what I wanted to say at all)
When we dance
I'm sick of meaning, I just wanna hold you)
I'm on a need to know basis
I'm on a need-)
I'm on a need to know basis
I'm on a need to know basis
Need to know?)
I'm on a need to know basis
No one tells me shit
Unless I need to hear it
I'm on a need to know basis
I'm on a need to know basis
Yeah
No one tells me shit
Unless I need to hear it"
Sober to Death [2018],Car Seat Headrest,Twin Fantasy (Face to Face),"{'year': 2018, 'month': 2, 'day': 16}","Lovely lovely
In your jeans, frenzy
Another movie that I didn't watch with you Oh, oh, oh)
Another movie and we're gonna have to move No, no, no)
That final terror is in your house somewhere
Hiding in boxes, behind closed doorways
Out from the forest adjacent to your garage
I've seen its marks at the corner of your eyes

Nothing works
Nothing works for everyone
Good stories are bad lives
Good stories are bad lives

Take your hands off your neck and hold on to the ghost of my body
You know that good lives make bad stories
You can text me
When punching mattresses gets old
Don't think it'll always be this way
Not comforted by anything I say
We were wrecks before we crashed into each other

Such a good idea
If it turns you on
We have breakdowns Oh, oh, oh)
And sometimes we don't have breakdowns No, no, no)
I want to hear you going psycho
If you're going psycho I wanna hear
Every conversation just ends with you screaming
Not even words, just ahahahahahh
Mmm

Take my hands off your neck and hold on to the ghost of your body
I know that good lives make bad stories
You can text me
When punching mattresses gets old
What if it'll always be this way?
Not comforted by anything you say
We were wrecks before we crashed into each other

Don't worry, you and me won't be alone no more
Don't worry, you and me won't be alone no more
Don't worry, you and me won't be alone no more
Don't worry, you and me won't be alone no more
Don't worry, you and me won't be alone no more
Don't worry, you and me won't be alone no more
Don't worry, you and me won't be alone no more
Don't worry, you and me won't be alone no more
Don't worry, you and me won't be alone no more
Don't worry, you and me won't be alone no more
Don't worry, you and me won't be alone no more
Don't worry, you and me won't be alone no more"
Beach Life-in-Death,Car Seat Headrest,Twin Fantasy,"{'year': 2011, 'month': 11, 'day': 2}","Last night I drove to Harper's Ferry and I thought about you
There were signs on the road that warned me of stop signs
The speed limit kept decreasing by ten
As we entered a town about halfway there
It was almost raining at the train station
We put our hoods on our heads at the train station
We threw rocks into the river
The river underneath the train tracks
And when the train came it was so big and powerful
When it came into the little station
I wanted to put my arms around it
But the conductor looked at me funny
So we had to say goodbye and leave
The Monopoly board still in the backseat
Took that nightmare left turn to get out of town
Ran into the decreasing speed limits again
What should I do? Eat breakfast)
What should I do? Eat lunch)
What should I do? Eat dinner)
What should I do? Go to bed)
Where can I go? Go to the store)
Where can I go? Apply for jobs)
Where can I go? Go to a friend's)
Where can I go? Go to bed)
I wrote Beach Death"" when I thought you were taken
I wrote Beach Funeral"" when I knew you were taken
I wrote Beach Fagz""well it wasn't about you
But it could've been, well no it couldn't have
I spent a week in Ocean City I spent a week in Ocean City)
And came back to find you were gone And came back to find you were gone)
I spent a week in Illinois I spent a week in Illinois)
And came back to find you were still gone And came back to find you were still gone)
I pretended I was drunk when I came out to my friends
I never came out to my friends
We were all on Skype
And I laughed and changed the subject
She said, what's with this dog motif?""
I said, do you have something against dogs?""
That didn't happen... Oh God)
I am almost completely soulless
I am incapable of being human
I am incapable of being inhuman
I am living uncontrollably
It should be antidepression
As a friend of mine suggested
Because it's not the sadness that hurts you
It's the brain's reaction against it
It's not enough to love the unreal
I am inseparable from the impossible
I want gravity to stop for me
My soul yearns for a fugitive from the laws of nature
I want a cutscene, I want a cut from your face to my face
I want a cut, I want the next related video
I don't want to go insane
I don't want to have schizophrenia
The ocean washed over your grave
The ocean washed over your grave
Part II
Last night I dreamed he was trying to kill you
I woke up and I was trying to kill you
It's been a year since we first met
I don't know if we're boyfriends yet
Do you have any crimes that
We can use to pass the time I am
Running out of drugs to try and I

We said we hated humans
We wanted to be humans
We said we hated humans
We wanted to be humans
Get more groceries, get eaten
Get more groceries, get eaten
Get more groceries, get eaten

A book of Aubrey Beardsley art corrupted me in youth
And now I'm trapped inside my youth
And you're in love with latestage youth
Thank god for the little things and, and
Fuck god that they're little things I am
Running out of prayers to sing and I
And pretty soon you'll find some nice young
Satanist with braces and one capital o,"" significant Other
And you can take him home to your mother
And say ma, this is my brother""

We said we hated humans
We wanted to be humans
We said we hated humans
We wanted to be humans

Get more groceries, get eaten
Get more groceries, get eaten
Get more groceries, get eaten

By the one you love
When they put their lips around you
You can feel their smile from the inside
Part III
Last night I dreamed he was trying to kill you
I woke up and I was trying to kill you
Your ears perked up, I perked up when your ears perked up
You were all looking around and I hoped it was for me
I hoped you were using your sonar systems for me
The ancients saw it coming
You can see that they tried to warn them
In the tales that they told their children
But they fell out of their heads in the morning
They said sex can be frightening
But the children were not listening
And the children cut out everything
Except for the kissing and the singing
When they finally found their home
At Walt Disney studios
And then everyone grew up
With their fundamental schemas fucked
But there are lots of fish left in the sea
There are lots of fish in business suits
That talk and walk on human feet
And visit doctors, have weak knees
Oh please let me join your cult
I'll paint my face in your colors
You have a real nice face
I had an early death
The ocean washed over your grave
The ocean washed open your grave
The ocean washed over your grave
The ocean washed open your grave
The ocean washed over your grave
How's your face? How's your body?)
The ocean washed open your grave
The ocean washed over your grave
The ocean washed open your grave
We're too scared to do shit!)"
The Ballad of the Costa Concordia,Car Seat Headrest,Teens of Denial,"{'year': 2016, 'month': 5, 'day': 20}","I used to like the mornings
Id survived another night
Id walk to breakfast through the garden
See the flowers stretching in the sunlight
Now I wake up in the mornings
And all the kindness is drained out of me
I spend hours just wincing
And trying to regain some sense of peace

If only I could sustain my anger
Feel it grow stronger and stronger
It sharpens to a point and sheds my skin
Shakes off the weight of my sins
And takes me to heaven

I stay up late every night
Out of some general protest
But with no one to tell you to come to bed
Its not really a contest
And maybe you think
Ill learn from my mistake
But not this time
Its just gonna break me

If only I could sustain my anger
Feel it grow stronger and stronger
It sharpens to a point and sheds my skin
Shakes off the weight of my sins
And takes me to heaven

And if Ive lost you for good
Could there have been any other way?
Was the water filling up for years
Or did I wreck it all in a day?
Im going to bed now
Ive sunk into my sorrows
And itll take three hundred million dollars
To get me up tomorrow
I wont go down with this shit
I will put my hands up and surrender
There will be no more flags above my door
I have lost, and I always will be
It was an expensive mistake
It was an expensive mistake
My horse broke his back to get me here
I have his blood on my hands for no reason
But what was I supposed to do?
How was I supposed to know how to use a tube amp?
How was I supposed to know how to drive a van?
How was I supposed to know how to ride a bike without hurting myself?
How was I supposed to know how to make dinner for myself?
How was I supposed to know how to hold a job?
How was I supposed to remember to grab my backpack after I set it down to play basketball?
And how was I supposed to know how to not get drunk every
Thursday, Friday, Saturday, and — why not — Sunday?
How was I supposed to know how to steer this ship?)
How was I supposed to know how to steer this ship?
How the hell was I supposed to steer this ship?
It was an expensive mistake
You cant say youre sorry and its over
I was given a body that is falling apart
My house is falling apart
And I was given a mind that can't control itself
And what about the pain Im in right now?)
And I was given a ship that can't steer itself
And what about a vacation?)
And what about a vacation to feel good?
My horse broke his back and left me here
And how was I supposed to know?
And God wont forgive me
And you wont forgive me
Not unless I open up my heart
And how am I supposed to do that
When I go to this same room every night
And sleep in the same bed every night?
The same fucking bed
With the red comforter with the white stripes
And the yellow ceiling light that makes me feel like Im dying
This sea is too familiar
How many nights have I drowned here?
How many times have I drowned?
How many times have I drowned?)
I give up
I give up

Let us take you back to where we came in
We were united, an undivided nation
We got divided, it was something inside us
And it was not us
We were so naive, we were just like animals
Told what to believe by the beasts who took control
We wanted control too, but that was normal
'Cause our life was one of survival
The decisions we've made, if you can call it deciding
With your life on the line, it'd be social suicide to change your mind
So we got mad and we split the scene
Now we download all of our shit for free
It's the new economy, we have nothing to offer and we sleep on trash

I give up
I give up
Let us take you back to where you came in
A man clinging to the cliff of revelation
So scared of what he would find, he started crying
It was not me""
Stopped at the borderline, they stripped his disguise
So he read a book that won a Pulitzer prize
It was about death, it didn't help
He saw himself in it
And he was disturbed at the conclusions that it led to
But he couldn't say what because the author was dead too
And so though he made fun of us
He has now become one of us

I give up
I give up
I give up
I give up
I give up
I give up
I give up

And you wake up trembling
From a dream where I swam into the river
I reach out and hold you in my arms
I love you, I love you, I love you"
Cute Thing [2018],Car Seat Headrest,Twin Fantasy (Face to Face),"{'year': 2018, 'month': 1, 'day': 23}","I got so fucking romantic
I apologize
Lemme light your cigarette
Come visit Kansas for a week of debauchery
Songs and high fives and weird sex

Cute thing
Don't be rude thing
Hot thing
It was nothing

God, give me Frank Ocean's voice
And James Brown's stage presence
I will be your rock, God
When you're rolling the dice

I got so fucking romantic
I apologize
Lemme smoke your weed, no wait
Healthy minds make sexy bodies
Let us touch so much of ourselves together

Cute thing cute thing, cute thing)
Don't be rude thing don't be rude, don't be rude thing)
Hot thing hot thing, hot thing)
It was nothing it was nothing, it was nothing)

Oh, dog ooh ooh)
Give me one little chance ooh ooh)
I can make you a man ooh ooh)
I will be your rock, dog, woof woof) when you're rolling your eyes
Ooooh ooooh ooooh)
Ooooh ooooh ooooh)
Ooooh ooooh ooooh)

Do do do, do do do, do do)
Do do do, do do do, do do)
Do do do, do do do, do do)
Do do do, do do do, do do)

He died in an explosion
Of mixed media and poorly written reviews
And some stammering drunk who tried to tell him how good his shit was
That's- that's, ah- that's- that's some good- good shit, man""
I accidentally spoke his first name aloud
Trying to make it fit in with the lyrics of Ana Ng""
Worked like a charm
We're getting old
When will we walk in each other's majestic presence?
Listen, hear my words
They're the ones you would think I would say if I was John Linnell
Or trying to be John Linnell

I am love
I am love
I would sleep naked
Next to you naked
I am love
I am love
I would sleep naked
Next to you naked
I am love
I am love
Like some excommunicated priest
Casting demons
Asked one what its name was"
(Joe Gets Kicked Out of School for Using) Drugs With Friends (But Says This Isn’t a Problem),Car Seat Headrest,Teens of Denial,"{'year': 2016, 'month': 5, 'day': 20}","I get to know myself every weekend and Im weak

Hangovers feel good when I know its the last one
Then I feel so good that I have another one
Last Friday, I took acid and mushrooms
I did not transcend, I felt like a walking piece of shit
In a stupid looking jacket
And I walked around town and felt like I was in Sodom
There were filthy people seeking comfort for their bodies
It was so obscene
Filled with loathing and religious fervor
I laid on my friends bedroom floor for an hour
And tried not to piss my pants

And then I saw Jesus
And he said

Who are you to go against the word of my father?"" And
Who are you? The scum of the Earth”
No we are just, we are just, we are just teens of style
Oh we are just, we are just, we are just, we are just teens of style

There were people getting drunk, there were people getting high
They were falling to pieces right before my eyes
And I said mmhmm” a lot mmhmm)
And there was one guy there who kept asking me how does it feel?""
Asking me, Are you sure..."")
And I didnt even know how to begin to answer that question
(""..you don't want to talk about what you're experiencing right now?"")
So I just said I don't want to talk about it""
And I just said... no"")
So there I was, just another shitbag civilian
Afraid of the cops when I was outside, afraid of my friends when I was inside
And I grew tired of the scene

And then my dad showed up
And he was like

Who are you to go against the word of our fathers?”
It goes Who are you? The scum of the Earth”
No we are just, we are just, we are just teens of style
No we are just, we are just victims of the contemporary style
Yes we are just, we are just, we are just, we are just going along with the modern styles
And now everybody, everybody, everybodys going along with the modern style
Lets do it together
It goes:
Drugs are better, drugs are better with
Friends are better, friends are better with
Drugs are better, drugs are better with
Friends are better, friends are better with
Drugs are better, drugs are better with
Friends are better, friends are better with
Drugs are better, drugs are better with
Friends are better, friends are better with
Drugs are better than friends
Are better than drugs
Are better than friends
Are better than drugs
Drugs are better than friends)
Are better than friends
Are better with drugs)
Are better than drugs
Are better with friends)
Are better than friends
Are better than—)
Drugs are better, drugs are better with
Friends are better, friends are better with
Drugs are better, drugs are better with
Friends are better, friends are better with"
