,Artist,Album,Release Date,Lyrics
Call Me Maybe,Carly Rae Jepson,Kiss,"{'year': 2011, 'month': 9, 'day': 20}","I threw a wish in the well
Don't ask me, I'll never tell
I looked to you as it fell
And now you're in my way
I trade my soul for a wish
Pennies and dimes for a kiss
I wasn't looking for this
But now you're in my way

Your stare was holdin'
Ripped jeans, skin was showin'
Hot night, wind was blowin'
Where you think you're going, baby?

Hey, I just met you and this is crazy
But here's my number, so call me, maybe
It's hard to look right at you, baby
But here's my number, so call me, maybe
Hey, I just met you and this is crazy
But here's my number, so call me, maybe
And all the other boys try to chase me
But here's my number, so call me, maybe

You took your time with the call
I took no time with the fall
You gave me nothin' at all
But still you're in my way
I beg and borrow and steal
At first sight and it's real
I didn't know I would feel it
But it's in my way

Your stare was holdin'
Ripped jeans, skin was showin'
Hot night, wind was blowin'
Where you think you're going, baby?

Hey, I just met you and this is crazy
But here's my number, so call me, maybe
It's hard to look right at you, baby
But here's my number, so call me, maybe
Hey, I just met you and this is crazy
But here's my number, so call me, maybe
And all the other boys try to chase me
But here's my number, so call me, maybe
Before you came into my life, I missed you so bad
I missed you so bad, I missed you so, so bad
Before you came into my life, I missed you so bad
And you should know that, I missed you so, so bad

It's hard to look right at you, baby
But here's my number, so call me, maybe
Hey, I just met you and this is crazy
But here's my number, so call me, maybe
And all the other boys try to chase me
But here's my number, so call me, maybe

Before you came into my life, I missed you so bad
I missed you so bad, I missed you so, so bad
Before you came into my life, I missed you so bad
And you should know that, so call me, maybe"
I Really Like You,Carly Rae Jepson,E•MO•TION [Japanese Edition],"{'year': 2015, 'month': 3, 'day': 2}","I really wanna stop, but I just got the taste for it
I feel like I could fly with the boy on the moon
So honey, hold my hand, you like making me wait for it
I feel like I could die walking up to the room, oh yeah

Late night watching television
But how'd we get in this position?
It's way too soon, I know this isn't love
But I need to tell you something

I really, really, really, really, really, really like you
And I want you, do you want me, do you want me too?
I really, really, really, really, really, really like you
And I want you, do you want me, do you want me too?
Oh, did I say too much?
Im so in my head when were out of touch
I really, really, really, really, really, really like you
And I want you, do you want me, do you want me too?

It's like everything you say is a sweet revelation
All I wanna do is get into your head
Yeah, we could stay alone
You and me, and this temptation
Sipping on your lips, hanging on by a thread, baby

Late night watching television
But how'd we get in this position?
It's way too soon, I know this isn't love Love)
But I need to tell you something

I really, really, really, really, really, really like you
And I want you, do you want me, do you want me too?
I really, really, really, really, really, really like you
And I want you, do you want me, do you want me too?
Oh, did I say too much?
Im so in my head when were out of touch When were out of touch!)
I really, really, really, really, really, really like you
And I want you, do you want me, do you want me too?

Who gave you eyes like that
And said you could keep them?
I dont know how to act
Or if I should be leaving
Im running out of time
Going out of my mind
I need to tell you something
Yeah, I need to tell you something
Yeah!
I really, really, really, really, really, really like you
And I want you, do you want me, do you want me too?
I really, really, really, really, really, really like you Oh oh oh)
And I want you, do you want me, do you want me too?
Oh, did I say too much? Did I say too much?)
Im so in my head when were out of touch Im so in my head, when were out of touch)
I really, really, really, really, really, really like you
And I want you, do you want me, do you want me too? Yeah!)
I really, really, really, really, really, really like you
And I want you, do you want me, do you want me too? Yeah, I need to tell you something)
I really, really, really, really, really, really like you Oh, yeah)
And I want you, do you want me, do you want me too?"
Run Away With Me,Carly Rae Jepson,E•MO•TION [Japanese Edition],"{'year': 2015, 'month': 6, 'day': 24}","You're stuck in my head, stuck on my heart
Stuck in my body, body
I wanna go, get outta here
I'm sick of the party, party
I'd run away
I'd run away with you, ooh
This is the part you gotta say
All that you're feelin', feelin'
Packing a bag, leaving tonight
While everyone's sleepin', sleepin'
Let's run away
I'll run away with you, ooh

'Cause you make me feel like
I could be drivin' you all night
And I'll find your lips in the streetlights
I wanna be there with you, ooh

Baby Hey)
Take me to the feelin' Hey)
I'll be your sinner in secret Hey)
When the lights go out
Run away with me
Run away with me
Baby Hey)
Every single minute Hey)
I'll be your hero and win it Hey)
When the lights go out
Run away with me
Run away with me

Up in the clouds, high as a kite
Over the city, city
We never sleep, we never try
When you are with me, with me
I wanna stay
Oh, I wanna stay here with you, ooh

'Cause you make me feel like
I could be drivin' you all night
And I'll find your lips in the streetlights
I wanna be there with you, ooh

Oh, baby Hey)
Take me to the feelin' Hey)
I'll be your sinner in secret Hey)
When the lights go out
Run away with me
Run away with me
Oh, baby Oh)
Every single minute Hey)
I'll be your hero and win it Hey)
When the lights go out
Run away with me
Run away with me
Hold on to me, I
Never wanna let you go
Run away with me)
Oh Run away with me)
Over the weekend
We could turn the world to gold
Run away with me)
Oh Run away with me)

We could turn the world to gold)
Oh)
Over the weekend
We could turn the world to gold
Oh
Oh

Oh, my baby Hey)
Take me to the feelin' Take me to, take me to it, yeah)
I'll be your sinner in secret Oh)
When the lights go out
Run away with me
Run away with me Just run away with me)
Baby Yeah, yeah)
Every single minute Yeah, yeah)
I'll be your hero and win it Hey)
When the lights go out
Run away with me
Run away with me
Run away with me
Run away with me
Run away with me
Run away with me"
Cut to the Feeling,Carly Rae Jepson,E•MO•TION: Side B+ (Japan Exclusive),"{'year': 2017, 'month': 5, 'day': 26}","I had a dream, or was it real?
We crossed the line and it was on, we crossed the line
It was on this time
I've been denying how I feel
You've been denying what you want, you want from me
Talk to me, baby

I want some satisfaction, take me to the stars Hey)
Just like ahahah, ahahah

I wanna cut through the clouds, break the ceiling
I wanna dance on the roof, you and me alone
I wanna cut to the feeling, oh yeah
I wanna cut to the feeling, oh yeah Woo)
I wanna play where you play with the angels
I wanna wake up with you all in tangles, oh
I wanna cut to the feeling, oh yeah
I wanna cut to the feeling, oh yeah

Cancel your reservations
No more hesitations, this is on, can't make it stop
Give me all you got
I want it all or nothing
No more inbetween, now give your everything to me
Let's get real, baby

A chemical reaction, take me in your arms Hey)
And make me ahahah, ahahah

I wanna cut through the clouds, break the ceiling
I wanna dance on the roof, you and me alone
I wanna cut to the feeling, oh yeah
I wanna cut to the feeling, oh yeah Woo)
I wanna play where you play with the angels
I wanna wake up with you all in tangles, oh
I wanna cut to the feeling, oh yeah
I wanna cut to the feeling, oh yeah Yeah, yeah)

Hey, woo)
C'mon) Take me to emotion Hey)
I want to go all the way All the way)
Show me devotion and take me all the way
Take me to emotion Take me, take me)
I want to go all the way
Show me devotion Take me, take me)
And take me all the way Take me, take me)
All the way, all the way, all the way
Take me all the way Ahahah)
I wanna cut through the clouds, break the ceiling
I wanna dance on the roof, you and me alone
I wanna cut to the feeling Oh), oh yeah
I wanna cut to the feeling Yeah, yeah, yeah, yeah), oh yeah Woo)
I wanna play where you play with the angels
I wanna wake up with you all in tangles Yeah), oh
I wanna cut to the feeling, oh yeah
I wanna cut to the feeling, oh yeah

I wanna cut through the clouds
Mmm, cut to the feeling
I wanna dance on the roof, ohohoh, yeah
I wanna cut to the feeling, I wanna cut to the feeling
I wanna cut to the feeling, I wanna cut to the feeling"
E•MO•TION,Carly Rae Jepson,E•MO•TION [Japanese Edition],"{'year': 2015, 'month': 6, 'day': 24}","Be tormented by me, babe
Wonder, wonder how I do
How's the weather? Am I better?
Better now that there's no you?
Drink tequila for me, babe
Let it hit you cold and hot
Let your feelings be revealing that you can't forget me

Not a flower on the wall
I am growing ten feet, ten feet tall
In your head and I won't stop
Until you forget me, get me not

In your fantasy, dream about me
And all that we could do with this emotion
Fantasy, dream about me
And all that we could do with this emotion
This emotion, I feel it
This emotion, you feel it
All that we could do with this emotion

Paint a picture for me, boy
Where the sky's forever blue
Tell me there is nothing I can't have and nothing you won't do
Toss and turn without me, boy
Let it hit you cold and hot
All my kisses, say you'll miss it and you can't forget me

Not a flower on the wall
I am growing ten feet, ten feet tall Tall)
In your head and I won't stop
Until you forget me, get me not

In your fantasy, dream about me
And all that we could do with this emotion
Fantasy, dream about me
And all that we could do with this emotion
This emotion, I feel it
This emotion, you feel it
All that we could do with this emotion

What if I turn the lights right down?
I feel it
What if I turn the lights right down?
You feel it
You and me in the dark right now
I feel it

In your fantasy, dream about me
And all that we could do with this emotion
Fantasy, dream about me
And all that we could do with this emotion
This emotion, I feel it What if I turn the lights right down?)
This emotion, you feel it
All that we could do with this emotion"
Boy Problems,Carly Rae Jepson,E•MO•TION [Japanese Edition],"{'year': 2015, 'month': 6, 'day': 24}","Listen, just leave or stay, but I'm done listening to it

If you're gonna go then go,"" she said to me on the phone
So tired of hearin' all your boy problems
If you're gonna stay then stay, he's not gonna change anyway
So tired of hearin' all your boy problems""

And I know she's right and I should not be offended
Yeah, I know what it looks like from the outside
I know she's right and I should not be offended
Yeah, I know what it looks like from the outside, from the outside

Boy problems, who's got 'em?
I've got 'em too Na na na na na)
Boy trouble, we've got double
Don't know what to do Na na na na na)
I think I broke up with my boyfriend today and I don't really care
I've got worse problems Than 'I broke up with my boyfriend')
I think I broke up with my boyfriend today and I don't really care
I've got worse problems Than 'I broke up with my boyfriend', yeah)

Carly, you gotta let it go!"" She said to me on the phone
So tired of hearin' all your boy problems
It could be the perfect day, he'll just make it rain anyway
So tired of hearin' all your boy problems""

And I know she's right and I should not be offended
Yeah, I know what it looks like from the outside
I know she's right and I should not be offended
Yeah, I know what it looks like from the outside
From the outside

Boy problems, who's got 'em?
I've got 'em too Na na na na na)
Boy trouble, we've got double
Don't know what to do Na na na na na)
I think I broke up with my boyfriend today and I don't really care
I've got worse problems Than 'I broke up with my boyfriend')
Na na na na na)
I think I broke up with my boyfriend today and I don't really care
I've got worse problems Than 'I broke up with my boyfriend', yeah)

What's worse, losing a lover or losing your best friend?
Ohohohohoh
What's worse is when you discover you're not good for each other
She's been giving, you've been taking, taking, taking

Boy problems, who's got 'em?
I've got 'em too Na na na na na)
Boy trouble, we've got double
Don't know what to do I don't know what to do, na na na na na)
I think I broke up with my boyfriend today and I don't really care
I've got worse problems Than 'I broke up with my boyfriend')
Na na na na na)
I think I broke up with my boyfriend today and I don't really care
I've got worse problems Than 'I broke up with my boyfriend', yeah, na na na na na)
Boy problems, who's got 'em? I've got 'em too
Boy trouble, we've got double, don't know what to do
Boy problems, who's got 'em? I've got 'em too
Boy trouble, we've got double, don't know what to do
Boy problems, who's got 'em? I've got 'em too"
Your Type,Carly Rae Jepson,E•MO•TION [Japanese Edition],"{'year': 2015, 'month': 6, 'day': 24}","I used to be in love with you
You used to be the first thing on my mind
I know I'm just a friend to you
That I will never get to call you mine

But I still love you, I'm sorry, I'm sorry, I love you
I didn't mean to say what I said
I miss you, I mean it, I tried not to feel it
But I can't get you out of my head
And I want you to miss me when I'm not around you
I know that youre in town
Oh, won't you come around to the spot that we met?

I'm not the type of girl for you
And I'm not going to pretend
That I'm the type of girl you call more than a friend
And I'd break all the rules for you
Break my heart and start again
I'm not the type of girl you call more than a friend
I bet she acts so perfectly
You probably eat up every word she says
And if you ever think of me
I bet I'm just a flicker in your head

But I still love you, I'm sorry, I'm sorry, I love you
I didnt mean to say what I said
I miss you, I mean it, I tried not to feel it
But I can't get you out of my head
And I want you to miss me, when I'm not around you
I know that you're in town
Oh, won't you come around to the spot that we met?

I'm not the type of girl for you
And I'm not going to pretend
That I'm the type of girl you call more than a friend
And I'd break all the rules for you
Break my heart and start again
I'm not the type of girl you call more than a friend

I'll make time for you Time for you)
I'll make time for you Time for you)

I love you, I'm sorry, I'm sorry, I love you
I didn't mean to say what I said
I miss you, I mean it, I tried not to feel it
But I cant get you out of my head
I'm not the type of girl for you
And I'm not going to pretend
That I'm the type of girl you call more than a friend
And I'd break all the rules for you
Break my heart and start again
I'm not the type of girl you call more than a friend

I'll make time for you Time for you)
I'll make time for you Time for you)
I'll make time for you Time for you)
I'll make time for you Time for you)"
Party for One,Carly Rae Jepson,Dedicated (Japan CD),"{'year': 2018, 'month': 11, 'day': 1}","If you didn't know that you were right for me
Then there's nothing I can say
Tried to call you out to spend some time to see
But somebody's in your way
Tried to let it go and say I'm over you
I'm not over you
But I'm trying

Party for one
If you don't care about me
I'll just dance for myself
Back on my beat
I'll be the one
If you don't care about me
Making love to myself
Back on my beat

You don't want my love
If you don't care about me
I'll just dance for myself
Back on my beat
Party for one
If you don't care about me
Making love to myself
Back on my beat
Ahh, ahh, ahh

Once upon a time, I thought you wanted me
Was there no one else to kiss? No one else to kiss)
Was it all a dream I let myself believe?
I'm not over this I'm not over this)
But I'm trying

Party for one Hey)
If you don't care about me
I'll just dance for myself
Back on my beat
I'll be the one
If you don't care about me
You don't care that I'm)
Making love to myself
Back on my beat

You don't want my love
If you don't care about me
I'll just dance for myself
Back on my beat Back on my beat)
Party for one
If you don't care about me
You don't care about me)
Making love to myself Hey)
Back on my beat
Ahh, ahh Back on my beat)
Ahh, ahh, ahh
Back on my beat
Back on my beat
Party for one
'Cause you don't care about me
Back on my beat
Back on my beat
Party for one
Back on my beat

You don't want my love
If you don't care about me
You don't care about me)
I'll just dance for myself
Back on my beat Back on my beat)
Party for one
If you don't care about me
You don't care that I'm)
Making love to myself
Back on my beat
Ahh

Back on my beat
Back on my beat Ahh)
Party for one Ahh)
Back on my beat)
Back on my beat
Back on my beat Ahh)
Party for one
Ahh"
Too Much,Carly Rae Jepson,Dedicated (Japan CD),"{'year': 2019, 'month': 5, 'day': 9}","Am I bad for you?
'Cause I live for the fire, and the rain, and the drama, too, boy
And it feels like you never say what you want
And it feels like I can't get through, babe
Ooh, babe

'Cause when I get so low, it takes me higher Feel the love)
I'm not afraid to know my heart's desire, oohah!

When I party, then I party too much
When I feel it, then I feel it too much
When I'm thinking, then I'm thinking too much
When I'm drinking, then I'm drinking too much
I'll do anything to get to the rush
Now I'm dancing, and I'm dancing too much
So be careful if you're wanting this touch
'Cause if I love you, then I love you too much

Is this too, is this too
Is this too much?
Is this too, is this too
Is this too much?

Am I too close?
'Cause you fold into me like a heart with a beat
I know now, I know now
And did you know that I'm wild for your skin
And the dance that we're in?
So close now, so close now

'Cause when I get so low, it takes me higher Feel the love)
I'm not afraid to know my heart's desire, oohah!

When I party, then I party too much
When I feel it, then I feel it too much
When I'm thinking, then I'm thinking too much
When I'm drinking, then I'm drinking too much
I'll do anything to get to the rush
Now I'm dancing, and I'm dancing too much
So be careful if you're wanting this touch
'Cause if I love you, then I love you too much

Is this too, is this too
Is this too much?
Is this too, is this too
Is this too much?
A fire in rainy season
It's hard to get to know me
Are you down, ddown
I'm down, ddown
I trust the, trust the feeling
It's hard to get to know you
But I'm down, ddown
I'm down, ddown

When I party, then I party too much
When I feel it, then I feel it too much
When I'm thinking, then I'm thinking too much
When I'm drinking, then I'm drinking too much
I'll do anything to get to the rush
Now I'm dancing, and I'm dancing too much
So be careful if you're wanting this touch
'Cause if I love you, then I love you too much

Is this too, is this too
Is this too much?
Is this too, is this too
Is this too much?"
Julien,Carly Rae Jepson,Dedicated (Japan CD),"{'year': 2019, 'month': 4, 'day': 19}","Woke up this mornin', it feels like every day
I got the blues, babe, not going away
Another bad dream where you were running away
I'm forever haunted by our time
We had a moment, we had a summertime
Asked me to leave with you, but I could never decide
I've been so torn up, I've been so out of it
I'm forever haunted by our time

I've been all alone, on my own
Every single night, I pray
When you coming home? Coming home?
'Cause I've been livin' for that day

Julien, in your heart, yeah, you must believe
Julien, it was more than a fantasy
To the end, to the last breath that I breathe
I'll be whispering, Julien""

Ah yeah, all night, yeah, Julien, Julien)
I'll be whispering, Julien"" Julien, Julien)
To the last breath that I breathe Julien)

I tried another to keep me satisfied
But all your colors are still dancing in my mind
More than just lovers, I
I'm forever haunted by our time

I've been all alone, on my own
Every single night, I pray
When you coming home? Coming home?
'Cause I've been livin' for that day

Julien, in your heart, yeah, you must believe
Julien, it was more than a fantasy
To the end, to the last breath that I breathe
I'll be whispering, Julien""

Ah yeah, all night, yeah, Julien, Julien)
I'll be whispering, Julien"" Julien, Julien)
To the last breath that I breathe Julien)

Julien, to the last breath that I breathe
Julien, it was more than a fantasy
To the end, to the last breath that I breathe
Julien, in your heart, yeah, you must believe
Julien, it was more than a fantasy
To the end, to the last breath that I breathe Julien)
I'll be whispering, Julien""

Ah yeah, all night, yeah, Julien, Julien)
I'll be whispering, Julien"" Julien, Julien)
To the last breath that I breathe Julien)
Ah yeah, all night, yeah, Julien, Julien)
Julien, Juli—, Julien)"
