,Artist,Album,Release Date,Lyrics
Boys,Charli XCX,Pop Party 2017,"{'year': 2017, 'month': 7, 'day': 26}","I was busy thinkin' 'bout boys, boys, boys
Always busy dreamin' 'bout boys, boys, boys XCX)
Head is spinnin' thinkin' 'bout boys

I need that bad boy to do me right on a Friday
And I need that good one to wake me up on a Sunday
That one from work can come over on Monday night
I want 'em all, I want 'em all
And when they finally leave me, I'm all alone but
I'm lookin' down and my girls are blowin' my phone up
Them twenty questions, they askin' me where I'm at
Didn't hit 'em back

I'm sorry that I missed your party
I wish I had a better excuse like
I had to trash the hotel lobby

But I was busy thinkin' 'bout boys, boys, boys
I was busy dreamin' 'bout boys, boys, boys
Head is spinnin' thinkin' 'bout boys

In every city I've got one with different ringtones
Flyin' from LA. all the way to Puerto Rico
My girls are callin' me askin' me where I'm at
Didn't hit 'em back
 
I'm sorry that I missed your party
I wish I had a better excuse like
I can't even lie, you got me

I was busy thinkin' 'bout boys, boys, boys
I was busy dreamin' 'bout boys, boys, boys
Head is spinnin' thinkin' 'bout boys

Don't be mad, don't be mad at me No, no, no, no)
Darling, I can't stop it even if I wanted
Don't be mad, don't be mad at me No, no, no, no)
Missed what you were sayin', I was miles away, yeah
Don't be mad, don't be mad
Not like I had a choice
I was busy thinkin' 'bout boys, boys, boys
I was busy dreamin' 'bout boys, boys, boys

I was busy thinkin' 'bout boys Boys), boys Boys), boys
I was busy dreamin' 'bout boys Boys), boys Oh, baby), boys, yeah
Head is spinnin' thinkin' 'bout boys"
Boom Clap,Charli XCX,SUCKER (Target Exclusive),"{'year': 2014, 'month': 6, 'day': 15}","You're pictureperfect blue
Sunbathing under the moon
Stars shining as your bones illuminate
First kiss just like a drug
Under your influence
You take me over, you're the magic in my veins
This must be love

Boom clap, the sound of my heart
The beat goes on and on and on and on and
Boom clap, you make me feel good
Come on to me, come on to me now
Boom clap, the sound of my heart
The beat goes on and on and on and on and
Boom clap, you make me feel good
Come on to me, come on to me now

No silver or no gold
Could dress me up so good
You're the glitter in the darkness of my world
Just tell me what to do
I'll fall right into you
We're going under cast the spell, just say the word
I feel your love!
 
Boom clap, the sound of my heart
The beat goes on and on and on and on and
Boom clap, you make me feel good
Come on to me, come on to me now
Boom clap, the sound of my heart
The beat goes on and on and on and on and
Boom clap, you make me feel good
Come on to me, come on to me now

You are the light and I will follow
You let me lose my shadow
You are the sun, the glowing halo
And you keep burning me up with all your love, oh

Boom clap, the sound of my heart
The beat goes on and on and on and on and
Boom clap, you make me feel good
Come on to me, come on to me now
Boom clap, the sound of my heart
The beat goes on and on and on and on and
Boom clap, you make me feel good
Come on to me, come on to me now
Boom clap, the sound of my heart
The beat goes on and on and on and on and
Boom clap, you make me feel good
Come on to me, come on to me now
Boom clap, the sound of my heart
The beat goes on and on and on and on and
Boom clap, you make me feel good
Come on to me, come on to me now"
Vroom Vroom,Charli XCX,Vroom Vroom,"{'year': 2016, 'month': 2, 'day': 26}","Let's ride
Let's ride
Let's ride
Let's ride

Lavender Lamborghini, roll up in a blue bikini
Bitches on the beaches, lookin' super cute and freaky
All my friends are princesses, we keep it whipped and creamy
Ice cubes on our tongues because we like to keep it freezy
Lavender Lamborghini, get out on the right side
Chauffeur stayed at home because my girl wanted to ride
Lookin' luxe and tastin' plush, I'm feelin' so alive
Want to take it to the highway, come on, let's go for a drive, uh

All my life, I've been waitin' for a good time, a good time
Let me ride, let me ride)
All my life, I've been waitin' for a good time, a good time
So let me ride, let me ride
Let me ride, let me ride)
All my life, I've been waitin' for a good time
So let's ride

Vroom, vroom) Bitches know they can't catch me
Vroom, vroom) Cute, sexy and my ride's sporty
Vroom, vroom) Those slugs know they can't catch me
Vroom, vroom) Beep, beep, so let's ride
Vroom, vroom) Bitches know they can't catch me
Vroom, vroom) Cute, sexy and my ride's sporty
Vroom, vroom) Those slugs know they can't catch me
Vroom, vroom) Beep, beep, so let's ride
 
Let's ride
Let's ride
Let's ride
Let's ride

Bubblegumpink Ferrari, yeah, I'm so bossy
Speedin' like Alonso just to crash your party
People are goin' loco when I'm pullin' up, takin' your papi
Don't think about consequences 'cause they're never gonna stop me, what?

All my life, I've been waitin' for a good time, a good time
Let me ride, let me ride)
All my life, I've been waitin' for a good time, a good time
So let me ride, let me ride
Let me ride, let me ride)
All my life, I've been waitin' for a good time
So let's ride

Vroom, vroom) Bitches know they can't catch me
Vroom, vroom) Cute, sexy and my ride's sporty
Vroom, vroom) Those slugs know they can't catch me
Vroom, vroom) Beep, beep, so let's ride
Vroom, vroom) Bitches know they can't catch me
Vroom, vroom) Cute, sexy and my ride's sporty
Vroom, vroom) Those slugs know they can't catch me
Vroom, vroom) Beep, beep, so let's ride
Boom, boom, boom
Hear me comin' through the radio
Watch me go zoom, zoom, zoom
Try to catch me, but you're too slow
Boom, boom, boom
Hear me comin' through the radio
Know they can't catch me
Watch me go zoom, zoom, zoom
Know they can't catch me
Try to catch me, but you're too slow
Too slow, too slow"
Gone,Charli XCX,Charli (Japanese Edition),"{'year': 2019, 'month': 7, 'day': 17}","I have to go, I'm so sorry, but it feels so cold in here
I am just now realizing they don't care
I try real hard, but I'm caught up by my insecurities
Pour me one more, watch the ice melt in my fist

I feel so unstable, fucking hate these people
How they making me feel lately
They making me weird, baby, lately
I feel so unstable, fucking hate these people
How they making me loathe
They making me loathe, yeah

Why do we keep when the water runs?
Why do we love if we're so mistaken?
Why do we leave when the chase is done?
Don't search me in here, I'm already gone, baby
Why do we keep when the water runs?
Why do we love?

I would lay down Lay down)
But they staring, their eyes like two shining stones
I see myself Myself), and I look scared and confused
Wait, did they just talk? Why is it too loud? Is it loud?)
Do they wish to run through me? Me)
Am I a smoke? Am I the sun? And who decides? Oh)
 
I feel so unstable, fucking hate these people
How they making me feel lately
They making me weird, baby, lately
I feel so unstable, fucking hate these people
How they making me loathe
They making me loathe, oh, mmm Yeah)

Why do we keep when the water runs?
Why do we love if we're so mistaken?
Why do we leave when the chase is done?
Don't search me in here, I'm already gone, baby Baby)
Why do we keep when the water runs?
Why do we love if we're so mistaken?
Why do we leave when the chase is done?
Don't search me in here, I'm already gone, baby

Cruels endroits)
Why do we keep when the water runs?
Ne me cherche pas, je ne suis plus là, baby
Why do we leave when the chase is done?
Ne me cherche pas, je ne suis plus là Yeah, yeah, yeah, yeah)
Why do we? Ah
Keep, keep, kkeep the water running
Keep, kkeep, kkeep, kkeep the water run
Keep, kkeep, kkeep the
Keep, keep the, keep
Keep
Why do we keep when the water runs?
Keep, keep, keep
Why do we love if we're so mistaken?
Keep, keep, keep
Why do we leave when the chase is done?
Keep
Why do we keep when the water runs?
Keep, keep, keep
Why do we love if we're so mistaken?
Keep, keep, keep
Why do we leave when the chase is done?
Don't search me in here, I'm already gone, baby"
After The Afterparty,Charli XCX,XCX World [Shelved],"{'year': 2016, 'month': 10, 'day': 28}","After the afterparty we're gonna keep it goin'
We're gonna rip it up, the neighbors might complain
XCX, Charli!)

I think it's almost  AM but baby I'm still feelin' just fine
Ice all up in a plastic cup and I'ma keep on sippin' all night, yeah
I might've kissed a thousand lips, but maybe that's just all in my mind
Some people never understand the way we live but we're livin' life

Uh huh, hey, uh huh, Monday to Sunday, it's never too late
So everyone say, We don't wanna stop!""

'Cause after the afterparty, we're gonna keep it goin'
We're gonna rip it up, the neighbors might complain
'Cause after the afterparty, we're gonna stay 'til mornin'
Then when the time is up, we'll do it all again
Yeah, yeah, yeah, yeah, yeah, yeah, yeah
We're all in love
We're all in love

I'm hangin' on my best friend's couch and my clothes are all on the floor
I got glitter in my underwear like it was Studio , yeah
I can't remember why I love it, but I need it baby, clap, bring on the encore
Let's pour another drink, the glasses go clink*
Yeah, we're always up for one more
 
Uh huh, hey, uh huh, Monday to Sunday, it's never too late
So everyone say, We don't wanna stop!""

'Cause after the afterparty, we're gonna keep it goin'
We're gonna rip it up, the neighbors might complain
'Cause after the afterparty Afterparty)
We're gonna stay 'til mornin' Stay 'til mornin')
Then when the time is up, we'll do it again Oh yeah, oh, Lil Boat!)

The party just ended but I'm not done with you
But my folks are out of town, we got a crib with a view
Y'all come over, bring a couple friends, I keep mine with me
Shouts out to Whitney, she was so wicked
The party was so crazy, oh
The party was so crazy, oh
Tomorrow I'll be lazy
But I'll spend it with you baby

Monday to Sunday, doin' it our way
RiRi on replay, cheers to the weekday
We're all in, we're all in love, yeah
Drop, drop, drop, drop, drop
And we do it like ice cream for dinner
Bucket of liquor, we're getting sicker
Don't need Ibiza
We're all in, we're all in love, yeah
Drop, drop, drop, drop, drop
And we do it like
Monday to Sunday, doin' it our way
RiRi on replay, cheers to the weekday
We're all in, we're all in love, yeah
'Cause after the afterparty, we're gonna keep it goin'
We're gonna rip it up, the neighbors might complain
'Cause after the afterparty Afterparty)
We're gonna stay 'til mornin' Stay 'til mornin')
Then when the time is up, we'll do it again Oh yeah, oh)
Yeah, yeah, yeah, yeah, yeah, yeah, yeah
Lil Boat, Lil Boat, Lil Boat)
Lil Boat, Lil Boat, Lil Boat)
We're all in love Lil Boat, Lil Boat, Lil Boat)
We're all in love
Yeah, yeah, yeah

Monday to Sunday doing it our way
RiRi on replay, cheers to the weekday
We're all in, we're all in love, yeah
We're all in love!)"
Unlock It,Charli XCX,Pop 2,"{'year': 2017, 'month': 12, 'day': 15}","Lock it, lock it, locklock it
Lock it, lock it, unlock it
Lock it, lock it, locklock it
Beautiful)

Rollercoaster ride in the fast lane
Got the roof down, kiss me hard in the rain
You got the candycolored eyes, pink and gold chain
Million dollar babe, whip it out like I'm propane

You're on my mind
I'm feelin' kinda nervous but I like it
Take my tshirt off and do it right
You're on my mind
The feelin', like an astronaut
Watchin' the world all alone, just you and I You and I)
Beautiful)

Rollercoaster ride in the fast lane
Got the roof down, kiss me hard in the pourin' rain
Yeah, I can see it in your eyes, know you feel the same
Million dollar babe, trippin' on it like propane
Beautiful)
 
Lock it, lock it, locklock it
Lock it, lock it, unlock it
Lock it, lock it, locklock it
Got the key, can you unlock it?
Lock it, lock it, locklock it
Lock it, lock it, unlock it
Lock it, lock it, locklock it
Got the key, can you unlock it?

Caught in a lip lock, when we pit stop
Cosmic kiss, tastes like cherry maraschino
Ride, passenger seat, tropical heat
Eyes so red, you could be my Valentino, yeah Wooah!)
If you want my heart, then don't you drop it
Want my heart, then don't you drop it)
I'm right here, right in your pocket
I'm right here, right in your pocket)
Pull it, cock it, never stop it
Never stop it)
If you want my love My love!), try to unlock it

Rollercoaster ride in the fast lane
Got the roof down, kiss me hard in the pourin' rain
Yeah, I can see it in your eyes, know you feel the same
Million dollar babe, trippin' on it like propane
Beautiful)
Unlock the swag, Rae Sremmurd
Make you hit them high notes, like you a tenor
Tell the big appetite, girl, you my dinner
I know they could do you, but I could do it better
Bring me out to London, yeah UK.)
I can show you somethin', yeah Somethin')
Unlock your clothes off your body
Give you lovin', yeah Let's get it)
'Cause that's how we do That's how we do)
You wantin' me too Wantin' me too)
Your top be seethrough, ooh Top be seethrough)
I like the preview Like the preview)
We not there yet, girl, but we on the way Way, way)
We on the surfboard, yeah, we ridin' waves Waves, waves)
Let's get it going, girl, let's ándale (Ándale)
Let's ándale (Ándale), sip this champagne Ah)

Lock it, lock it, locklock it
Lock it, lock it, unlock it
Lock it, lock it, locklock it
Got the key, can you unlock it?
Lock it, lock it, locklock it
Lock it, lock it, unlock it
Lock it, lock it, locklock it
Got the key, can you unlock it?
Lock it, lock it, locklock it Unlock it)
Lock it, lock it, unlock it Unlock it)
Lock it, lock it, locklock it Unlock it)
Got the key, can you unlock it? Unlock it)
Lock it, lock it, locklock it Unlock it)
Lock it, lock it, unlock it Unlock it)
Lock it, lock it, locklock it Unlock it)
Got the key, can you unlock it? Unlock it)
Lock it, lock it, locklock it
If you want my heart, then don't you drop it)
Lock it, lock it, unlock it
Lock it, lock it, locklock it
I'm right here, right in your pocket)
Got the key, can you unlock it?
Lock it, lock it, locklock it
If you want my heart, then don't you drop it)
Lock it, lock it, unlock it
Lock it, lock it, locklock it
I'm right here, right in your pocket)
Got the key, can you unlock it?
Wooah!
Beautiful)
Propane, propane
Propane, propane
Propane, propane
Propane, propane
EhehXCX, Charli)
Kiss me hard, kiss me hard
Kiss me hard, kiss me hard
Propane, propane
Propane, propane
Kiss me hard, kiss me hard
Unlock it, unlock it
Unlock it, unlock it
Unlock it, unlock it
Unlock it, uh
Lock it, lock it, lock it, lock it
Lock it, unlock it
Lock it, lock it, lock it, lock it
Lock it, unlock it
Lock it, lock it, lock it, lock it
Lock it, lock it
Unlock it, unlock it, lock it
Wooah!
Got the key, can you unlock it?"
​forever,Charli XCX,how i’m feeling now,"{'year': 2020, 'month': 4, 'day': 9}","Love suicide
You and I drove for miles
Knew I'd be here, be here, be here with you
Knew I'd be here, be here, be here with you
We took a dive in the blue, scared to lose
All my feelings, feelings, feelings for you
Knew I'd be here, be here, be here with you

Yeah, now we gotta let this go
Drove the car off the road
I gotta give you time to grow
You're not a ghost, you're in my head
I didn't wanna leave you low
Drove the car off the road
I hope you get some time to grow
You're not a ghost, you're in my head In my head...)

I will always love you Love you)
I'll love you forever
Even when we're not together
I will always love you Love you)
I'll love you forever
Said I'll love you forever
I know in the future Future)
We won't see each other We won't see each other)
Cold just like December
But I will always love you Love you)
I'll love you forever
Yeah, I'll love you forever
 
Head, in my head

You take your time, I'll take mine, we'll be fine
Knew I'd be here, be here, be here with you
When the roof caved in and the water fell through
Hope when we're old, we'll be friends, reminisce
Hope we'll be there, be there, be there, us two
All the memories, all the photos we took

Yeah, now we gotta let this go
Drove the car off the road
I gotta give you time to grow
You're not a ghost, you're in my head
I didn't wanna leave you low
Drove the car off the road
I hope you get some time to grow
You're not a ghost, you're in my head

I will always love you Love you)
I'll love you forever
Even when we're not together
I will always love you Love you)
I'll love you forever
Said I'll love you forever
I know in the future Future)
We won't see each other We won't see each other)
Cold just like December
But I will always love you Love you)
I'll love you forever
Yeah, I'll love you forever
I will always love you Love you)
I'll love you forever Ever)
Even when we're not together
I will always love you Love you)
I'll love you forever
Said I'll love you forever I knowI know)
I know in the future Love you)
We won't see each other
Cold just like December
But I will always love you Love you)
I'll love you forever
Yeah, I'll love you forever
I knowI know Love you)
Oh, I love, ohohohoh
I know, love you
I'll love you forever
I knowI know Love you)
Oh, I love, ohohohoh
I know, love you
I knowI know)
Future, we won't see each other
I knowI know Love you)
Love you
I knowI know Love you)
Love you
I knowI know Love you)
Love you

Front of my mind, in the front of my mind
You stay right in front, in the front of my mind
Front of my mind, in the front of my mind
You stay right in front, in the front of my mind
Front of my mind, never leave you behind
We say promises and we gave up the lies
Front of my mind, in the front of my mind
You stay right in front of my mind"
​claws,Charli XCX,how i’m feeling now,"{'year': 2020, 'month': 4, 'day': 23}","I like, I like, I like, I like
I like, I like, I like, I like, I like, I like
I like, I like, I like

Like your mind, like your smile
Like your eyes, I could die
Aeroplane, you are so fly
Singin' songs by Jeremih
Party time, hop inside Woo)
We're so high, roller coaster ride
Diamond bright, kiss me right, yeah
That's so nice Yeah)

I like, I like, I like, I like, I like everything about you
I like, I like, I like, I like, I like everything about you
I like, I like, I like, I like, I like everything about you
I like, I like, I like, I like, I like everything about you

So, don't you hold me back
'Cause I know when I know, I don't wanna be alone
Don't you hold me back
'Cause I know when I know, I wanna go
 
I'm not shy, make you sigh
Slip and slide up my thighs Ah)
Juicy just like clementines
Sorry if I make you cry
Party time, hop inside
We're so high, roller coaster ride
Gemini, switchin' sides
Yeah, that's so nice Woo)

I like, I like, I like, I like, I like everything about you
I like, I like, I like, I like, I like everything about you
I like, I like, I like, I like, I like everything about you
I like, I like, I like, I like, I like everything about you

So, don't you hold me back
'Cause I know when I know, I don't wanna be alone
Don't you hold me back
'Cause I know when I know, I wanna go

I, I, I, I, I like everything about you
I, I, I, I, I, everything about you
Everything about you
Every Yeahyeahyeahyeahyeah)
Everything about you
Everything about you
Everything about you, yeah
Everything about you
Everything"
I Got It,Charli XCX,Pop 2,"{'year': 2017, 'month': 12, 'day': 15}","Brooke Candy, fag mob
Charli XCX
Pabllo Vittar
Miss CupcakKe, uh

Big tits, double D's
No silicone and no saline
Jealous of me
Envious hoes in their allgreen
Hater disease
Bitches, so sick of 'em, Dramamine
Bad Brooke Candy
If you ain't mad, well, you 'bout to be

I got it, I got it, I got it, I got it, I got it, I got it
I got it, I got it, I got it, I got it, I got it, I got it
I got it, I got it, I got it, I got it, I got it, I got it
I got it, I got it, I got it, Got it) yeah Got it)
I got it, I got it, I got it, I got it, I got it, I got it
I got it, I got it, I got it, I got it, I got it, I got it
I got it, I got it, I got it, I got it, I got it, I got it
I got it, I got it, I got it, Got it) yeah Got it)
 
Ten stacks, ten keys
Swimmin' pools, goin' real deep
LA., A. G. A. G.!)
Studio with the real beats
So raw, sushi
Crashed your daddy's Lamborghini
Charli, baby
Pull up, pull up to the party

I got it, I got it, I got it, I got it, I got it, I got it
I got it, I got it, I got it, I got it, I got it, I got it
I got it, I got it, I got it, I got it, I got it, I got it
I got it, I got it, I got it, yeah
I got it, I got it, I got it, I got it, I got it, I got it
I got it, I got it, I got it, I got it, I got it, I got it
I got it, I got it, I got it, I got it, I got it, I got it
I got it, I got it, I got it, yeah
Miss CupcakKe is on this track
Have you heard her? Have you seen her?)

Got a couple of bitches that want my attention
They actin' real vicious, but I'm not offended
They lurkin' like witnesses, money I'm gettin'
Could drop an ice tray and I still won't be slippin'
Got) Another check comin' in
Got) A couple checks I ain't spend
Got) Fat pockets, need a gym
I) Made it possible like Kim
Today, I got great times
Square it out like FaceTime
Yellow tape around the body
But not measurin' waistlines Hoo, hoo, hoo, hoo!)
Zero fucks, the amount What?)
Zero bucks in your account You broke!)
So many offers on the table What?)
A bitch gotta eat on the couch
I got it, I got it, I got it, I got it, I got it, I got it
I got it, I got it, I got it, I got it, I got it, I got it
I got it, I got it, I got it, I got it, I got it, I got it
ChChChCharli...)
I got it, I got it, I got it, yeah
Xis Cê Xis...)
I got it, I got it, I got it, I got it, I got it, I got it
Brooke Candy...)
I got it, I got it, I got it, I got it, I got it, I got it
CupcakKe...)
I got it, I got it, I got it, I got it, I got it, I got it
Pabllo Vittar...)
I got it, I got it, I got it, yeah
Controlo qualquer um com a minha bruxaria
Minha bunda é mais forte que feitiçaria
Encanta, magia, atiça, vicia
Consigo o que eu quero se rebolo assim
Não existe ninguém aqui igual a mim, não, não
Todos querem sim Todos querem sim)
Me chamam de queen Me chamam de queen)
Todos querem sim Todos querem sim, eu sei)
Me chamam de queen
Todos querem sim, me chamam de queen
Todos querem sim, me chamam de queen
Todos querem sim)
I got it, I got it, I got it, I got it
I got it, I got it, I got it, I got it
I got it, I got it, I got it, I got it
I got it, I got it, I got it, I got it
I got it, I got it, I got it, I got it
I got it, I got it, I got it, I got it
I got it, I got it, I got it, I got it
I got- yeah
I got it, I got it, I got it, I got it
I got it, I got it, I got it, I got it
I got it, I got it, I got it, I got it
I got it, I got it, I got it, I got it
I got it, I got it, I got it, I got it
I got it, I got it, I got it, I got it
I got it, I got it, I got it, I got it
I got it, I got it)
I got it, I got it, I got-"
Click,Charli XCX,Charli (Japanese Edition),"{'year': 2019, 'month': 9, 'day': 13}","Get what I want like click""
They want a pic like click""
Cheers with the glass like click""
Cash register goes click""
You can't fuck with my clique Clclclique)
Strut my stuff on the strip
Prospects all in the whip
Pull up and vroom, oh shit
Charli's up in this bitch
Charli's up in this sitch
Get what I want like click""
They want a pic like click""
Cheers with the glass like click""
Cash register goes click""
You can't fuck with my cliquecliqueclique
Strut my stuff on the strip
Prospects all in the whip
Pull up and vroom, oh shit
Charli's up in this bitch
Yeah, Charli's up in this

Pull up and we drippin' in gold
The king of my clique when I roll
Hit Kim 'cause she cute on my phone
Hit Tommy, he know how to ball
We fly off firstclass to Moscow
I'm zoomin' my way 'round the globe Zoom)
Don't care 'bout the records you sold
Cosign if you did it alone Yeah)
I'm so / with my vision
/ with precision, I'm so legit
I'm so , when I wanna go pop
I'll pop, I got them hits
Pick the research, get the camera
Click it on, baby, come on, watch me dip
Watch me dip with my clique, oohooh
Watch me dip with my, yeah
 
Get what I want like click""
They want a pic like click""
Cheers with the glass like click""
Cash register goes click""
You can't fuck with my clique Clclclique)
Strut my stuff on the strip
Prospects all in the whip
Pull up and vroom, oh shit
Charli's up in this bitch
Charli's up in this si—

Wooah
Bunch of bad bitches in my clique, we on a roll, yeah
Kim Possible up in this bitch, now watch me go off
Bust it down, down, down, look at my wrist, I'm such a showoff
Designer everything, Versace, Louis, Goyard
First they want a check, first they send the Wraith
Lookin' like a safe, diamonds in your face
Skinny in the waist, make him eat the cake
Charli with me, babe, Charli with me, babe
Rock like full of bass, you get to LA. 
Cookie super sweet, put it on a tray
Got an appetite, come and clean the plate
You heard what I say, you heard what I say, yeah
I'm nextlevel, so legit with all my clique, clique, clique, yeah
Yeah, all you bitches fuckin' wish you had this clique, yeah
I get what I want like click""
They want a pic like click""
Cheers with the glass like click""
Cash register goes click""
You can't fuck with my clique
Strut my stuff on the strip
Prospects all in the whip
Pull up and vroom, oh shit
Charli's up in this bitch Oh)
Kim is up in this bitch

I'm hard like sudoku Sudoku), expensive like Coco Oh)
If no pay, I won't go Won't go), don't fuck with a broke ho Oh)
Tommy goin' loco Loco, yeah), look at the Chopard Chingching)
Babushka do gogo Yeah), solo, I GoPro Dudududu)
Macintosh and Big Mac, duck
No cockblock around this block
Please don't, doors unlocked like I don't really give a fuck
Flip the check, jump out datdat
For my clique, let me hashtag (Хэштег)
We get lit, but we never need a lot
Don't like fake class

Mm Charli)
Mm, oh, mm It's Charli)
Get what I want like click""
They want a pic like click""
Cheers with the glass like click""
Cash register goes click""
You can't fuck with my clique Clclclique)
Strut my stuff on the strip
Prospects all in the whip
Pull up and vroom, oh shit
Charli's up in this bitch
Charli's up in this"
