,Artist,Album,Release Date,Lyrics
Different Now,Chastity Belt,I Used to Spend So Much Time Alone,"{'year': 2017, 'month': 3, 'day': 8}","Well you can't always be right
All those little things that keep you up at night
You should take some time to figure out your life
But you're stuck indoors and thinking poorly
You'll find in time
All the answers that you seek
Have been sitting there just waiting to be seen
Take away your pride and take away your grief
And you'll finally be right where you need to be
Take all of it, take everything you're owed
'Til you finally feel okay being alone
Yeah it's different now
Yeah it's different now, you're old
And you try and you try and you try and you try"
Cool Slut,Chastity Belt,Time to Go Home,"{'year': 2015, 'month': 3, 'day': 23}","Going out on the town
Fooling around
Getting all dressed up
Just to dress back down
Ooh
To all the girls in the world
Trying to take off their shirts
Ladies it's okay to be
It's okay to be slutty
Ooh
We're just a couple of sluts
So what?
We like to fuck
We just wanna have some fun
Grind up on everyone
Ooh
To all the girls in the world
Trying to take off their shirts
Ladies it's okay to be
It's okay to be slutty
Ooh"
Seattle Party,Chastity Belt,No Regerts,"{'year': 2013, 'month': 8, 'day': 13}","They really make me think
And your life has been so rough
You've been through so much
We are having a party tonight
We are inviting our best friends
So we can have a good time
Are there others
Out there
Who think like us
Are there others
And are they having fun
I think they're having fun
I think they're having fun
If you dance if you dance
No girl will give you a chance
You're a cool guy
You won't look us in the eye
We are having a party tonight
We are inviting our best friends
So they can have a good time
See Chastity Belt Live Are there others
Out there
Who think like us
Are there others
And are they having fun
I think they're having fun
Are we having fun?
Are we having fun?
Are we having fun?"
Drone,Chastity Belt,Time to Go Home,"{'year': 2015, 'month': 3, 'day': 20}","He was just an illusion
Stuck in my own bad air
I thought I had freedom, but
I was stuck there

I made
Choices without reason
Choices without reason
Invite strangers in
And leave them

He was just another man, tryn'a teach me something
He was just another man, tryn'a teach me something

I never expect much
From anyone
So I'm never dissapointed, and I
Never have to trust

I made
Choices without reason
Choices without reason
Invite strangers in
And leave them
See Chastity Belt Live  x)
He was just another man, tryn'a teach me something
He was just another man, tryn'a teach me something"
Joke,Chastity Belt,Time to Go Home,"{'year': 2015, 'month': 3, 'day': 23}","Nothing's serious
Everything's a joke
When we smoke
It's all in smoke

I feel fine, when we're high
I'm gonna light you on fire
We laugh so hard and then we cry
Let's light everything on fire

Getting better at forgetting
Everything that's heavy is
All a joke
When we smoke

I feel fine when we're high
I'm gonna light you on fire
We laugh so hard and then we cry
Let's light everything on fire"
Black Sail,Chastity Belt,No Regerts,"{'year': 2013, 'month': 8, 'day': 13}","We set sail
And our boat went down
Schools of fish
Circling around

Black sail
Strong wind
Black sheep
I'm not one of them

Who's in control
The weight and the depth
We were small
We were so small

Black sail
Strong wind
Black sheep
I'm not one of them"
Time to Go Home,Chastity Belt,Time to Go Home,"{'year': 2015, 'month': 3, 'day': 23}","Nothing worthwhile to say
Wanting something that would cut deep
We're gonna have a meaningful night
Ooooh, I can't see straight
Ooooh, the room is spinning
I just want to have a good time
I hope you have a strong heart
Ooooh, I can't see straight
Ooooh, the room is spinning
Everything is beautiful
Because we're delusional
Yeah, I think I figured it out
Yeah, I think I figured it out
Time to go home, time to go home, time to go home"
Caught in a Lie,Chastity Belt,I Used to Spend So Much Time Alone,"{'year': 2017, 'month': 4, 'day': 4}","You're caught in a lie
Living someone else's dream
No one takes you that seriously
Well I can relate
The story's writing me
But the facts are false
What good does truth bring?

Is this what you want?
Is this who you want me to be?
I'll take a shot of whatever you've got
But it's not going down that easily

You're caught in a lie
Living someone else's dream
Well I can relate
What good does truth bring?

Is this what you want?
Is this who you want me to be?
I'll take a shot of whatever you've got
But it's not going down that easily"
What the Hell,Chastity Belt,I Used to Spend So Much Time Alone,"{'year': 2017, 'month': 6, 'day': 2}","I had a lot of thoughts today
I felt okay
I can convince myself of anything
So what the hell

But you, you tell me what I wanna hear
Yeah, you, you tell me what I wanna hear
Sometimes I don't even know you at all
So what the hell

If I look at my phone again, I'll just wanna die
Aside from that, I feel all right
I know myself when I'm by myself
But I'd rather be around you

Yeah, you, you tell me what I wanna hear
Yeah, you, you tell me what I wanna hear
Sometimes I don't even know you at all
So what the hell

What the hell
What the hell
What the hell)
What the hell
What the hell
What the hell)
What the hell
What the hell
What the hell"
Lydia,Chastity Belt,Time to Go Home,"{'year': 2015, 'month': 3, 'day': 23}","And what's left I will be free to take
And I can't lie if I don't know the truth
Just another night drunk and confused
Will you keep all of my mistakes
And what's left I will be free to take
When the fog meets the water I will ask
When the fog meets the water I will ask
What is real?
It's what you feel
When the fog meets the water I will ask
When the fog meets the water I will ask
What is real?
It's what I feel
It's real"
