,Artist,Album,Release Date,Lyrics
Beware,Death Grips,Exmilitary ,"{'year': 2011, 'month': 4, 'day': 25}","He come to me with money in his hand! He offered me, I didn't ask him, I wasn't knocking someone's door down, I was running from that! When I got out, I was in that. I was already through that, I had that, I had the studio, I went to the studio! I went to Vox Studios. I had it all, and I looked at it and said: 'This is a bigger jail than I just got out of.'
I don't want to take my time going to work, I got a motorcycle and a sleeping bag and ten or fifteen girls! What the hell I wanna go off into – and go to work for? Work for what, money? I got all the money in the world!
I'm the king, man, I run the underworld, guy! I decide whose does what, and where they do it at! What am I, gonna run around and act like I'm some teenybopper somewhere, for somebody else's money? I make the money, man, I roll the nickels, the game is mine!
I deal the cards
Beware, God is watching
God is watching
I close my eyes and seize it Seize it)
I clench my fists and beat it Beat it)
I light my torch and burn it Burn it)
I am the beast I worship
I close my eyes and seize it Seize it)
I clench my fists and beat it Beat it)
I light my torch and burn it Burn it)
I am the beast I worship

And I know soon come my time
For in mine void a pale horse burns
But I fear not the time I've taken
Past the point of no return
Wage war like no tomorrow
'Cause no hell, there won't be one
For all who deny the struggle
The triumphant overcome
God is watching, God is watching)

Trips to where few have been
Out of thin air, upon high winds
Rites begin when the sun descends
Have felt what few will ever know
Have seen the truth beneath the glow
Of the ebb and flow, where the roots of all mysteries grow
I am below, so far below the bottom line
Transmitting live, transmissions rise
From the depths out of controlled by
Suspended glance of an unblinking eyes
Imminent gaze cast 'pon the path that winds
'Pon the path I find, and claim as mine
To ride the waves of unrest
Made to make me shine as a testament
To why the ways of the blind will never get
Shit but shanked by my disrespect
Dismiss this life, worship death
Cold blood night of serpent's breath
Exhaled like spells from the endlessness
In the bottomless wells of emptiness
Channeled to invoke what we represent
Secret order, elitist horde of creeping fire, seizing power
Riders of the lupus hour
Eye on palm, time is gone
Moonlight drawn, fly till dawn
Sacrifice to rise beyond
Deep inside the violent calm of the coming storm
In blood sworn to glorify and for life adorn
With all that dies to become unborn
God is watching, God is watching)
I close my eyes and seize it Seize it)
I clench my fists and beat it Beat it)
I light my torch and burn it Burn it)
I am the beast I worship God is watching)
I am the beast I worship
I close my eyes and seize it Seize it)
I clench my fists and beat it Beat it)
I light my torch and burn it Burn it)
I am the beast I worship
I am the beast I worship God is watching)
In the time before time eyes 'bove which horns
Curve like psychotropic scythes
And smell of torn flesh bled dry
By hell swarms of pestis flies
Vomiting forth flames lit by
An older than ancient force
That slays this life with no remorse
The spiral storm of flames inside
The torch I raise, the force I ride
Feel my vessel go up in flames
Flesh torch lit by the unnamed
Direct connection to the source
Vestment of unnatural force
Forever burning black torch
Wisdom of the old and true
Possessed by the chosen few
Shining to reveal the ways
Of a darkness that pervades
All that is and ever was
Inferno of witches' blood
Worship is not on bended knee
Nature knows not of mercy
To pray is to accept defeat
Power pisses on the weak
Bow and beheaded by the beast
Beggar on a bitch's leash
Scum is desperate for relief
Worship is the way I ride
Witching currents through the eye
Of storms that force the false to die
Worship the flames with which I rise into apocalyptic skies
Beware, God is watching
Harsh winds flay mine flesh to bone
In splintered skeleton I roam
Wastelands with naught to call my own
But the path I walk alone
The hunger burns within my gut
As my bones turn into dust
God is watching, God is watching)
And I know soon come my time
For in mine void a pale horse burns
But I fear not the time I'm taken
Past the point of no return
Wage war like no tomorrow
'Cause no hell, there won't be one
For all who deny the struggle
The triumphant overcome

I close my eyes and seize it
I clench my fists and beat it Beat it)
I light my torch and burn it
I am the beast I worship
I close my eyes and seize it
I clench my fists and beat it Beat it)
I light my torch and burn it
I am the beast I worship
Beware, God is watching)
I am the beast I worship
Beware, God is watching)

What up-, man? Uh
Seein' what's goin' on with it, in case you guys got to see
Uh, thinkin' about headin' out, here Ro-)
Is gonna come through and smoke some
It goes, it goes, it goes, it goes, it goes, it goes, it goes, it goes, it goes, it goes, it goes YAH!"
Hacker,Death Grips,The Money Store,"{'year': 2012, 'month': 4, 'day': 14}","Hey, no ins and outs
You come out, your shit is gone, bitch

Goin' back to Tangier with some Jordans and a spear
PostChristian shit, postchickenortheeggaddiction shit
Pass the sherm stick, Neoreality
Be the freak you wanna see, just don't follow me
I'm on a journey to the center of three
Grab your fucking chain and drag you through the bike lane
While everybody's like Nooooo!)
I got this pregnant snake; stay surrounded by long hairs
A plethora of maniacs and spiral stairs
Make your water break in the Apple Store
Sink or swim, who fucking cares, cut the birth cords
Press send, yeah, thick
Gaga can't handle this shit, headed for the Sammy Davis wing
Throw up a black hole at the entrance of LinensnThings
On the way, never call it a day
Visit Tesla's grave for the ninth time today
Still on the way, bigger wigs

When you come out, your shit is gone
When you come out, your shit is gone
When you come out, your shit is gone
When you come out, your shit is gone

I'm in your area, I'm in your area
I'm in your area, I'm in your area
I know the first three numbers, I'm in—
I know the first three numbers, I'm in—
I'm in your area, I'm in your area
I'm in your area, I'm in your area
I know the first three numbers, I'm in—
I know the first three numbers, I'm in—

When you come out, your shit is gone
When you come out, your shit is gone I'm in—)
When you come out, your shit is gone
When you come out, your shit is gone

You'll catch a jpeg to the head, über reach
You're an intern, I'm Wikileaks
Most loved, therefore most hated
Come and knock on the door, we've been waiting for you
Game changer, reclusiveaggressive
Yinging and yanging, noided
Info warrior, Jack the Hacker
The rolling stoner, profit on disaster
My existence is a momentary lapse of reason
Got the DNA of gothic lemons
Shred it thirteen times out of eleven
Your bad ideas are the ATM, shed my skin
Leave it for the homeless to sleep in
Prodigal, fuck that, nautical
Teachin' bitches how to swim I'm in—)
I'm in your area, I'm in your area
I'm in your area, I'm in your area
I know the first three numbers, I'm in—
I know the first three numbers, I'm in—
I'm in your area, I'm in your area
I'm in your area, I'm in your area
I know the first three numbers, I'm in—
I know the first three numbers, I'm in—

Teachin' bitches how to swim
Teachin' bitches how to swim I'm in—)
Teachin' bitches how to swim
Teachin' bitches how to swim
Now backstroke, through your khole
Don't run, you might slip
The table's flipped, now we got all the coconuts, bitch

Burmese babies under each arm
Screaming beautiful songs
The craycray ultracontrarian
Havin' conversations with your car alarm
When you come out, your shit is gone
Soon your crew will be serving sandwiches named after me
Vietnamese style, fool, please
Front row at the mass games, untraceable by name
You speak of us in certain circles, you will be dethroned or detained
Gone, gone
Your shit is gone, gone
When you come out, your shit is gone

I'm in your area, I'm in your area
I'm in your area, I'm in your area
I know the first three numbers, I'm in—
I know the first three numbers, I'm in—
I'm in your area, I'm in your area
I'm in your area, I'm in your area
I know the first three numbers, I'm in—
I know the first three numbers"
Takyon (Death Yon),Death Grips,Exmilitary ,"{'year': 2011, 'month': 3, 'day': 8}","Takkyon
Tak– Takkyon, Takyon
Takkyon, Tak– Tak–
Triple six, five, forked tongue

Subatomic penetration, rapid fire through your skull
How I shot it on one, takin' it back to the days of tryna lose control Tak– Tak)
Swerving in a blaze of fire, raging through my bones

Oh shit I'm feeling it, Takyon
Hell yeah, fuck yeah, I feel like killing it, Takyon
Alright thats tight, what it's like to experience, Takyon Takyon)

Out of the blue, in through the back
Door coming through like Fuck, what was that?"" Tak– Tak)
Man I dont know, but it made me feel so heated
How we creep without showing you jack
Shit from below, give a shit if you know
'Cause even if you did, bet youd keep coming back
Back for more, need it man you're addicted to the heat
We make beats catch Tak– Tak)
Beat it 'til it bleeds to death, each track
Epileptic seize every head we crack
Like EPMD snapping necks as we tap energy from everything on and off the map Takyon)

Oh shit I'm feeling it, Takyon
Hell yeah, fuck yeah, I feel like killing it, Takyon
Alright thats tight, what it's like to experience, Takyon

Takyon shot down your throat like a keg of beer
Choke on the smoke we in and exhale 'til the whole chamber is clear Tak– Tak)
Haters act so fucking weird
Try to stain this atmosphere
But they can't 'cause it's way too sheer
How to make a hater disappear Tak– Tak)
Take shit where it aint never been
Fuck what you thought could not comprehend
This shit if I fisted your brain with it
, , , , triple six, five, forked tongue
Criminal level crunk lightning storm
Get out the way or get up torn
Aint a picture big enough to fit
What we dig up from the core Tak– Tak)
Of all that they forgot ever was
Militant march of this war

Takyon, taking them down
All we see is blood
Takyon, turning them out
How to trick out and freak that buzz
Oh shit I'm feeling it, Takyon
Hell yeah, fuck yeah, I feel like killing it, Takyon
Alright thats tight, what it's like to experience, Takyon Takyon)

Lunar eclipse forcing you to trip
Off the moonlit fire we spray
Cryonic haunted bullets hollow tipped with toxic waste Tak–)
So heres the deal, if you dont feel ill
Dont want it nowhere near my zone
That shit is dead, can't nobody get
With that shit gets dial toned
Takyon, bitch slapping pussy clots and clones
Takyon, setting off Unabombs inside your dome
Give it up, bitch, you know this is it
Get with this or get left 'cause it's on!
Takyon Takyon)

Six- six- six million ways to die, choose–"
Guillotine,Death Grips,Exmilitary ,"{'year': 2011, 'month': 4, 'day': 25}","It goes, it goes, it goes, it goes
It goes, it goes, it goes, it goes
Guillotine, yuh

Sit in the dark and ponder how
I'm fit to make the bottom fall through the floor
And they all fall down, yuh
It goes, it goes, it goes, it goes, it goes, it goes yuh)
Out of the shadows barrage of witch tongue
Cobra spit over apocalyptic cult killer cauldron smoke
Stomp music seriously, yuh
It goes, it goes, it goes, it goes, it goes, it goes)
Can't stop the groove licks jaws clear off them locks relentless raw movement
Fit to knock you from here to that Gspot body rock connected
To everything you want, ever did want, we got it why not come get it
Stick your head in that hole and watch me drop this cold guillotine death sentence, yuh
Yuh

It goes, it goes, it goes, it goes
It goes, it goes, it goes, it goes
Guillotine, yuh

Hidden art, between and beneath, every fragmented, figure of speech
Tongue in reverse, whenever the beat
Causes my jaws to call out, out, out, out, yuh
The screens flashing red, can't see shit but heads
Spinning exorcist like planets out of orbit off the edge
Off mine axis whipping through doors to far more than all thats ever been said, yuh
Tie the chord, kick the chair and you're dead, yuh
Yuh

It goes, it goes, it goes, it goes
It goes, it goes, it goes, it goes
Guillotine, yuh
Guillotine, yuh

Head of a trick in a bucket, body of a trick in a bag
And thrown in the fire like fuck it, gotta burn it before it goes bad
One too many times been disgusted by the stench of rot is such a drag, yuh
Get broke by the street like blood stained glass, yuh
Choke on these nuts till the very last, yuh
It goes, it goes, it goes, it goes)
Serial number, killing machine, the illest of means
To an end built on the filthy sound you're experiencing, yuh
Yuh

It goes, it goes, it goes, it goes
It goes, it goes, it goes, it goes
Guillotine, yuh
Guillotine, yuh

Tinted windows, bulletproof
The slip knot fixing rope to noose
To the grave stone grinder of cold steel
The passion that blinds me so I feel, yuh!
Can't let go, no it flows through our veins
Blows through our tunnels and rattles our chains
And they all fall down, yuh
Yuh
Yuh
Yuh
Yuh
Yuh
Yuh
Yuh
Yuh

Yuh, yuh, yuh, yuh
Yuh, yuh, yuh, yuh
Yuh, yuh, yuh, yuh
Yuh, yuh, yuh, yuh
Yuh, yuh, yuh, yuh"
Get Got,Death Grips,The Money Store,"{'year': 2012, 'month': 2, 'day': 25}","Getgetgetget, gotgotgotgot
Blood rush to my head lit hot lock
Poppin' off the fuckin' block knot
Clockin' wrist slit watch bent thought bot

Tailpipe draggin', volume blastin', bailin' out my brain
Red light flash, dem stop I smash
Abraxas, hydroplane, massive
Catch this flight flow rainin' madness
Mastered mine and laced
The ave with black cat fish tailin' waves of stratus
Curb right to far left lane
Don't wait for me, if I care
'Bout anything, anywhere
Losin' myself, I get the stares
What I'm lookin' at, wasn't there
Wasn't there, wasn't there
Wasn't there, wasn't there
Nothin' out there, can't stay inside
Hit the bar, sleepdeprived
Who drove the car? I'm still alive
Up in smoke, moon was low
How'd you know, didn't say I did
Whose is this? You know what this is
But do you know?

Getgetgetget, gotgotgotgot
Blood rush to my head lit hot lock
Poppin' off the fuckin' block knot
Clockin' wrist slit watch bent thought bot
Fly inside out
Rot dem big shot simp slot shit but a onehit quick stop

So many ways to skin the frame
Remember when first got strange
Now I just think it life obey
So what comes next right away
Right away, right away
Right away, right away
Raise the cup, tilt it dry
Come black cloud, cover the sky
Tongue through pupil of your eye
Sickness moves you can't deny
Lickin' through you, mastermind
For mercy, man cry
Yeah, I'm knowin' and you know why
Nail through mental ever dem try
Pigeon hole me get crucified
Can't clone this edge
What's it cost to lose your head
Wit out end up lost
Should be askin' where's the safe
Born with a ski mask on my face
Getgetgetget, gotgotgotgot
Blood rush to my head lit hot lock
Poppin' off the fuckin' block knot
Clockin' wrist slit watch bent thought bot
Uh, yeah

Lycanthropic manic cycles
Fire water, burnin' bibles
Wake up ragin', call a taxi
Take me to the nearest city
Cell light up, yeah get at me
Make it quick though, blood, I'm busy
Get busy, get busy, get busy, get busy
Drilled a hole into my head
Pierced the bone and felt the breeze
Lift my thoughts out dem sick bed
Wit a pair of crow skeleton wings
Know nothin' since then it seems
Been floatin' through the nexus threadin' dreams
But did you know?
Yo

Getgetgetget, gotgotgotgot
Blood rush to my head lit hot lock
Poppin' off the fuckin' block knot
Clockin' wrist slit watch bent thought bot
Getgetgetget, gotgotgotgot
Blood rush to my head lit hot lock
Poppin' off the fuckin' block knot
Clockin' wrist slit watch bent thought bot"
I’ve Seen Footage,Death Grips,The Money Store,"{'year': 2012, 'month': 4, 'day': 10}","Get up
Beats 'bout waist deep
Swallowed by beats
I stay niche
I stay n—
Get up
Beats 'bout waist deep
Swallowed by beats
I stay niche
I've seen footage

What's that? Can't tell
Handheld dream shot in hell
Deep space ghetto streets Streets, streets)
Show me somethin' I ain't seen before
Mystery 'hind that death door
Juke step electrocute the floor
What's the science of flyin' that high?
Got a nono goin' one time
Creeps up behind me
Over my shoulder
Turn around, try to see, but it's nowhere
Noided, noided, static on my blindside
I've seen footage, I stay noided, I've seen footage

I've seen footage, I stay noided, I've seen footage, I stay-
I've seen footage, I stay noided, I've seen footage, I stay- Noided, noided)
I've seen footage, I stay noided, I've seen footage, I stay-
I've seen footage, I stay noided, I've seen footage, I stay- Noided, noided)
I've seen

Everybody's knowin'
Where ya think you're goin', ain't goin' nowhere
Satellite, handle that
With a lead pipe
Who captures life
Who takes what's left, who stay
On that next, already know my gillicutti, like I told you
Don't touch me
What's up with it
I stay noided) Stimulation overload account for it
Desensitized by the mass amounts of shit
I've seen) I've seen it, I've been it
Can't delete it, feels like jail Noided)
Full Moon in the klink
Shining, don't sleep
Surveillance post my bail
I've seen footage, I stay noided, I've seen footage, I stay-
I've seen footage, I stay noided, I've seen footage, I stay- Noided, noided)
I've seen footage, I stay noided, I've seen footage, I stay-
I've seen footage, I stay noided, I've seen footage, I stay- Noided, noided)
I've seen
Get up
Beats 'bout waist deep
Swallowed by beats
I stay niche
I stay n—
Get up
Beats 'bout waist deep
Swallowed by beats
I stay niche
I've seen f—

Armored cop open fire Glock
On some kid who stepped so
Fast was hard to grasp what even happened
'Til you seen that head blow
Off his shoulders in slowmo
Rewind that, it's so cold Noided)
Rewind that, it's so cold Noided)
I've seen footage, I stay noided
Juke step with so much boyrude looseness
Seem like no bones in him skin Noided)
My jaw hit the floor, like, This real footage
Gotta see that one mo' 'gain""
I stay) Ambulance hit and run over pedestrian in Brazil
Little tiger, boy soldier
Twist cap back and kill Noided)
Seen crazy shit, man, crazy shit
Seen crazy shit, man, crazy shit, crazy
I've seen crazy shit, crazy shit, crazy shit, crazy shit
Crazy shit, crazy shit, crazy shit, crazy shit
I've seen crazy shit, crazy shit, crazy shit, crazy shit
Crazy shit, crazy shit, crazy shit, crazy shit
I've seen footage, I stay noided, I've seen footage, I stay noided
I've seen, I stay noided, I've seen footage, I stay noided Noided, noided)
I've seen footage, I stay noided, I've seen footage, I stay noided
I've seen, I stay noided, I've seen footage, I stay noided Noided, noided)
I've seen"
No Love,Death Grips,NO LOVE DEEP WEB,"{'year': 2012, 'month': 10, 'day': 1}","How the trip never stops
On and on, it's beyond insane
Why I set myself up
In a raging sea of flames?

You're fit to learn the proper meaning of a beatdown
Madness, chaos in the brain
Let my blood flow, make my blood flow through you, mane
You got no business questioning a thang
You're fit to learn the proper meaning of a beatdown
Madness, chaos in the brain
Let my blood flow, make my blood flow through you, mane
You got no business questioning a thang
You're fit to learn the proper meaning of a-

Never not on it, leanin' so hard you're ashamed
You can't dismiss this sick transmission, huffs your brain
Exhale your will and forget I ever knew you
Fuck do you do?
Fuck a man with hips for hulu
Rack a snitch, chalk and cue you
Corner pocket consume you
Too many hoes in my
Too many hoes in my motherfuckin' meal
Asking if I know how a motherfucker feels
How a motherfucker feels
Slit them choke, flip them boat
Dead bitch float, swollen corpse
No remorse, navigated off course
Of course I can make you scream but if you ask for more
Bullshit, matador, grab the floor, whip it cracked to all fours
You whimper while I check my phone
Who's next? Assassin roam
Music drifts, I have no home
Choose this life you're on your own

You're fit to learn the proper meaning of a beatdown
Madness, chaos in the brain
Let my blood flow, make my blood flow through you, mane
You got no business questioning a thang
You're fit to learn the proper meaning of a beatdown
Madness, chaos in the brain
Let my blood flow, make my blood flow through you, mane
You got no business questioning a thang
You're fit to learn the proper meaning of a-

Swallowed way too much
Couldn't handle it, I fell
Down a spiral
Staircase winding to hell

Fuck it, now I can't quit, will never be the same
I got that attitude, you got no thang
I'm fit to hurt you; gives a fuck about the way I move weight?
Dark matter, flu state of consciousness
Blew straight through you won't do shit
But beg me to do this
Again and again and again and again No love, no love)
Strangler clutch, sine wave deconstruct
My way or no way, bangin' hey makin' lust
Lucid nut shake shake it up
Booyakah
You're a bitch made to be crushed
Came like, what
Now you crave my, touch
Flat busted on front street cake cuppin'
Say you wasn't lion mane
I done been done with tame
Head hunter, fuck the fame
Switch lanin' ripper slangin'
Hit me nuclear wind at my back
Smokin'  goldfish at the photo mat
Load my clap clap can't trust 'em never did
What it is?
You're fit to learn the proper meaning of a beatdown
Madness, chaos in the brain
Let my blood flow, make my blood flow through you, mane
You got no business questioning a thang
You're fit to learn the proper meaning of a beatdown
Madness, chaos in the brain
Let my blood flow, make my blood flow through you, mane
You got no business questioning a thang
You're fit to learn the proper meaning of a beatdown
Madness, chaos in the brain
Let my blood flow, make my blood flow through you, mane
You got no business questioning a thang
You're fit to learn the proper meaning of a-"
On GP,Death Grips,Jenny Death,"{'year': 2015, 'month': 2, 'day': 9}","I'm fucking tired of all the perks
I've tried nothing, everything works
For less I'm worth, I've served my bid
All fuck life wasn't what it is
All fuck life was just a bridge
I seen some free landed some tricks
Far I see high time man quit
Won't let you know when I get going
Phone ring too long

Phone ring too long, I'm probably gone
Ring tone jingle my swan song
I'll show you how to leave well enough alone
I'm not this world this on cue world
I fall back, concoct new worlds
I fall out in throbbing swirls
I fall until I stop this world
I fall the fuck off this world

I live down the street from you
Noticed me, I've never seen you
Wonder what the fuck I do
Listen up, you nosy bitch, listen close
My most recent purchase, old black rope
Gonna learn how to tie it, hang it in my chamber
Perfect reminder, occult I'm made of
Come try it out whenever you wanna
Last night, : in the morning, Death on my front porch
Can feel him itching to take me with him, hail death
Fuck you waiting for?
Like a question no one mention
He turns around, hands me his weapon
He slurs, Use at your own discretion, it's been a pleasure, Stefan""
Head on like dead, on like grey
Death in your way, not in my way, I got my way
I was in my way, crept out my way, kept out my way
I'm on one like bae, you're on your way, way, way, way
Head on like dead, on like grey
Death in your way, not in my way, I got my way
I was in my way, crept out my way, kept out my way
I'm on one like bae, you're on your way, way, way, way

I'm fucking tired of all the perks
I've tried nothing, everything works
For less I'm worth, I've served my bid
All fuck life wasn't what it is
All fuck life was just a bridge
I seen some free landed some tricks
Far I see high time man quit
Won't let you know when I get going
Phone ring too long

Don't you worry, impossible for anything to be a big deal
I'm in no weary, my vital post dated
But clearly been ages since life had appeal
Far more than fascination
My second nature chant kill 'cause I can
This body by my own hands
My friends and family won't understand
So I stay in the end, don't make none to me
If it wasn't for them, I'd make that decision
On GP
Had to do it all again, I'd make that decision
On GP

All the nights I don't die for you
Wouldn't believe how many nights I ain't died for you
On GP
Not that I care, I'd be a liar
If I sat here claiming I'd exit in a minute
But I can't say I wouldn't, I have my limits
All the nights I don't die for you
Wouldn't believe how many nights I ain't died for you
On GP
Not that I care, I'd be a liar
If I sat here claiming I'd exit in a minute
But I can't say I wouldn't, I have my limit
All the nights I don't die
I'm fucking tired of all the perks)
I've tried nothing, everything works)
For less I'm worth, I've served my bid)
All fuck life wasn't-)"
I Want It I Need It (Death Heated),Death Grips,Exmilitary ,"{'year': 2011, 'month': 3, 'day': 8}","Been workin' way too much need to get out and get fucked up
What's going on? Where's it at?
Make some calls to make it crack, let's see
I need money, drugs, a ride
And a spot with hot ones inside
The mission:

To get all of the above in a limited amount of time
I can do this and it's done
Like that we're on our way
Be it acid on the tongue
Cocaine in your brain
Or some weed that hits your lungs
Like a runaway train
Hell yeah, from DMT to MDMA
Got all that shit and more
So till dawn we're okay, but anyway

Fuck a line, every time
Get in, get a drink, and lose our minds
All eyes on the dime
That makes your dick want to grind
Know you got a good buzz going
Cause everything is glowing
Skirt so short her ass is showing
And she's looking so youre knowing
You could get it tonight
But theres so much around
Best take your time, do it right

As you keep getting higher
Lights look like they're on fire
Soon all thats left of you
Is your most primal desires
Ass clappin', dick suckin', lock the door to the bathroom – quick fuckin'
Find a whore and it could happen
But it's nothin', cause you're drunk and you'll be blackin' out
Before you even get a chance to think 'bout what you're doing

I want it, I need it, need it to make me feel heated
Shake it, can't take it, must break it
Break if off, yeah, what'd I say bitch?
I want it, I need it, need it to make me feel heated
Shake it, can't take it, must break it
Break if off, yeah, what'd I say bitch?
Bitch
I want it, I need it, need it to make me feel heated
Shake it, can't take it, must break it
Break if off, yeah, what'd I say bitch?
Bitch, bitch, bitch, bitch
I want it, I need it, need it to make me feel heated
Shake it, can't take it, must break it
Break if off, yeah, what'd I say bitch?
Getting looser and looser and looser and looser and looser and losing yourself
In the groove that has the whole party movin'
You're cruisin', you don't know what you're doing and you don't give a-
Cause you're so liquored up, you throw it up
And keep on riding cause your timing is on
And that fine one is on you, it's time to get gone
Too far up in it to yawn, till it's finished come on
Get more twisted and bomb the dance floor till it breaks
Start to pondering rape
Me, I'm all about the face
But it takes all kinds
So pay no mind to the taste
Want to hear that song?
You know, the one with the bass
That makes their asses gyrate
Forget to hydrate
Till they're so fucked up they take
Off all of their clothes and whip
It on me like my body's made to fit 'tween their lips
You got the ones on their grill
Or between their hips
But either way, I must say
I really don't give a shit
Long as it's done well, and they promise not to tell
We could do this like an orgy
In the bowels of hell
Where every Lucys hella horny
And their pussies don't smell
Argh...
Where's it at?

I want it, I need it, need it to make me feel heated
Shake it, can't take it, must break it
Break if off, yeah, what'd I say bitch?
Bitch
I want it, I need it, need it to make me feel heated
Shake it, can't take it, must break it
Break if off, yeah, what'd I say bitch?
Bitch, bitch
I want it, I need it, need it to make me feel heated
Shake it, can't take it, must break it
Break if off, yeah, what'd I say bitch?
Bitch) Bitch, bitch, bitch, bitch
I want it, I need it, need it to make me feel heated
Shake it, can't take it, must break it
Break if off, yeah, what'd I say bitch?

Responsibility's cool, but theres more things in life
Like getting your dick
Rode all fucking night
By the kind of girl that knows how to keep her shit tight
Legs in the air, looking like they feel nice
Volcano pussy melt your peter like ice
And the drugs got you going back for more cause you're like
I just can't get enough of that cum clutch, well alright
It's time to find one and take one
Right now
It's time to find one and make one say
I'm down""
Think I just found one, 'bout to break one off
Meanwhile

Hallucinating crazy, getting lost for miles
May have gotten too fucked up cause I forgot how to smile
Gonna have to do this shit Jim Morrison style
Will it work? Probably not, but it's worth a try

First hot one I see with sex in her eyes
Will be the hot one I need to take home with me tonight
Wish me luck, give me dap
And I'll talk to you later
And when I do, let's hope my story isnt all about haters
Where's it at? Cause I want it like, man
Got the drugs but need a hot one that'll make me go damn
Was the most banging guts that I ever have smashed
If you got it push it up on me cause I'm feeling that ass, know what I mean?
Where's it at?

I want it, I need it, need it to make me feel heated
Shake it, can't take it, must break it
Break if off, yeah, what'd I say bitch?
Bitch, bitch
I want it, I need it, need it to make me feel heated
Shake it, can't take it, must break it
Break if off yeah, what'd I say bitch?
Bitch, bitch
I want it, I need it, need it to make me feel heated
Shake it, can't take it, must break it
Break if off yeah, what'd I say bitch?
Bitch, bitch, bitch, bitch
I want it, I need it, need it to make me feel heated
Shake it, can't take it, must break it
Break if off yeah, what'd I say bitch?
Bitch

I want it, I need it, need it to make me feel heated
Shake it, can't take it, must break it
Break if off, yeah, what'd I say bitch?"
You Might Think He Loves You for Your Money but I Know What He Really Loves You for It’s Your Brand New Leopard Skin Pillbox Hat,Death Grips,Government Plates,"{'year': 2013, 'month': 11, 'day': 13}","Get so fuckin' dark in here
Comecome fuck apart in here
I die in the process
You die in the process
Kettle drum roll hard shit
Fuck I said fucker don't start shit

Comecome fuck apart in here, I
Comecome fuck apart in here, I

I hover above you
Life pulled out your mouth
I become you
Opening of the mouth
Unlawful possession
Jellyfish in cold sweat deep end
Hollow shell twitch disconnection
Pupils swell
My entrance
Hijacked no questions asked
Stretch you on like latex mask
My sigil's your epitaph

Comecome fuck apart in here, I
Comecome fuck apart in here, I
Die

I'm not you, I'm not you, I'm not you

Fear
You wear it well
Mademoiselle
Here's to your destiny
Hysterics scream help
Don't worry, in a few you'll all be somewhere else
Prepare yourselves
Freelance motherfucker

Get so fuckin' dark in here
Comecome fuck apart in here
I die in the process
You die in the process
Kettle drum roll hard shit
Fuck I said fucker don't start shit
Emerald tablet apartment toxic
Comecome fuck apart in here, I
Comecome fuck apart in here, I"
