,Artist,Album,Release Date,Lyrics
The Wire,Haim,Days Are Gone (Deluxe Edition),"{'year': 2012, 'month': 8, 'day': 9}","You know I'm bad at communication
It's the hardest thing for me to do
And it's said it's the most important part
That relationships go through
And I gave it all away, just so I could say that
Well, I know, I know, I know, I know
That you're gonna be okay anyway

You know there's no rhyme or reason
For the way you turned out to be
I didn't go and try to change my mind
Not intentionally
I know it's hard to hear me say it
But I can't bear to stay in
I just know, I know, I know, I know
That you're gonna be okay anyway

Always keep your heart locked tight
Don't let your mind retire
Oh, but I just couldn't take it
I tried hard not to fake it
But I fumbled it when it came down to the wire

It felt right Hey!)
It felt right, oh
But I fumbled it when it came down to the wire
It felt right Hey!)
It felt right, oh
But I fumbled it when it came down to the wire

No need to use your imagination
Try and make it what you want it to be
Because I'm sorry I did what I did, but
It came naturally
And I gave it all away just so I could say that
Well, I know, I know, I know, I know
That you're gonna be okay anyway

When I tried to keep myself together
After all the opportunities
I tried to stay true to you
And I tried to do what you wanted from me
And I gave it all away just to hear you say that
Well, I know, I know, I know, I know
That you're gonna be okay anyway Hey!)
Always keep your heart locked tight
Don't let your mind retire
Oh, but I just couldn't take it
I tried hard not to fake it
But I fumbled it when it came down to the wire

It felt right Hey!)
It felt right, oh
But I fumbled it when it came down to the wire
It felt right Hey!)
It felt right, oh
But I fumbled it when it came down to the wire

Always keep your heart locked tight
Don't let your mind retire
Always keep your heart locked tight
Don't let your mind retire, oh
But I just couldn't take it
I tried hard not to fake it
But I fumbled it when it came down to the wire
Ooh, yeah
But I just couldn't take it
I tried hard not to fake it
But I fumbled it when it came down to the wire
It felt right Hey!)
It felt right, oh
But I fumbled it when it came down to the wire
It felt right Hey!)
It felt right, oh
But I fumbled it when it came down to the wire
It felt right Hey!)
It felt right, oh
Oh, but I fumbled it when it
Came down to the wire, yeah, yeah, yeah
Hey!)
It felt right, oh
But I fumbled it when it came down to the wire
Oh, yeah, yeah, yeah, yeah

Oh, no, no, no, no
It felt right It felt right)
Oh, it felt right It felt right)
It felt right
Oh, no, no, no, no
But I fumbled it when it
Came down to the wire
Yeah"
Gasoline,Haim,Women in Music Pt. III,"{'year': 2020, 'month': 6, 'day': 26}","You took me back
But you shouldn't have
Now it's your fault if I mess around
I took a drag
But I shouldn't have
Now I'm coughing up like I
Never smoked a pack

Gasoline, pretty please
I want to get off
But you're such a tease
Throw the keys back to me
Go on and kick off your boots
In the passenger seat

I get sad, you know I get sad
And I can't look past what I'm sad about
You did me bad
And I did it back
You needed ass, well, what's
Wrong with that?

Gasoline, pretty please
I want to get off
But you're such a tease
Throw the keys back to me
Go on and kick off your boots
In the passenger seat

We're watching the sunrise from the kitchen counter
When you lie in between my legs, it doesn't matter
You say you wanna go slower but I wanna go faster
Faster and faster

Gasoline, pretty please
I want to get off
But you're such a tease"
Now I’m In It,Haim,Women in Music Pt. III,"{'year': 2019, 'month': 10, 'day': 30}","Looking in the mirror again and again
Wishing the reflection would tell me something
I, I can't get a hold of myself
I can't get outta this situation
Walking in a straight line, thinking about last time
This time, I said I would do this right
Said I would never break this promise
But now I'm back to counting on us

We cannot be friends
Cannot pretend
That it makes sense
We cannot be friends
Cannot pretend
That it makes sense

'Cause now I'm in it
But I've been trying to find my way back for a minute
Damn, I'm in it
And I've been trying to find my way back for a minute

Locking all the doors to my house, I'm alone in my head
But I wish you were in my bed
Can't get a read on myself
Gotta change this situation
Something in the way that I felt when I woke up
Told me that I shouldn't give in, give up hope
Told me that I shouldn't fight what I felt
Told me that I should not let go 'cause

We cannot be friends
Cannot pretend
That it makes sense

'Cause now I'm in it
But I've been trying to find my way back for a minute
Damn, I'm in it
And I've been trying to find my way back for a minute
'Cause now I'm in it
And I've been trying to find my way back for a minute
And the rain keeps coming down along the ceiling
And I can hear it
But I can't feel it, oh

Took me so long
To fall
Now I'm in it, now I'm in it

'Cause now I'm in it
And I've been trying to find my way back for a minute
And the rain keeps coming down along the ceiling
And I can hear it
But I can't feel it, oh"
Want You Back,Haim,Something to Tell You,"{'year': 2017, 'month': 5, 'day': 3}","Some things are long forgotten
Some things were never said
We were on one endless road
But I had a wandering heart
I said we were opposite lovers
Said it from the beginning
You kept tryin' to prove me wrong
Said you'd always see it through
And I know that I ran you down
So you ran away with your heart

But just know that I want you back
Just know that I want you back
Just know that I want you
I'll take the fall and the fault in us
I'll give you all the love I never gave before I left you
Just know that I want you back
Just know that I want you back
Just know that I want you
I'll take the fall and the fault in us
I'll give you all the love I never gave before I left you

I know it's hard to hear it
And it may never be enough
But don't take it out on me now
'Cause I blame it all on myself
And I had a fear of forgiveness
Said it from the beginning
I was too proud to say I was wrong
Said you'd always see it through
But all that time is gone, no more fearing control
I'm ready for the both of us now

So just know that I want you back
Just know that I want you back
Just know that I want you
I'll take the fall and the fault in us
I'll give you all the love I never gave before I left you
Just know that I want you back
Just know that I want you)
Just know that I want you back
Just know that I want you back, baby)
Just know that I want you
I'll take the fall and the fault in us
I'll give you all the love I never gave before I left you
Just know that I want you back, baby)

Just know that I want you back
Just know that I want you back
Just know that I want you
I'll take the fall and the fault in us
I'll give you all the love I never gave before I left you
Just know that I want you back
Just know that I want you back
Just know that I want you
I'll take the fall and the fault in us
I'll give you all the love I never gave before I left you
Just know that I want you back
Just know that I want you back
Just know that I want you
I'll take the fall and the fault in us
I'll give you all the love I never gave before I left you, baby
Just know that I want you back
Just know that I want you)
Just know that I want you back
Just know that I want you back, baby)
Just know that I want you
I'll take the fall and the fault in us
I'll give you all the love I never gave before I left you
Just know that I want you back, baby)

Just know that I want you)
Just know that I want you back, baby)
Take the fall and the fault in us
I'll give you all the love I never gave before I left you"
If I Could Change Your Mind,Haim,Days Are Gone (Deluxe Edition),"{'year': 2013, 'month': 9, 'day': 27}","No, please don't cry
I've never done this before
Drove a million miles
Back when you were mine
I was too young to know
You were the one to find

But if I was to say I regret it
Would it mean a thing?
'Cause every time I think I think) think about it
Memories take me back
To all of our wildest times
If I could change your mind
I would hit the ground running
It took time to realize
And I never saw it coming
Forgive my lying eyes
Gonna give you all or nothing
If I could change your mind
I could make you mine, make you mine

Now, I won't go
I won't run away this time
You're all I want to know

But if I was to say I'll forget it
Would it mean a thing?
'Cause every time I think I think) think about it
Memories take me back
To all of the wildest times

If I could change your mind
I would hit the ground running
It took time to realize
And I never saw it coming
Forgive my lying eyes
Gonna give you all or nothing
If I could change your mind
I could make you mine, make you mine

Visions of our love pass right by me
Your eyes are enough to remind me
Visions of our love pass right by me
Your eyes are enough to remind me
Visions of our love remind me

If I could change your mind
Never mind all the times that I told you)
I would hit the ground running
It took time to realize
Never mind all the times that I told you)
And I never saw it coming
Forgive my lying eyes
Never mind all the times that I told you)
Gonna give you all or nothing
If I could change your mind
I could make you mine, make you mine
Visions of our love remind me
If could change your mind)
Never mind all the times that I told you)
Visions of our love remind me
It took time to realize)
Never mind all the times that I told you)
Visions of our love remind me
Forgive my lying eyes)
Never mind all the times that I told you)
Visions of our love remind me
If I could change your mind)
I could make you mine, make you mine)"
The Steps,Haim,Women in Music Pt. III,"{'year': 2020, 'month': 3, 'day': 3}","So baby
When I'm near you
You can't feel me
I'm lightnin'
You used to come by
And sit down by my side
You would come in close
And take off all my clothes

Every time I think that I've been takin' the steps
You end up mad at me for makin' a mess
I can't understand
Why you don't understand me, baby
And every day I wake up and I make money for myself
And though we share a bed, you know that I don't need your help
Do you understand?
You don't understand me, baby

All the ivy
Is growing sideways
You won't stop it
'Til it covers all of our place

Every time I think that I've been takin' the steps
You end up mad at me for makin' a mess
I can't understand
Why you don't understand me, baby
And every day I wake up and I make money for myself
And though we share a bed, you know that I don't need your help
Do you understand?
You don't understand me, baby

If I go right and you go left
Hey, I know we'll meet up again
And if you go left and I go right
Hey, maybe that's just life sometimes

Every time I think that I've been takin' the steps
You end up mad at me for makin' a mess
I can't understand
Why you don't understand me, baby
And every day I wake up and I make money for myself
And though we share a bed, you know that I don't need your help
Do you understand?
You don't understand me, baby"
Falling,Haim,Days Are Gone (Deluxe Edition),"{'year': 2013, 'month': 9, 'day': 27}","I give a little into the moment
Like I'm standing at the edge, I know
That no one's gonna turn me around
Just one more step, I could let go
Oh, and in the middle
I hear the voices and they're calling for me now, I know
That nothing's gonna wake me now
'Cause I'm a slave to the sound

And they're calling
Don't stop, no, I'll never give up
And I'll never look back
Just hold your head up
And if it gets rough
It's time to get rough
They keep saying
Don't stop, no, it's never enough
I'll never look back, never give up
And if it gets rough
It's time to get rough

Oh, but now I'm falling
Falling Falling)
Falling
Falling
Falling Falling)
Falling
Falling
Falling Falling)
Falling
Falling, oh

Now I'm going down
And I can feel the eyes are watching
Oh so closely, oh
I'm trying not to make a sound
'Cause I'll be found out somehow

So keep calling
Don't stop, no, I'll never give up
And I'll never look back
Just hold your head up
And if it gets rough
It's time to get rough
They keep saying
Don't stop, no, it's never enough
I'll never look back, never give up
And if it gets rough
It's time to get rough
Oh, but now I'm falling)

Into the fire, feeling higher than the truth I'm falling)
I can feel the heat but I'm not burning But now I'm falling)
Feeling desire, feeling tired, hungry too I'm falling)
Feels like I'm falling away
I can hear them calling for me But now I'm falling)
Into the fire feeling higher than the truth I'm falling)
I can feel the heat but I'm not burning But now I'm falling)
Feeling desire, feeling tired, hungry too I'm falling)
Feels like I'm falling, yeah
I can hear them calling for me But now I'm falling)

Falling Falling)
Falling
Falling
Falling Falling)
Falling
Falling
Falling Falling)
Falling
Falling
Oh, but now I'm falling
Falling Falling)
Falling
Falling
Falling Falling)
Falling
Falling
Falling Falling)
Falling
Falling
Oh, but now I'm falling
Falling, falling, falling, falling, falling
But now I'm falling
Falling, falling, falling, falling, falling
Oh, but now I'm falling

Into the fire, feeling higher than the truth But now I'm falling)
I can feel the heat but I'm not burning, yeah I'm falling)
Feeling desire, feeling tired, hungry too But now I'm falling)
Feels like I'm falling away
I can hear them calling for me Falling)
Into the fire, feeling higher than the truth But now I'm falling)
I can feel the heat but I'm not burning, yeah I'm falling)
Feeling desire, feeling tired, hungry too But now I'm falling)
Feels like I'm falling away
I can hear them calling for me Now I'm falling)

Never look back, never give up
Never look back, never give up
Never look back, never give up
I'll never give up, I'll never give up But now I'm falling)
Never look back, never give up
Never look back, never give up I'm falling)
Never look back, never give up
I'll never give up, I'll never give up But now I'm falling)
Never look back, never give up
Never look back, never give up I'm falling)
Never look back, never give up
I'll never give up, I'll never give up But now I'm falling)
Never look back, never give up
Never look back, never give up Falling)
Never look back, never give up
I'll never give up, I'll never give up But now I'm falling)
Never look back, never give up
Never look back, never give up
Never look back, never give up
I'll never give up, I'll never give up
Never look back, never give up
Never look back, never give up
Never look back, never give up
I'll never give up, I'll never give up"
Forever,Haim,Days Are Gone (Deluxe Edition),"{'year': 2012, 'month': 10, 'day': 12}","Hey, you, oh, remember me? Remember love?
Remember trying to stay together?
My time, oh, you took it all, you tried to see
You tried to bring yourself up without involving me
It isn't fair to have your way
To try and get up and go, oh, nana, nanana, now
Can't you see? It isn't fair to have your way
But I'm trying to get your attention, I need you to know that

Hey, you, hey, you, can't you make this sane?
I know, I know, I know you ain't the one to play the game
Now, I know I, I'm never gonna go your way
If you go, oh, now, I know, I know, know, know

Forever we tried to make it right
But together, we saw the end in sight
I'm tired of fighting the good fight
If you say the word, then I'll say goodbye
Forever I see you and me
Forever I'll try for you and I
No, I never believed in their insight
Just another good reason to get it right

I don't wanna turn around, so come on, baby
Come on and try to let it out
Let go, we're still the same, so come on, baby, trigger the sound
Let's figure it out, let's get back to where we started out

Hey, you, hey, you, can't you make this sane?
I know, I know, I know you ain't the one to play the game
Now, I know I, I'm never gonna go your way
If you go, oh, now, I know, I know, know, know

Forever we tried to make it right
But together, we saw the end in sight
I'm tired of fighting the good fight
If you say the word, then I'll say goodbye
Forever I see you and me
Forever I'll try for you and I
No, I never believed in their insight
Just another good reason to get it right

Go, go, go, go, get out, get out of my memory
No, no, no, not tonight, I don't have the energy
Go, go, go, go, get out, get out of my memory
No, no, no, not tonight, oh, not tonight, oh, not tonight
Forever we tried to make it right
But together, we saw the end in sight
I'm tired of fighting the good fight
If you say the word, then I'll say goodbye
But forever I see you and me
Forever I'll try for you and I
No, I never believed in their insight
Just another good reason to get it right
Forever we tried to make it right
But together, we saw the end in sight
I'm tired of fighting the good fight
If you say the word, then I'll say goodbye
Forever I see you and me
Forever I'll try for you and I
No, I never believed in their insight
Just another good reason to get it right

Forever we tried, forever we tried Tried, tried, yeah)
Forever we tried, forever we tried Tried, tried, yeah)
Forever we tried, forever we, forever we tried Tried, tried)
Forever we tried, forever we tried Tried, tried)"
Hallelujah,Haim,Women in Music Pt. III,"{'year': 2019, 'month': 11, 'day': 18}","I met two angels, but they were in disguise
Took one look to realize
Tell 'em anything and they will sympathize
These arms hold me tight
Old fears, helped to ease them in my mind
New tears say that they will dry in time

Why me? How'd I get this hallelujah?
Hallelujah

Laughing together like our thoughts are harmonized
Been that way since '
Give me direction when it is hard to fight
Three roads, one light
Now and then I can lean my back to yours
Travelin' like our feet don't touch the floor

Why me? How'd I get this hallelujah?
Hallelujah, hallelujah
Why me? How'd I get this hallelujah?

I had a best friend but she has come to pass
One I wish I could see now
You always remind me that memories will last
These arms reach out
You were there to protect me like a shield
Long hair, running with me through the field
Everywhere, you've been with me all along

Why me? How'd I get this hallelujah? Hallelujah)
Why me? How'd I get this hallelujah?
Why me? How'd I get this hallelujah?
Hallelujah"
Summer Girl,Haim,Women in Music Pt. III,"{'year': 2019, 'month': 7, 'day': 31}","LA. on my mind, I can't breathe
You're there when I close my eyes, so hard to reach
Your smiles turn into cryin', it's the same release
And you always know, and you always know

I'm your summer girl
I'm your summer girl
I'm your summer girl
I'm your summer girl

Dodo, dodododo
Dodododo, dododododo
Dodo, dodododo
Dodododo, dododododo
Dodo, dodododo
Dodododo, dododododo
Dodo, dodododo
Dodododo, dododododo

Lightnin' in your eyes, you can't speak
You've fallen from the sky, down to me
I see it in your face, I'm relief
I'm your summer girl

I'm your summer girl
I'm your summer girl
I'm your summer girl
I'm your summer girl
I'm your summer girl
I'm your summer girl

Dodo, dodododo
Dodododo, dododododo
Dodo, dodododo
Dodododo, dododododo
Dodo, dodododo
Dodododo, dododododo
Dodo, dodododo
Dodododo, dododododo

Peer around the corner at you
From over my shoulder, I need you
I need you to understand
These are the earthquake drills that we ran
Under the freeway overpasses
The tears behind your dark sunglasses
The fears inside your heart's deepest gashes
Walk beside me
Not behind me
Feel my unconditional love
Dodo, dodododo And I can see the angels coming down)
Dodododo, dododododo
Dodo, dodododo Like a wave that's crashing on the ground)
Dodododo, dododododo
Dodo, dodododo And I can see the angels coming down)
Dodododo, dododododo
Dodo, dodododo Like a wave that's crashing on the ground)
Dodododo, dododododo

And I can see the angels coming down
Like a wave that's crashing on the ground"
