,Artist,Album,Release Date,Lyrics
Evil,Interpol,Antics,"{'year': 2005, 'month': 1, 'day': 3}","Rosemary
Heaven restores you in life
You're coming with me
Through the aging, the fearing, the strife
It's the smiling on the package
It's the faces in the sand
It's the thought that moves you upwards
Embracing me with two hands
Right will take you places
Yeah, maybe to the beach
When your friends, they do come crying
Tell them now your pleasure's set upon slow release

Hey, wait
Great smile
Sensitive to fate, not
Denial
But hey, who's on trial?

It took a life span with no cell mate
The long way back
Sandy, why can't we look the other way?
 
He speaks about travel
Yeah, we think about the land
We smart like all peoples
Feeling real tan
I could take you places
Do you need a new man?
Wipe the pollen from the faces
Make revision to a dream while you wait in the van

Hey, wait
Great smile
Sensitive to fate, not
Denial
But hey, who's on trial?

It took a life span with no cell mate
By the long way back
Sandy, why can't we look the other way?
You're weightless, you are exotic
You need something for which to care
Sandy, why can't we look the other way?

Leave some shards under the belly
Lay some grease inside my hand
It's a sentimental jury
And the makings of a good plan
You've come to love me lightly
Yeah, you come to hold me tight
Is this motion everlasting
Or do shudders pass in the night?
Rosemary
Oh, heaven restores you in life
I spent a life span with no cell mate
The long way back
Sandy, why can't we look the other way?
You're weightless, semierotic
You need someone to take you there
Sandy, why can't we look the other way?
Why can't we just play the other game?
Why can't we just look the other way?"
Obstacle 1,Interpol,Turn on the Bright Lights,"{'year': 2002, 'month': 11, 'day': 10}","I wish I could eat the salt off of your lost faded lips
We can cap the old times, make playing only logical harm
We can cap the old lines, make playing that nothing else will change

But she can read, she can read, she can read, she can read
She's bad
She can read, she can read, she can read, she's bad
Oh, she's bad

But it's different now that I'm poor and aging
I'll never see this face again
You go stabbing yourself in the neck

And we can find new ways of living
Make playing only logical harm
And we can top the old times
Claimmaking that nothing else will change

But she can read, she can read, she can read, she can read
She's bad
She can read, she can read, she can read, she's bad
Oh, she's bad
 
It's different now that I'm poor and aging
I'll never see this place again
You go stabbing yourself in the neck
But it's different now that I'm poor and aging
I'll never see this place again
And you go stabbing yourself in the neck

It's in the way that she posed
It's in the things that she puts in my head
Her stories are boring and stuff
She's always calling my bluff
She puts the, she puts the weights into my little heart
And she gets in my room and she takes it apart
She puts the weights into my little heart
I said she puts the weights into my little heart
She packs it away
She packs it away
She packs it away
She packs it away
She packs it away
She packs it away
She packs it away
She packs it away
It's in the way that she walks
Her heaven is never enough
She puts the weights in my heart
She puts, oh, she puts the weights into my little heart"
PDA,Interpol,Turn on the Bright Lights,"{'year': 2002, 'month': 8, 'day': 19}","Yours is the only version of my desertion
That I could ever subscribe to
That is all that I can do
You are a past dinner, the last winner
I'm raping all around me
Until the last drop is behind you, oh

And you're so cute when you're frustrated, dear
Yeah, you're so cute when you're sedated, dear
Oh, yes, dear

Sleep tight, grim rite
We have two hundred couches where you can
Sleep tight, grim rite
We have two hundred couches where you can
Sleep tight, grim rite
We have two hundred couches where you can
Sleep tonight Simpleton)
Sleep tonight Yeah, simpleton)
Sleep tonight You cannot follow)
Sleep tonight Through the words alone)

You are the only person who's completely certain
There's nothing here to be into
That is all that you can do
You are a past sinner, the last winner
And everything we've come to
It makes you you, you
 
But you cannot safely say that while I will be away
That you will not consider, sadly
How you helped me to stray
And you will not reach me, I am
Resenting a position that's past resentment
And now I can't consider
And now there is this distance, so

Sleep tight, grim rite
We have two hundred couches where you can
Sleep tight, grim rite
We have two hundred couches where you can
Sleep tight, grim rite
We have two hundred couches where you can
Sleep tonight Simpleton)
Sleep tonight Yeah, simpleton)
Sleep tonight You cannot follow)
Sleep tonight Through the words alone)

Something to say
Something to do
Nothing to say
When there's nothing to do, oh
Oh"
Stella Was a Diver and She Was Always Down,Interpol,Turn on the Bright Lights,"{'year': 2002, 'month': 8, 'day': 20}","This one's called Stella Was a Diver and She's Always Down""

When she walks down the street
She knows there's people watching
The building fronts are just fronts
To hide the people watching her

But she once fell through the street
Down a manhole in that bad way
The underground drip
Was just like her scuba days

Days
Daze
Days
Daze

She was all right 'cause the sea was so airtight, she broke away
She was all right 'cause the sea was so airtight, she broke away
She was all right but she can't come out tonight, she broke away
She was all right 'cause the sea was so tight, airtight
She broke away, broke away
She broke away, broke away
She broke away, broke away
She broke away
 
She lies in no place
She lies in nowhere
She lies in no place
She hides in nowhere
She hides in nowhere

At the bottom of the ocean she dwells
At the bottom of the ocean she dwells
From crevices caressed by fingers
And fat blue serpent swells

Stella, Stella, oh Stella
Stella I love you, Stella I love you, Stella I love you

She was all right 'cause the sea was so airtight, she broke away
She was all right 'cause the sea was so airtight, she broke away
She was all right but she can't come out tonight, she broke away
She was all right, yeah, the sea was so tight, airtight
She broke away, broke away
She broke away, broke away
She broke away, broke away
She broke away
Well, she was my catatonic sex toy, lovejoy diver
Well, she was my catatonic sex toy, lovejoy diver
She went down, down, down there into the sea
Yeah, she went down, down, down there
Down there for me, right on
Oh yeah, right on
So good, oh yeah, right on
So good, oh yeah

There's something that's invisible
There's some things you can't hide
Trying to detect you when I'm sleeping
In a wave you say goodbye
There's something that's invisible
There's some things you can't hide
Trying to detect you when I'm sleeping
In a wave you say goodbye"
NYC,Interpol,Turn on the Bright Lights,"{'year': 2003, 'month': 4, 'day': 14}","I had seven faces
Thought I knew which one to wear
But I'm sick of spending these lonely nights
Training myself not to care
The subway is a porno
Pavements, they are a mess
I know you've supported me for a long time
Somehow, I'm not impressed

But New York cares Got to be some more change in my life)
New York cares Got to be some more change in my life)
New York cares Got to be some more change in my life)
New York cares Got to be some more change in my life)

Subway, she is a porno
And the pavements, they are a mess
I know you've supported me for a long time
Somehow, I'm not impressed


It's up to me now, turn on the bright lights
Oh, it's up to me now, turn on the bright lights
 
New York cares Got to be some more change in my life)
New York cares Got to be some more change in my life)
New York cares Got to be some more change in my life)
New York cares Got to be some more change in my life)

It's up to me now, turn on the bright lights got to be some more change in my life)
Got to be some more change in my life)
Oh, it's up to me now, turn on the bright lights got to be some more change in my life)
Got to be some more change in my life)"
Leif Erikson,Interpol,Turn on the Bright Lights,"{'year': 2002, 'month': 8, 'day': 20}","She says it helps with the lights out
Her rabid glow is like braille to the night
She swears I'm a slave to the details
But if your life is such a big joke, why should I care?

The clock is set for nine but you know you're gonna make it eight
So that you two can take some time, teach each other to reciprocate

She feels that my sentimental side should be held with kids' gloves
But she doesn't know that I left my urge in the icebox
She swears I'm just prey for the female
Well then hook me up and throw me, baby cakes, 'cause I like to get hooked

The clock is set for nine but you know you're gonna make it eight
All the people that you've loved, they're all bound to leave some keepsakes
I've been swinging all the time, think it's time I learned your way
I picture you and me together in the jungle, it would be okay

I'll bring you when my lifeboat sails through the night
That is supposing that you don't sleep tonight
It's like learning a new language
Helps me catch up on my mime
If you don't bring up those lonely parts
This could be a good time
It's like learning a new language
You come here to me
We'll collect those lonely parts and set them down
You come here to me
 
She says brief things, her love's a pony
My love's subliminal
She says brief things, her love's a pony
My love's subliminal"
Say Hello to the Angels,Interpol,Turn on the Bright Lights,"{'year': 2003, 'month': 4, 'day': 13}","I want your silent parts, the parts the birds love
I know there's such a place
I had my back turned, you didn't realize
I'm lonely
You lack the things to which I relate
But I see no harm
Come wait, come wait, come wait
It's over
Yeah, one, two, three, do me

When I'm feeling lazy, it's probably because
I'm saving all my energy to pick up when you move into
My airspace
Move into my airspace
And something's coming over me, I see you in the doorway
I can't control the part of me that swells up when you move into
My airspace
Move into my airspace

But each night, I bury my love around you
Oh, each night, I bury my love around you
You're linked to my innocence
 
This is a concept, this is a bracelet
This isn't no intervention
This is a concept, this is a bracelet
This isn't no intervention

This isn't you yet
What you thought was such a conquest
Your hair is so pretty and red
Baby, baby, you're really the best

Can I get there this way? Yeah, I think so
Can I get there this way? I think so
Can I get there this way? Can I get there this way?
Can I get there this way? Can I get there this way?

We should take a trip now to see new places
I'm sick of this town, I see my face has changed
Each night, I bury my love around you)
We should take a trip now to see new places
I'm sick of this town, I see my face has changed

Say hello, say hello to the angels
Say hello, say hello
To the angels"
Rest My Chemistry,Interpol,Our Love to Admire,"{'year': 2007, 'month': 4, 'day': 25}","I haven't slept for two days
I've bathed in nothing but sweat
And I've made hallways scenes for things to regret
My friends they come
And the lines they go by

Tonight I'm gonna rest my chemistry
Tonight I'm gonna rest my chemistry

I live my life filled with no pain
Just some rage and three kinds of yes
And I've made stairways such scenes for things that I regret
Oh, those days in the sun
They bring a tear to my eye

Tonight I'm gonna rest my chemistry
Tonight I'm gonna rest my chemistry

But you're so young
You're so young
You look in my eyes
You're so young, so sweet, so surprised
 
I saw a sign it says OK""
Gotta take a ride, just recline in the faraway
Gotta take some time to realize
That my friends they come
And the lines they go by

Tonight I'm gonna rest my chemistry
Tonight I'm gonna rest my chemistry

But you're so young
You're so young
You look in my eyes
So young, so sweet, so surprised
You look so young like a daisy in my lazy eye

Tonight I'm gonna rest my chemistry
Tonight I'm gonna rest my chemistry
Tonight I'm gonna rest my chemistry
Tonight I'm gonna rest my chemistry"
All the Rage Back Home,Interpol,El Pintor,"{'year': 2014, 'month': 8, 'day': 12}","When she went, hey love come over""
My head abounds
Oh, the feeling
And she wept hold me again"", I made no sound
Oh, the beating
And she swore love is never done
So easily
And we went over again, my head abounds
Oh, the feeling

She said you don't need time
Be tame, you won't meet your mate inside
My faith won't lie
He said you don't need mine
Behave, you wanna leave my lady lovers
Of my eighteen summers alone
She said, you don't read minds
Be patient, you won't leave me shaking
Leave me shaking

I keep falling, maybe half the time, maybe half the time
I keep falling, maybe half the time, maybe half the time
But it's all the rage back home
It's all the rage back home
 
When she said, love, come over""
My head abounds
Oh, what feeling

She said, you oughtta refine""
Be paid, you're gonna see my face in lights
My faith won't lie
But my sweet, you don't need time
Come away and just say you'll love me
Just say you'll love me alone
She said you don't read minds
Be patient, you won't see me shaking
You have been mistaken

I keep falling, maybe half the time, maybe half the time
I keep falling, maybe half the time, maybe half the time
But it's all the rage back home
It's all the rage back home

All the rage back home
All the rage back home
All the rage
I keep falling, maybe half the time, maybe half the time
It's all the rage back home
I keep falling, maybe half the time, maybe half the time it's all the rage back home)
It's all the rage back home
I keep falling, maybe half the time, maybe half the time it's all the rage back home)
It's all the rage back home
All the rage back home
All the rage back home"
The New,Interpol,Turn on the Bright Lights,"{'year': 2002, 'month': 8, 'day': 20}","I wish I could live free
I hope it's not beyond me
Settling down it takes time
One day we'll live together
And life will be better
I have it here, yeah, in my mind
Baby, you know someday you'll slow
And baby, my heart's been breaking

I gave a lot to you
I take a lot from you too
You slave a lot from me
Guess you could say I gave you my edge

But I can't pretend I need to defend
Some part of me from you
I know I've spent some time alying
I can't pretend I don't need to defend
Some part of me from you
I know I've spent some time alying
How am I doing?)
 

You're looking alright tonight
I think we should go
You're looking alright tonight
I think we should go
"
