,Artist,Album,Release Date,Lyrics
Better Together,Jack Johnson,In Between Dreams,"{'year': 2005, 'month': 3, 'day': 1}","There's no combination of words I could put on the back of a postcard
No song that I could sing but I can try for your heart
Our dreams and they are made out of real things
Like a shoebox of photographs with sepiatoned loving
Love is the answer, at least for most of the questions in my heart
Like why are we here and where do we go, and how come it's so hard?
It's not always easy and sometimes life can be deceiving
I'll tell you one thing, it's always better when we're together

Mmm, it's always better when we're together
Yeah, we'll look at them stars and we're together
Well, it's always better when we're together
Yeah, it's always better when we're together

And all of these moments just might find their way into my dreams tonight
But I know that they'll be gone when the morning light sings
Or brings new things, for tomorrow night, you see
That they'll be gone too, too many things I have to do
But if all of these dreams might find their way into my day to day scene
I'd be under the impression I was somewhere in between
With only two, just me and you, not so many things we got to do
Or places we got to be, we'll sit beneath the mango tree now

Yeah, it's always better when we're together
Mmm, we're somewhere in between together
Well, it's always better when we're together
Yeah, it's always better when we're together

Mmmmmmmm, mmmmmm
Mmmmmmmm, mmmmmm

I believe in memories
They look so, so pretty when I sleep
And I when, and when I wake up
You look so pretty, sleeping next to me
But there is not enough time
And there is no, no song I could sing
And there is no combination of words I could say
But I will still tell you one thing
We're better together"
Banana Pancakes,Jack Johnson,In Between Dreams,"{'year': 2005, 'month': 3, 'day': 1}","Well, can't you see that it's just raining?
There ain't no need to go outside

But baby you hardly even notice
When I try to show you this
Song, it's meant to keep you
From doing what you're supposed to
Like waking up too early
Maybe we could sleep in
Make you banana pancakes
Pretend like it's the weekend now

And we could pretend it all the time
Can't you see that it's just raining?
There ain't no need to go outside

But just maybe
Hala ka ukulele
Mama made a baby
Really don't mind the practice
'Cause you're my little lady
Lady, lady, love me
'Cause I love to lay here lazy
We could close the curtains
Pretend like there's no world outside

And we could pretend it all the time
And can't you see that it's just raining?
There ain't no need to go outside

Ain't no need, ain't no need
Mmmmmmmmmmmm
Can't you see? Can't you see?
Rain all day and I don't mind

But the telephone singing, ringing, it's too early, don't pick it up
We don't need to
We got everything we need right here and everything we need is enough
Just so easy when
The whole world fits inside of your arms
Do we really need to pay attention to the alarm?
Wake up slow, mmmmmm, wake up slow

But baby
You hardly even notice
When I try to show you this
Song, it's meant to keep you
From doing what you're supposed to
Like waking up too early
Maybe we could sleep in
Make you banana pancakes
Pretend like it's the weekend now
And we could pretend it all the time
Can't you see that it's just raining?
There ain't no need to go outside

Ain't no need, ain't no need
Rain all day and I really, really, really don't mind
Can't you see? Can't you see?
We've got to wake up slow"
Upside Down,Jack Johnson,Sing-A-Longs and Lullabies for the Film Curious George,"{'year': 2006, 'month': 2, 'day': 24}","Who's to say
What's impossible? Well, they forgot
This world keeps spinning, and with each new day
I can feel a change in everything
And as the surface breaks, reflections fade
But in some ways, they remain the same
And as my mind begins to spread its wings
There's no stopping curiosity

I wanna turn the whole thing upside down
I'll find the things they say just can't be found
I'll share this love I find with everyone
We'll sing and dance to Mother Nature's songs
I don't want this feeling to go away

Who's to say
I can't do everything? Well, I can try
And as I roll along I begin to find
Things aren't always just what they seem

I wanna turn the whole thing upside down
I'll find the things they say just can't be found
I'll share this love I find with everyone
We'll sing and dance to Mother Nature's songs
This world keeps spinning

And there's no time to waste
Well, it all keeps spinning, spinning 'round and 'round
And upside down
Who's to say what's impossible and can't be found?
I don't want this feeling to go away

Please don't go away
Please don't go away
Please don't go away
Is this how it's supposed to be?
Is this how it's supposed to be?"
"Sitting, Waiting, Wishing",Jack Johnson,In Between Dreams,"{'year': 2005, 'month': 3, 'day': 25}","Well I was sitting, waiting, wishing
You believed in superstitions
Then maybe you'd see the signs
But Lord knows that this world is cruel
And I ain't the Lord, no I'm just a fool
Learning loving somebody don't make them love you

Must I always be waiting, waiting on you?
Must I always be playing, playing your fool?

I sang your songs, I danced your dance
I gave your friends all a chance
But putting up with them wasn't worth never having you
Ah, maybe you've been through this before
But it's my first time so please ignore
The next few lines 'cause they're directed at you

I can't always be waiting, waiting on you
I can't always be playing, playing your fool

I keep playing your part
But it's not my scene
Want this plot to twist
I've had enough mystery
Keep building it up
But then you're shooting me down
But I'm already down

Just wait a minute
Just sitting, waiting
Just wait a minute
Just sitting, waiting

Well if I was in your position
I'd put down all my ammunition
I'd wonder why'd it taken me so long
But lord knows that I'm not you
And if I was I wouldn't be so cruel
'Cause waiting on love ain't so easy to do

Must I always be waiting, waiting on you?
Must I always be playing, playing your fool?

No I can't always be waiting, waiting on you
I can't always be playing, playing your fool

Fool, hm hm"
Home,Jack Johnson,From Here to Now to You,"{'year': 2013, 'month': 9, 'day': 17}","I've got to get home there's a garden to tend
There's food on the ground and the birds have all moved back
Into my attic, whistling static when the young learn to fly
I will patch all the holes up again

Well, I can't believe that my lime tree is dead
I thought it was sleeping, I guess it got fed up with not being fed
And I would be too, I keep food in my belly
And hope that my time isn't soon, isn't soon

And so I tried to understand what I can't hold in my hand
And whatever I find, I'll find my way back to you
And if you could try to find it too
'Cause this place is overgrown, it's a waxing moon
Home is wherever we are, if there's love here too

In the back of our house there's a trail that won't end
We went walking so far, it grew back in
And there's no trail at all only grass growing taller
Get out my machete and battle with time once again
But I'm bound to lose 'cause I'll be down if time don't win

I've got to get home, there's a garden to tend
All the seeds from the fruits buried and began their
Own family trees, teach them, thank you and please
They spread their own roots, then watch their young fruit grow again
And this old trail will lead me right back to where it begins

And so I tried to understand what I can't hold in my hand
And whatever I find, I'll find my way back to you
And if you could try to find it too
'Cause this place is overgrown, it's a waxing moon
Home is wherever we are, if there's love here too
I said, home is wherever we are, if there's love here too
Well, home is wherever we are, if there's love here too"
Breakdown,Jack Johnson,In Between Dreams,"{'year': 2005, 'month': 3, 'day': 1}","I hope this old train breaks down
Then I could take a walk around
See what there is to see
Time is just a melody

With all the people in the street walking as fast as their feet can take 'em
I just roll through town
And though my window's got a view, well, the frame I'm looking through
Seems to have no concern for now, so for now I

I need this old train to break down
Oh, please, just let me please breakdown

Well, this engine screams out loud
Centipede gonna crawl westbound
So I don't even make a sound
Because it's gonna sting me when I leave this town

And all the people in the street that I'll never get to meet
If these tracks don't bend somehow
And I got no time that I got to get
To where I don't need to be, so I

I need this old train to break down
Oh, please, just let me please breakdown
I need this old train to break down
Oh, please, just let me please breakdown

I wanna break on down
But I can't stop now
Let me break on down

But you can't stop nothing if you got no control
Of the thoughts in your mind that you kept and you know
You don't know nothing, but you don't need to know
The wisdom's in the trees, not the glass windows
You can't stop wishing if you don't let go
The things that you find and you lose and you know
You keep on rolling, put the moment on hold
The frame's too bright, so put the blinds down low, and

I need this old train to break down
Oh, please, just let me please breakdown
I need this old train to break down
Oh, please, just let me please breakdown
I wanna break on down
But I can't stop now"
Do You Remember,Jack Johnson,In Between Dreams,"{'year': 2005, 'month': 3, 'day': 1}","Do you remember when we first met? I sure do
It was sometime in early September
Though you were lazy about it, you made me wait around
I was so crazy about you I didn't mind

So I was late for class, I locked my bike to yours
It wasn't hard to find, you painted flowers on it
I guess that I was afraid that if you rolled away
You might not roll back my direction real soon

Well I was crazy about you then and now the craziest thing of all
Is over ten years have gone by
And you're still mine, we're locked in time
Let's rewind

Do you remember when we first moved in together?
The piano took up the living room
You played me boogiewoogie, I played you love songs
You'd say we're playing house, now you still say we are

We built our getaway up in a tree we found
We felt so far away, but we were still in town
Now I remember watching that old tree burn down
I took a picture that I don't like to look at

Well, all these times, they come and go and alone don't seem so long
Over ten years have gone by
We can't rewind, we're locked in time
But you're still mine

Do you remember?"
Sunsets for Somebody Else,Jack Johnson,All the Light Above It Too,"{'year': 2017, 'month': 8, 'day': 3}","I know I've seen your face somewhere
Selling something, some big idea
I know I've seen that vacant stare
Selling sunsets for somebody else
You find yourself asking yourself
What is any of it worth?""
You find yourself looking up at night
From the bottom of the earth

And oh, can this world not afford to sleep anymore?
And oh, did your sheep start jumping?
They grow out their teeth, did they need a little something more
Than this?

The taste of trouble on your lips
'Cause now they're biting at your thoughts
You tell yourself just to turn away
But you know you've already lost
The smell of rain when its on the wind
Will never be paid in full
You try in vain to account for this mess
And everything that you stole

Ooo
And oh, can this world not afford to sleep anymore? Ooo)
And oh, did your sheep start jumping? Ooo)
They grow out their teeth, did they need a little something more
Than this?

'Cause now they're biting at your feet
They got you running from this place
Now they're breathing down your neck
Your eyes look lonely in your face
I see you looking just out of frame
What is it pulling you there?
'Cause things can never stay the same
So what is keeping you here?

Ooo
And oh, can this world not afford to sleep anymore? Ooo)
And oh, did your sheep start jumping? Ooo)
They grow out their teeth, they need a little something now

Every time you think, well, theyd be biting at your thoughts
And every time you blink, well, you'll be so damn far
But you want more
Than this
I know I've seen your face somewhere"
Bubble Toes,Jack Johnson,Brushfire Fairytales,"{'year': 2001, 'month': 1, 'day': 23}","It's as simple as something that nobody knows
That her eyes are as big as her bubbly toes
On the feet of the queen of the hearts of the cards
And her feet are all covered with tar balls and scars
It's as common as something that nobody knows
That her beauty will follow wherever she goes
Up the hill in the back of her house in the woods
Would she love me forever, I know she could

I remember when you and me, mmm, how we used to be
Just good friends, wouldn't give me none
But all I wanted was some

She's got a whole lot of reasons
She can't think of a single one
That can justify leaving
And he got none but he thinks he got so many problems
Man he got too much time to waste
His dreams are like commercials
But her dreams are picture perfect and
Our dreams are so related though they're often underestimated

It's as simple as something that nobody knows
That her eyes are as big as her bubbly toes
On the feet of the queen of the hearts of the cards
And her feet are all covered with tar balls and

La da da da da da
La da da da da da
La da da da da da
La da da da da da

Well I was eating lunch at the DLG
When this little girl came and she sat next to me
I've never seen nobody move the way she did
Well she did and she does and she'll do it again
When you move like a jellyfish rhythm doesn't mean nothing
You go with the flow, you don't stop
Move like a jellyfish, rhythm is nothing
You go with the flow, you don't stop

It's as common as something that nobody knows
That her beauty will follow wherever she goes
Up the hill in the back of her house in the woods
Would she love me forever, I know

She la da da da da da
La da da da da da
La da da da da da
La da da da da da
If you would only listen
You might just realize what you're missing
You're missing me
If you would only listen
You might just realize what you're missing
You're missing me

It's as simple as something that nobody knows
That her eyes are as big as her bubbly toes
On the feet of the queen of the hearts of the cards
And her feet are all covered with tar balls and

La da da da da da
La da da da da da
La da da da da da
La da da da da da
La da da da da da
La da da da da da
La da da da da da
La da da da da da"
Angel,Jack Johnson,Sleep Through the Static,"{'year': 2008, 'month': 2, 'day': 5}","I've got an angel
She doesn't wear any wings
She wears a heart that can melt my own
She wears a smile that can make me want to sing
She gives me presents
With her presence alone
She gives me everything I could wish for
She gives me kisses on the lips just for coming home
She could make angels
I've seen it with my own eyes
You've got to be careful when you've got good love
Because the angels will just keep on multiplying
But you're so busy changing the world
Just one smile can change all of mine

We share the same soul
Oh oh oh oh oh ohh!
We share the same soul
Oh oh oh oh oh ohh!
We share the same soul
Oh oh oh oh oh ohh!
Oh oh oh oh oh ohh!
Mmmmm.."
My Mind Is for Sale,Jack Johnson,All the Light Above It Too,"{'year': 2017, 'month': 7, 'day': 14}","Well, I heard the blinker's on, I heard we're changing lanes
I heard he likes to race
I heard that six or seven words he likes to use
Are always in bad taste
And I heard that Monday's just a word we say
Every seven times around
And then we pin the tail on Tuesday
And watch those strings go up and down
The elephant in the room begins to dance, the cameras zoom into
His mouth begins to move
Those hateful words he uses

I don't care for your paranoid
Us against them walls
I don't care for your careless
Me first gimme gimme appetite at all

And all the real estate in my mind
Is for sale, it's all been subdivided
Divided into reasons why
My two opposing thoughts at once are fine
The residue from the price tag on the tip of my tongue
The words don't come, they go
How many likes I gotta get
Before I know the truth and the truth is
Season three will be a great reason
To forget all about
Reality's a slippery slope
Watch the TV scream and shout it

I don't care for your paranoid
Us against them fearful kind of walls
I don't care for your careless
Me first gimme gimme appetite at all


Now I heard the blinker's on, I heard we're changing lanes
I heard we need more space
I heard that six or seven words
Are in bad taste
It's absurd to believe that we might
Deserve anything, as if it's
Balanced in the end
And the good guys always win

I don't care for your paranoid
Us against them fearful kind of walls
I don't care for your careless
Me first gimme gimme appetite
With the residue from the price tag
On those two opposing thoughts in my mind
Us against them fearful kind of walls"
Good People,Jack Johnson,In Between Dreams,"{'year': 2005, 'month': 3, 'day': 1}","Oh you win, it's your show now
So what's it going to be?
'Cause people will tune in
How many train wrecks do we need to see
Before we lose touch, oh
And we thought this was low
Well it's bad, getting worse so...

Where'd all the good people go?
I've been changing channels
I don't see them on the TV shows
Where'd all the good people go?
We got heaps and heaps of what we sow

They got this and that with a rattle a tat
Testing, one, two, man whatcha gonna do
Bad news misused, got too much to lose
Give me some truth now, whose side are we on
Whatever you say
Turn on the boobtube, I'm in the mood to obey
So lead me astray
And by the way now...

Where'd all the good people go?
I've been changing channels
I don't see them on the TV shows
Where'd all the good people go?
We got heaps and heaps of what we sow

Sitting around feeling far away
So far away but I can feel the debris
Can you feel it?
You interrupt me from a friendly conversation
To tell me how great it's all going to be
You might notice some hesitation
Because it's important to you, it's not important to me
But way down by the edge of your whole reason
Well, it's beginning the show
And all I really want to know is...

Where'd all the good people go?
I've been changing channels
I don't see them on the TV shows
Where'd all the good people go?
We got heaps and heaps of what we sow
Where'd all the good people go?)
They got this and that with a rattle a tat
Testing, one, two, man whatcha gonna do
Bad news misused give me some truth
You got too much to lose
Now whose side are we on today, anyway
Where'd all the good people go?)
Okay, whatever you say
Wrong and resolute but in the mood to obey
Station to station desensitizing the nation
Where'd all the good people go?)
Going, going, gone"
