,Artist,Album,Release Date,Lyrics
Good Kisser,Lake Street Dive,Free Yourself Up,"{'year': 2018, 'month': 2, 'day': 27}","If you're gonna tell them everything
Tell 'em I'm a good kisser
Tell 'em all the things you told me
In your desperate whisper
If you're gonna tell them everything
Don't leave out the good part
Tell 'em the way that you broke my heart
When you told me that you missed her

Tell 'em I'm a good kisser
Tell 'em I'm a good kisser

You know I'm not proud of the thing that we did
Didn't walk out, just the way that you wanted it
After it all, I stood up tall
I kept my mouth shut so you wouldn't fall
Now everybody's talking 'bout me
'Cause you would dirty me up just to get yourself clean
Get yourself clean

If you're gonna tell them everything
Tell 'em I'm a good kisser
Tell 'em all the things you told me
In your desperate whisper
If you're gonna tell them everything
Don't leave out the good part
Tell 'em the way that you broke my heart
When you told me that you missed her

Tell 'em I'm a good kisser Ooh)
Tell 'em I'm a good kisser Ooh)
Tell 'em I'm a good kisser, yeah Ooh)
Tell 'em I'm a good A good)
A good A good)
Tell 'em I'm a good kisser

Should I have been wasting my time on you at all?
Nah, nah, nah)
Should I have seen the bright red writing on the wall?
Well, I've still got time
You've got your story, and you know I've got mine

Tell 'em I'm a good kisser Ooh)
Now everybody's talking 'bout me)
Tell 'em I'm a good kisser Ooh)
('Cause you would dirty me up just to get yourself clean)
Tell 'em I'm a good kisser Ooh)
Now everybody's talking 'bout me)
Tell 'em I'm a good kisser Ooh)
('Cause you would dirty me up just to get yourself clean)
Tell 'em I'm a good A good)
A good A good)
Tell 'em I'm a good kisser
Tell 'em I'm a good A good)
Tell 'em I'm a good A good)
Tell 'em I'm a good kisser"
Hypotheticals,Lake Street Dive,Obviously,"{'year': 2021, 'month': 2, 'day': 11}","Obviously, we're at the beginning of something
I don't expect you to know where it's gonna go
But I believe we might be onto something
And I just thought maybe you should know

I've been playing out a lot of hypotheticals in my mind
I've been writing your name down next to mine
Been imagining all the things you and I could do
I've seen all the possibilities in my dreams
You're alone when you should really be next to me
Baby, let's not wait and see

Immediate action is unnecessary
It's a fatal attraction, it's a little scary
But I got a plan of attack
And I'll get us therе someday soon, I know it
I got a plan A and I got a plan B
And if it's absolutely necеssary, we'll go to plan C
Whatever I gotta do to be with you

I've been playing out a lot of hypotheticals in my mind
I've been writing your name down next to mine
Been imagining all the things you and I could do
I've seen all the possibilities in my dreams
You're alone when you should really be next to me
Baby, let's not wait and see

Nobody can see into the future
Even the weatherman gets caught in the rain sometimes
But I see something in you that I've never seen before
And I can't be sure, no, maybe not
But I think it's worth a shot


Hypothetically, yes
Theoretically, forever
We'll see what happens
But I hope we will never be apart
Hypothetically, yes
Theoretically, forever
We'll see what happens
But I hope we will never be apart
Oh, hypothetically, yes
Theoretically, forever
We'll see what happens
But I hope we will never be apart
Oh, hypothetically, yes
Theoretically, forever
We'll see what happens
But I hope we will never be apart
I've been playing out a lot of hypotheticals in my mind
Playing out a lot of hypotheticals)
I've been writing your name down next to mine
I've been writing your name down next to mine)
Been imagining all the things you and I could do
Oh, oh)
I've seen all the possibilities in my dreams
All the possibilities)
You're alone when you should really be next to me
Oh, yeah)
Baby, let's not wait and see"
Better Than,Lake Street Dive,Bad Self Portraits,"{'year': 2014, 'month': 2, 'day': 18}","I could spend ages reading the news
I could spend days singing the blues

But I turn up the TV light
Give up without a fight

Better than pretending
To know what's wrong and what's right

I could spend ages asking myself why
There's a million ways that I could say goodbye

But I turn down the lights
Come on, baby, come inside

Better than being
Some fool's bride
Better than pretending
To know what's wrong and what's right


Turn down the lights
Come on, baby, come inside

Better than pretending
To know what's wrong and what's right
Better than being
Some fool's bride
Well, it's better than pretending
To know what's wrong and what's right

Oh, what's wrong and what's right
Doo, doo, oh..."
I Can Change,Lake Street Dive,Free Yourself Up,"{'year': 2018, 'month': 4, 'day': 3}","Hate casts a long shadow
I know that I lie in it
And let it rule my mind from time to time
Escapin' an old battle
That clings on like a vine to me
Whispers dirty lies in my ear

I know we didn't start this fight
And I won't let it rule my heart tonight

I can change
I can change
I can still change
I can still change

Tracin' an old pattern
Drawing the lines from where I am and from where I wanna be
Forget that old adage
That history continues to keep us from a world we wanna see

I am scared that I won't get it right
But fear won't rule my heart tonight

I can change
I can change
I can still change
I can still change

I can change
I can change
I can still change
I can still change

I can change
I can change
I can still change
I can still change

I can change
I can change
I can still change
I can still change"
You Go Down Smooth,Lake Street Dive,Bad Self Portraits,"{'year': 2014, 'month': 2, 'day': 18}","Would it be true to say that I ordered you
Or is it you that ordered me?
I could say you are the only one I see
But I can't stop at two or three

And I am afraid to need you so
And I am too sober not to know
That you may be my problem, not my love

Would I be lying if I said you were too sweet
Though I'm quite sure you've got a bite?
I could say that you were just a special treat
Though we both know that's not right

And I am afraid to need you so
And I am too sober not to know
That you may be my problem, not my love
'Cause you go down smooth

Would it be true to say you go to my head
Or is that sentiment too frank?
Oh, I could say you make it sweet to go to bed
But then it's you that breaks the bank

And I am afraid to need you so
And I am too sober not to know
That you may be my problem, not my love
'Cause you go down smooth
'Cause you go down smooth
'Cause you go down smooth—
'Cause you go down smooth

Ahh...)
Well now, would it be true, would it be true–
Yeah, you go down smooth, you go down smooth
Would it be true, yeah
No, oh..."
What I’m Doing Here,Lake Street Dive,What I’m Doing Here / Wedding Band,"{'year': 2014, 'month': 6, 'day': 9}","And I ain't got a clue
Messing around with these other fools
When I'm not with you
There's been so many nights
When I've longed for your touch
There's been so many days
When our love was not enough
Oh, leave me
Just leave me, leave me
Can't you see me?
See me-
Nobody knows what I'm doing here
And I ain't got a clue
Messing around with these other fools
When I'm not with you
There's been so many nights
When I've longed for your touch
There's been so many days
When our love was not enough
Oh, leave me
Just leave me, leave me
Can't you see me?
See me-
Nobody knows what I'm doing here
And I ain't got a clue
Messing around with these other fools
When I'm not-
When I'm not-
When I'm not, oh
Nobody knows what I'm doing here
And I, I ain't got a clue
Messing around with these other fools
When I'm not with you
When I'm not with you"
Mistakes,Lake Street Dive,Side Pony,"{'year': 2016, 'month': 2, 'day': 12}","And I'm not blind
I've been standing right here before
And I do it every time
I never think I lose
But it's a losing game
And I'm breaking all the rules
Thinking that I'm gonna change
Oh, it's good
That these men don't know each other
I got one who's working undercover
Trying to solve my mystery

Look at what mistake
I'm making now
I'm jumping right on in
When I know it's gonna end somehow
Look at what mistake
I'm making now
I'm jumping right on in
When I know it's gonna end somehow
I've told these stories
And I've said these lies
I ignore what my heart tells me
And I break it every time
I never think I lose
But it's a losing game
And I'm breaking all the rules
Thinking that I'm gonna change
Oh, it's good
That these men don't know each other
Well, every time I lose one, I can just move on
I always find another

Look at what mistake
I'm making now
Cause I know it
Cause I know it's gonna end somehow
"
Baby Don’t Leave Me Alone With My Thoughts,Lake Street Dive,Free Yourself Up,"{'year': 2018, 'month': 5, 'day': 4}","Hard times, hard times
When I really need somebody to hold me tight
And tell me that I'm strong
Last night, last night
You were really there for me, so thank you
For playin' along

But I gotta be honest with ya, baby
This is not about love
I gotta be honest with ya, baby
I'm not above usin' you to get me through the night

Baby, don't leave me alone with my thoughts
I don't wanna get caught in the current of my mind
Baby, don't leave me alone with my thoughts

An old man, an old man
Has got his little hands on the button
Feels like nothin' anyone can do
People out there crackin' up, crackin' up
And I'm just tryin' to keep it together
Notice that I feel better when I'm holdin' you

But I gotta be honest with ya, baby
This is not about love
I gotta be honest with ya, baby
You're here help rid me of
The demons of the night

Baby, don't leave me alone with my thoughts
I don't wanna get caught in the current of my mind
Baby, don't leave me alone with my thoughts

Would you be my human shield?
Hold you so that I don't feel anything?
Hold you so that I don't feel the ringin' in my head?

Baby, don't leave me alone with my thoughts
I don't wanna get caught in the current of my mind
Baby, don't leave me alone with my thoughts
I don't wanna get caught in the prison of the present time
Baby, don't leave me alone with my thoughts

Would you be my human shield?
Hold you up so that I don't feel anything?
Would you be my human shield?
Hold you so that I don't feel anything?
Hold you so that I don't feel the ringin' in my head anymore?"
"Shame, Shame, Shame",Lake Street Dive,Free Yourself Up,"{'year': 2018, 'month': 5, 'day': 4}","Little hands hold the gavel
Another one's about to fall down
Get upset and unravel
Another one's about to fall down

Shame, shame, shame
Shame, shame, shame on you

Every place that you travel
Another one's about to fall down
Little face in the gravel
Another one's about to fall down

Pain, pain, pain
Shame, shame, shame on you
I bet you think you're a big man now
But you don't know how to be a good man too

No, I'm not getting caught in your little spiderweb
Won't let an angry dog get me down
Don't you think it's time we put this dog out of his misery?

Hold your breath underwater
'Cause another one's about to fall down
Lead the lamb to the slaughter
Another one's about to fall down

Shame, shame, shame
Shame, shame, shame on you
It's not a game, game, game
Shame, shame, shame, shame on you
I bet you think that you're a big man now
But I think you're a sick man now
And you don't know how to be a good man too

No, I'm not getting caught in your little spiderweb
Won't let an angry dog get me down
Don't you think it's time that we put this dog out of his misery?

Change is comin', oh yeah
Ain't no holdin' it back
Ain't no runnin'
Change is comin', oh yeah
Change is comin', oh yeah
Ain't no holdin' it back
Ain't no runnin'
Change is comin', oh yeah
Change is comin', oh yeah
Ain't no holdin' it back
Ain't no runnin'
Change is comin', oh yeah
Change is comin', oh yeah
Ain't no holdin' it back
Ain't no runnin'
Change is comin', oh yeah
Change is comin', oh yeah
Ain't no holdin' it back
Ain't no runnin'
Change is comin', oh yeah
Change is comin', oh yeah
Ain't no holdin' it back
Ain't no runnin'
Change is comin', oh yeah"
Musta Been Something,Lake Street Dive,Free Yourself Up,"{'year': 2018, 'month': 5, 'day': 4}","You said I, I didn't do anythin' wrong
But there must have been somethin' I could've done better
Oh, oh you said I, I didn't do anythin' wrong
But there must have been somethin' I could've done better

Did you want me at home more?
Was I runnin' around more than you liked, me leavin' you?
Did you want more alone time?
Was I callin' you up every night when I needed you?

Times that I was tired and selfish
I don't know why I did it, I couldn't help it
But you know that I've tried
Now I keep on askin', could I?
Could I?

You said I, I didn't do anythin' wrong
But there must have been somethin' I could've done better
Ohoh you said I, I didn't do anythin' wrong
But there must have been somethin' I could've done better

Memories twist the light
I know you're thinkin' tonight about the things I did right
But seein' you so happy now
Has got me thinkin' about all the things I did wrong

Times that I was quiet and distant
I don't know why I didn't tell you what I meant
But you know that I've tried
Now I keep on askin', could I?
Could I?

You said I, I didn't do anythin' wrong
But there must have been somethin' I could've done better
You said I, I didn't do anythin' wrong
But there must have been somethin' I could've done better
I didn't do anythin' wrong
There must have been somethin' I could've done better
You said I, I didn't do anythin' wrong
But there must have been somethin' I could've done better"
