,Artist,Album,Release Date,Lyrics
Royals,Lorde,Pure Heroine,"{'year': 2013, 'month': 6, 'day': 3}","I've never seen a diamond in the flesh
I cut my teeth on wedding rings in the movies
And I'm not proud of my address
In a tornup town, no postcode envy

But every song's like
Gold teeth, Grey Goose, trippin' in the bathroom
Bloodstains, ball gowns, trashin' the hotel room
We don't care, we're driving Cadillacs in our dreams
But everybody's like
Cristal, Maybach, diamonds on your timepiece
Jet planes, islands, tigers on a gold leash
We don't care, we aren't caught up in your love affair

And we'll never be royals Royals)
It don't run in our blood
That kind of luxe just ain't for us
We crave a different kind of buzz
Let me be your ruler Ruler)
You can call me queen bee
And baby, I'll rule I'll rule, I'll rule, I'll rule)
Let me live that fantasy

My friends and I, we've cracked the code
We count our dollars on the train to the party
And everyone who knows us knows
That we're fine with this, we didn't come from money

But every song's like
Gold teeth, Grey Goose, trippin' in the bathroom
Bloodstains, ball gowns, trashin' the hotel room
We don't care, we're driving Cadillacs in our dreams
But everybody's like
Cristal, Maybach, diamonds on your timepiece
Jet planes, islands, tiger's on a gold leash
We don't care, we aren't caught up in your love affair
And we'll never be royals Royals)
It don't run in our blood
That kind of luxe just ain't for us
We crave a different kind of buzz
Let me be your ruler Ruler)
You can call me queen bee
And baby, I'll rule I'll rule, I'll rule, I'll rule)
Let me live that fantasy
Oh, ohoh)
We're bigger than we ever dreamed
And I'm in love with being queen
Oh, ohoh)
Life is great without a care
We aren't caught up in your love affair

And we'll never be royals Royals)
It don't run in our blood
That kind of luxe just ain't for us
We crave a different kind of buzz
Let me be your ruler Ruler)
You can call me queen bee
And baby, I'll rule I'll rule, I'll rule, I'll rule)
Let me live that fantasy
"
Team,Lorde,Pure Heroine,"{'year': 2013, 'month': 9, 'day': 13}","Wait till you're announced
We've not yet lost all our graces
The hounds will stay in chains
Look upon Your Greatness and she'll
Send the call out, send the call out
Send the call out, send the call out
Send the call out, send the call out
Send the call out, send the call out
Send the call out, send the call out
Send the call out, send the call out
Send the call out, send the call out
Send the call out, send the call out

Call all the ladies out
They're in their finery
A hundred jewels on throats
A hundred jewels between teeth
Now bring my boys in
Their skin in craters like the moon
The moon we love like a brother
While he glows through the room

Dancin' around the lies we tell
Dancin' around big eyes, as well
Even the comatose
They don't dance and tell
You might also like
We live in cities you'll never see onscreen
Not very pretty, but we sure know how to run things
Livin' in ruins of a palace within my dreams
And you know, we're on each other's team

I'm kind of over gettin' told to throw my hands up in the air
So there

So all the cups got broke
Shards beneath our feet
But it wasn't my fault
And everyone's competing
For a love they won't receive
'Cause what this palace wants is release

We live in cities you'll never see onscreen
Not very pretty, but we sure know how to run things
Livin' in ruins of a palace within my dreams
And you know, we're on each other's team

I'm kind of over gettin' told to throw my hands up in the air
So there
I'm kind of older than I was when I reveled without a care
So there
We live in cities you'll never see onscreen
Not very pretty, but we sure know how to run things
Livin' in ruins of a palace within my dreams
And you know, we're on each other's team

We're on each other's team
And you know, we're on each other's team
We're on each other's team
And you know, and you know, and you know"
Liability,Lorde,Melodrama (Japanese Edition),"{'year': 2017, 'month': 3, 'day': 9}","Go for it
One, two

Baby really hurt me, crying in the taxi
He don't wanna know me
Says he made the big mistake of dancing in my storm
Says it was poison
So I guess I'll go home
Into the arms of the girl that I love
The only love I haven't screwed up
She's so hard to please, but she's a forest fire
I do my best to meet her demands, play at romance
We slow dance in the living room
But all that a stranger would see
Is one girl swaying alone, stroking a cheek

They say, You're a little much for me
You're a liability
You're a little much for me""
So they pull back, make other plans
I understand, I'm a liability
Get you wild, make you leave
I'm a little much for eananana, everyone
You might also like
The truth is I am a toy that people enjoy
Till all of the tricks don't work anymore
And then they are bored of me
I know that it's exciting, running through the night
But every perfect summer's eating me alive until you're gone
Better on my own

They say, You're a little much for me
You're a liability
You're a little much for me""
So they pull back, make other plans
I understand, I'm a liability
Get you wild, make you leave
I'm a little much for eananana, everyone

They're gonna watch me disappear into the sun
You're all gonna watch me disappear into the sun"
Green Light,Lorde,Melodrama (Japanese Edition),"{'year': 2017, 'month': 3, 'day': 2}","I do my makeup in somebody else's car
We order different drinks at the same bars
I know about what you did and I wanna scream the truth
She thinks you love the beach, you're such a damn liar
Liar, liar, liar, liar, liar, liar, liar, liar)

Well, those great whites, they have big teeth
Hope they bite you
Thought you said that you would always be in love
But you're not in love no more
Did it frighten you
How we kissed when we danced on the light up floor?
On the light up floor

But I hear sounds in my mind
Brand new sounds in my mind
But honey, I'll be seein' you 'ever I go
But honey, I'll be seein' you down every road
I'm waiting for it, that green light, I want it

'Cause honey, I'll come get my things, but I can't let go
I'm waiting for it, that green light, I want it
Oh, I wish I could get my things and just let go
I'm waiting for it, that green light, I want it
You might also like
Sometimes I wake up in a different bedroom
I whisper things, the city sings 'em back to you

Well, those rumours, they have big teeth
Hope they bite you
Thought you said that you would always be in love
But you're not in love no more
Did it frighten you
How we kissed when we danced on the light up floor?
On the light up floor

But I hear sounds in my mind
Brand new sounds in my mind
But honey, I'll be seein' you 'ever I go
But honey, I'll be seein' you down every road
I'm waiting for it, that green light, I want it

'Cause honey, I'll come get my things, but I can't let go
I'm waiting for it, that green light, I want it
Oh, honey, I'll come get my things, but I can't let go
I'm waiting for it, that green light, I want it
Yes, honey, I'll come get my things, but I can't let go
I'm waiting for it, that green light, I want it
Oh, I wish I could get my things and just let go
I'm waiting for it, that green light, I want it
I'm waiting for it, that green light, I want it
I'm waiting for it, that green light, I want it
I'm waiting for it, that green light, I want it
I'm waiting for it, that green light, I want it
I'm waiting for it, that green light, I want it
I'm waiting for it, that green light, I want it"
Ribs,Lorde,Pure Heroine,"{'year': 2013, 'month': 9, 'day': 27}","The drink you spilt all over me
Lover's Spit"" left on repeat
My mum and dad let me stay home
It drives you crazy, getting old

We can talk it so good
We can make it so divine
We can talk it good
How you wish it would be all the time

The drink you spilt all over me
Lover's Spit"" left on repeat
My mum and dad let me stay home
It drives you crazy, getting old
The drink you spilt all over me
Lover's Spit"" left on repeat
My mum and dad let me stay home
It drives you crazy, getting old

This dream isn't feeling sweet
We're reeling through the midnight streets
And I've never felt more alone
It feels so scary, getting old
You might also like
We can talk it so good
We can make it so divine
We can talk it good
How you wish it would be all the time

This dream isn't feeling sweet
We're reeling through the midnight streets
And I've never felt more alone
It feels so scary, getting old
This dream isn't feeling sweet
We're reeling through the midnight streets
And I've never felt more alone
It feels so scary, getting old

I want 'em back, I want 'em back
The minds we had, the minds we had
How all the thoughts, how all the thoughts
Moved 'round our heads, moved 'round our heads
I want 'em back, I want 'em back
The minds we had, the minds we had
It's not enough to feel the lack
I want 'em back, I want 'em back
I want 'em
You're the only friend I need
You're the only friend I need)
Sharing beds like little kids
Sharing beds like little kids)
And laughing till our ribs get tough
Laughing till our ribs get tough)
But that will never be enough
But that will never be enough)
You're the only friend I need
You're the only friend I need)
Sharing beds like little kids
Sharing beds like little kids)
And laughing till our ribs get tough
Laughing till our ribs get tough)
But that will never be enough
But that will never be enough)

But that will never be enough
But that will never be enough
But that will never be enough
But that will never be enough
"
The Louvre,Lorde,Melodrama (Japanese Edition),"{'year': 2017, 'month': 6, 'day': 16}","Well, summer slipped us underneath her tongue
Our days and nights are perfumed with obsession
Half of my wardrobe is on your bedroom floor
Use our eyes, throw our hands overboard
I am your sweetheart psychopathic crush
Drink up your movements, still I can't get enough
I overthink your ppunctuation use
Not my fault, just a thing that my mind do

A rush at the beginning
I get caught up, just for a minute
But lover, you're the one to blame
All that you're doing
Can you hear the violence?
Megaphone to my chest
Broadcast the boom, boom, boom, boom
And make 'em all dance to it

Broadcast the boom, boom, boom, boom
And make 'em all dance to it
Broadcast the boom, boom, boom, boom
And make 'em all dance to it
Broadcast the boom, boom, boom, boom
And make 'em all dance to it
Broadcast the boom, boom, boom, boom
And make 'em all dance to it
You might also like
Our thing progresses, I call and you come through
Blow all my friendships to sit in hell with you
But we're the greatest, they'll hang us in the Louvre
Down the back, but who cares? Still the Louvre
Okay, I know that you are not my type Still I fall)
I'm just the sucker who let you fill her mind But what about love?)
Nothing wrong with it, supernatural
Just move in close to me, closer, you'll feel it coasting

A rush at the beginning
I get caught up, just for a minute
But lover, you're the one to blame
All that you're doing
Can you hear the violence?
Megaphone to my chest
Broadcast the boom, boom, boom, boom
And make 'em all dance to it

Broadcast the boom, boom, boom, boom
And make 'em all dance to it
Broadcast the boom, boom, boom, boom
And make 'em all dance to it
Broadcast the boom, boom, boom, boom
And make 'em all dance to it
Broadcast the boom, boom, boom, boom
And make 'em all dance to it"
Hard Feelings/Loveless,Lorde,Melodrama (Japanese Edition),"{'year': 2017, 'month': 6, 'day': 16}","
Go back and tell it

Please, could you be tender?
And I will sit close to you
Let's give it a minute before we admit that we're through
Guess this is the winter
Our bodies are young and blue
I'm at Jungle City, it's late and this song is for you

'Cause I remember the rush, when forever was us
Before all of the winds of regret and mistrust
Now we sit in your car and our love is a ghost
Well, I guess I should go, yeah, I guess I should go

Hard feelings
These are what they call hard feelings of love
When sweet words and fevers
All leave us right here in the cold, oh, oh
Alone with the hard feelings of love
God, I wish I believed ya
When you told me this was my home, oh, oh
You might also like
I light all the candles
Cut flowers for all my rooms
I care for myself the way I used to care about you
These days, we kiss and we keep busy
The waves come after midnight
I call from underwater
Why even try to get right?
When you've outgrown a lover Oh)
The whole world knows but you Oh)
It's time to let go of this endless summer afternoon

Hard feelings
These are what they call hard feelings of love
When sweet words and fevers
All leave us right here in the cold, oh, oh
Alone with the hard feelings of love
God, I wish I believed ya
When you told me this was my home, oh, oh

Three years, loved you every single day
Made me weak, it was real for me, yeah, real for me
Now I'll fake it every single day
'Til I don't need fantasy, 'til I feel you leave
But I still remember everything
How we'd drift buying groceries, how you'd dance for me
I'll start letting go of little things
'Til I'm so far away from you, far away from you, yeah

What is this tape?""
This is my favorite tape""
Bet you wanna rip my heart out
Bet you wanna skip my calls now
Well, guess what? I'd like that
'Cause I'm gonna mess your life up
Gonna wanna tape my mouth shut
Look out, lovers

We're LOVELESS generation
LOVELESS generation
All fuckin' with our lovers' heads generation

Bet you wanna rip my heart out
Bet you wanna skip my calls now
Well, guess what? I'd like that
'Cause I'm gonna mess your life up
Gonna wanna tape my mouth shut
Look out, lovers
We're LOVELESS generation
LOVELESS Look out, lovers) generation
All fuckin' with our lovers' heads generation Look out, lovers)

LOVELESS generation
LOVELESS generation
LOVELESS generation
LOVELESS generation
LOVELESS"
Tennis Court,Lorde,Pure Heroine,"{'year': 2013, 'month': 6, 'day': 7}","Don't you think that it's
Boring how people talk?
Making smart with their words again
Well, I'm bored
Because
I'm doing this for the thrill of it, killin' it
Never not chasin' a million things I want
And I am
Only as young as the minute is, full of it
Getting pumped up on the little bright things I bought
But I know they'll never own me Yeah)

Baby, be the class clown
I'll be the beauty queen in tears
It's a new art form
Showin' people how little we care Yeah)
We're so happy
Even when we're smilin' out of fear
Let's go down to the tennis court
And talk it up like, Yeah"" Yeah)

Pretty soon, I'll be getting
On my first plane
I'll see the veins of my city
Like they do in space
But my head's
Fillin' up fast with the wicked games, up in flames
How can I fuck with the fun again when I'm
Known?
And my
Boys trip me up with their heads again, lovin' them
Everything's cool when we're all in line for the throne
But I know it's not forever Yeah)
You might also like
Baby, be the class clown
I'll be the beauty queen in tears
It's a new art form
Showin' people how little we care Yeah)
We're so happy
Even when we're smilin' out of fear
Let's go down to the tennis court
And talk it up like, Yeah"" Yeah)

It looked all right in the pictures Yeah)
Getting caught's half of the trip, though, isn't it? Yeah)
I'll fall apart, with all my heart Yeah)
And you could watch from your window Yeah)
Haha
Yeah, you could watch from your window

Baby, be the class clown
I'll be the beauty queen in tears
It's a new art form
Showin' people how little we care Yeah)
We're so happy
Even when we're smilin' out of fear
Let's go down to the tennis court
And talk it up like, Yeah"" Yeah)
And talk it up like, Yeah"" Yeah)
And talk it up like, Yeah"" Yeah)
Let's go down to the tennis court
And talk it up like, Yeah"" Yeah)
And talk it up like, Yeah"" Yeah)
And talk it up like, Yeah"" Yeah)
Let's go down to the tennis court
And talk it up like, Yeah"" Yeah)
"
Solar Power,Lorde,Solar Power (D2C Exclusive Deluxe),"{'year': 2021, 'month': 6, 'day': 10}","I hate the winter, can't stand the cold
I tend to cancel all the plans So sorry, I can't make it)
But when the heat comes, something takes a hold
Can I kick it? Yeah, I can
My cheeks in high colour, overripe peaches
No shirt, no shoes, only my features
My boy behind me, he's taking pictures
Lead the boys and girls onto the beaches
Come one, come all, I'll tell you my secrets
I'm kinda like a prettier Jesus

Forget all of thе tears that you've cried
It's ovеr Over, over, over, over)
It's a new state of mind
Are you coming, my baby?

Acid green, aquamarine
The girls are dancing in the sand
And I throw my cellular device in the water
Can you reach me? No, you can't Aha)
You might also like
My cheeks in high colour, overripe peaches
No shirt, no shoes, only my features
My boy behind me, he's taking pictures He's taking pictures)
Lead the boys and girls onto the beaches
Come one, come all, I'll tell you my secrets
I'm kinda like a prettier Jesus

Turn it on in a new kind of bright
It's solar Solar, solar, solar, solar, solar)
Come on and let the bliss begin
Blink three times when you feel it kicking in

That solarolarolar power
Solarolarolar power
Solarolarolar power
Solarolarolar power
Solarolarolar power
Solarolarolar power"
Perfect Places,Lorde,Melodrama (Japanese Edition),"{'year': 2017, 'month': 6, 'day': 2}","Every night, I live and die
Feel the party to my bones
Watch the wasters blow the speakers
Spill my guts beneath the outdoor light
It's just another graceless night
I hate the headlines and the weather
I'm nineteen and I'm on fire
But when we're dancing, I'm alright
It's just another graceless night
Are you lost enough?
Have another drink, get lost in us
This is how we get notorious, oh
'Cause I don't know
If they keep tellin' me where to go
I'll blow my brains out to the radio, ohohoh Tchtch)
All of the things we're taking
'Cause we are young and we're ashamed
Send us to perfect places
All of our heroes fading
Now I can't stand to be alone
Let's go to perfect places
You might also like
Every night, I live and die
Meet somebody, take 'em home
Let's kiss and then take off our clothes
It's just another graceless night 'cause
All of the things we're taking
'Cause we are young and we're ashamed
Send us to perfect places
All of our heroes fading
Now I can't stand to be alone
Let's go to perfect places

All the nights spent off our faces
Trying to find these perfect places
What the fuck are perfect places anyway?
All the nights spent off our faces
Trying to find these perfect places
What the fuck are perfect places anyway?
All the nights spent off our faces
Trying to find these perfect places
What the fuck are perfect places anyway?"
