,Artist,Album,Release Date,Lyrics
Chamber of Reflection,Mac Demarco,Salad Days,"{'year': 2014, 'month': 4, 'day': 1}","
Spend some time away
Getting ready for the day you're born again
Spend some time alone
Understand that soon you'll run with better men
Alone again

Alone again
Alone again
Alone again
Alone

No use looking out
It's within that brings that lonely feeling
Understand that when you leave here
You'll be clear among the better men
Alone again

Alone again
Alone again
Alone again
Alone
Alone again
Alone again
Alone again
Alone"
For the First Time,Mac Demarco,This Old Dog,"{'year': 2017, 'month': 5, 'day': 5}","While she's been away
Living daytoday has been tough
Without her at my side
Simply being alive has been rough

And though she won't be gone forever
There are many times I find it feels that way
And I'm not trying to forget her
Just understand how I'll be feeling on that day

It's just like seeing her for the first time again
It's just like seeing her for the first time again

The time she's not around
Somewhere out of town, has been hard
But somehow this old heart
Found time to work it out this far

No, I know she's coming home soon
There are times I find it hard to feel that way
It's not inside me to forget her
Just understand how I'll be feeling on that day

It's just like seeing her for the first time again
It's just like seeing her for the first time again
It's just like seeing her for the first time again
It's just like seeing her for the first time again"
My Kind of Woman,Mac Demarco,2,"{'year': 2012, 'month': 10, 'day': 16}","Oh, baby
Oh, man
You're making me crazy
Really driving me mad
That's alright with me
It's really no fuss
As long as you're next to me
Just the two of us

You're my, my, my, my kind of woman
My, oh my, what a girl
You're my, my, my, my kind of woman
And I'm down on my hands and knees
Begging you please, baby
Show me your world

Oh, brother
Sweetheart
I'm feeling so tired
Really falling apart
And it just don't make sense to me
I really don't know
Why you stick right next to me
Wherever I go

You're my, my, my, my kind of woman
My, oh my, what a girl
You're my, my, my, my kind of woman
And I'm down on my hands and knees
Begging you please, baby
Show me your world"
Salad Days,Mac Demarco,Salad Days,"{'year': 2014, 'month': 4, 'day': 1}","As Im getting older, chip up on my shoulder
Rolling through life, to roll over and die
Missing Hippie Jon, salad days are gone
Remembering things just to tell em so long

Oh mama, actin’ like my lifes already over
Oh dear, act your age and try another year

Always feeling tired, smiling when required
Write another year off and kindly resign
Salad days are gone, missing Hippie Jon
Remember the days just to tell em so long

Oh mama, actin’ like my lifes already over
Oh dear, act your age and try another year
Oh mama, actin’ like my lifes already over
Oh dear, act your age and try another year"
Freaking Out the Neighbourhood,Mac Demarco,2,"{'year': 2012, 'month': 9, 'day': 18}","Sorry, mama
There are times I get carried away
Please, don't worry
Next time I'm home, I'll still be the same

And I know it's no fun
When your first son
Gets up to no good
Starts freaking out the neighborhood

Really, I'm fine
Never been better, got no job on the line
Sincerely, don't worry
Same old boy that you hoped you would find

And I know it's no fun
When your first son
Gets up to no good
Starts freaking out the neighborhood"
Still Beating,Mac Demarco,This Old Dog,"{'year': 2017, 'month': 5, 'day': 5}","I never meant to make her cry
And now I'm seeing tears in her eyes
Half and half, make believe
'Cause so she thought, well, my heart was on my sleeve

Honey, I cried, too
You better believe it
Honey, my heart still beats for you
Even though you don't feel it
Beating

Never thought some silly songs
Could ever go and hurt someone
I never meant to sing my tune
For anybody else out there but you

Honey, I cried, too
You better believe it
Honey, my heart still beats for you
Even though you don't feel it
Honey, I cried, too
You better believe it
Honey, my heart still beats for you
Even though you don't feel it beating"
This Old Dog,Mac Demarco,This Old Dog,"{'year': 2017, 'month': 1, 'day': 31}","Sometimes my love may be put on hold
Sometimes my heart may seem awful cold
These times come and these times go
As long as I live, all you need to know is

This old dog ain't about to forget
All we've had, and all that's next
'Long as my heart's beatin' in my chest
This old dog ain't about to forget

Often a heart tends to change its mind
A new day decides on a new design
A new day gets set on another way
As long as I live, all I've got to say is

This old dog ain't about to forget
All we've had, and all that's next
'Long as my heart's beatin' in my chest
This old dog ain't about to forget"
Ode to Viceroy,Mac Demarco,2,"{'year': 2012, 'month': 10, 'day': 10}","Viceroy
Early in the morning
Just trying to let the sun in
And open up my eyes
Viceroy
As it's getting later
Heading for the corner
Already running dry

And oh, don't let me see you crying
'Cause oh, honey, I'll smoke you 'til I'm dying

Viceroy
Don't take me for a fool now
I'm only trying to calm down
Just trying to keep it cool
Viceroy
As it's getting later
Heading for the corner
I'm leaving it to you

And oh, don't let me see you crying
'Cause oh, honey, I'll smoke you 'til I'm dying

There really is nothing quite like it."""
Moonlight on the River,Mac Demarco,This Old Dog,"{'year': 2017, 'month': 5, 'day': 5}","I'd say, see you later, if I thought I'd see you later
And I'd tell you, that I loved you, if I did
It's so strange, deciding, how to feel about it
It's such strange emotion standing there beside it

I'm home, with moonlight on the river, saying my goodbyes
Home, there's moonlight on the river, everybody dies

I'd say, see you next time, if I thought there were a next time
Easy conversation, ain't exactly where we're at
It's so strange, deciding, how I feel about you
It ain't like I ain't used to going on without you

I'm home, with moonlight on the river, saying my goodbyes
I'm home, there's moonlight on the river, everybody dies
I'm home, with moonlight on the river, saying my goodbyes
I'm home, there's moonlight on the river, everybody dies
"
Another One,Mac Demarco,Another One,"{'year': 2015, 'month': 6, 'day': 16}","Feelin' so confused
You don't know what to do
Afraid she might not love you anymore
And though she says she does
And hasn't lost your trust
Who could that be knockin' at her door?

Must be another one
Must be another one she loves
Must be another one
Must be another one she loves

The feelin' never stops
And neither does the clock
Wishin' for tomorrow today
She still says she's true
So you start comin' to
Just as that old knockin' comes to stay

Must be another one
Must be another one she loves
Must be another one
Must be another one she loves"
