,Artist,Album,Release Date,Lyrics
Random Rules,Silver Jews,American Water,"{'year': 1998, 'month': 10, 'day': 20}","In , I was hospitalized for approaching perfection
Slowly screwing my way across Europe, they had to make a correction
Broken and smokin' where the infrared deer plunge in the digital snake
I tell you, they make it so you can't shake hands when they make your hands shake

I know you like to line dance
Everything so democratic and cool
But, baby, there's no guidance when random rules

I know that a lot of what I say has been lifted off of men's room walls
Maybe I've crossed the wrong rivers and walked down all the wrong halls
But nothing can change the fact that we used to share a bed
And that's why it scared me so when you turned to me and said:

Yeah, you look like someone
Yeah, you look like someone who up and left me low
Boy, you look like someone I used to know""

I know you'd like to line dance
With everything so democratic and cool
But, baby, there's no guidance when random rules

I asked the painter why the roads are colored black
He said, Steve, it's because people leave
And no highway will bring them back""
So if you don't want me, I promise not to linger
But before I go, I've gotta ask you, dear, about that tan line on your ring finger

No one should have two lives
Now you know my middle names are Wrong and Right
Honey, we've got two lives to give tonight
To give tonight
To give tonight
Oh, oh, oh, oh, oh"
Smith & Jones Forever,Silver Jews,American Water,"{'year': 1998, 'month': 10, 'day': 20}","Can you summon honey from a telephone?
They sat there with their hooks in the water
And their mustaches caked with airplane glue
O come let us adore them
California overboard
When the sun sets on the ghetto
All the broken stuff gets cold
Smith and Jones forever!
Smith and Jones forever!
Smith and Jones forever, together forever and ever
Build a stage for Autumn's bitch
They walk the alleys in duct tape shoes
They see the things they need through the windows of a hatchback
The alleys are the footnotes of the avenues
O come let us adore them
California overboard
Holding up their trousers with extension cords
Smith and Jones forever!
Smith and Jones forever!
Smith and Jones forever, together forever and ever
I've got two tickets to a midnight execution
We'll hitchhike our way from Odessa to Houston
And when they turn on the chair
Something's added to the air
When they turn on the chair
Something's added to the air forever
To the air forever!
Smith and Jones forever!
Smith and Jones forever, together forever and ever"
The Wild Kindness,Silver Jews,American Water,"{'year': 1998, 'month': 10, 'day': 20}","On a classic nitrogen afternoon
Some power that hardly looked like power
Said I'm perfect in an empty room
Four dogs in the distance
Each stands for a kindness, yeah
Bluebirds lodged in an evergreen altar
I'm gonna shine out in the wild silence
I'm gonna shine out in the wild silence
I'm gonna shine out in the wild silence
And spurn the sin of giving in
Oil paintings of xrated picnics
Behind the walls of medication, I'm free
Every leaf in a compact mirror
Hits a target that we can't see
Grass grows in the icebox
The year ends in the next room
It is autumn and my camouflage is dying
Instead of time, there will be lateness
Instead of time, there will be lateness
Instead of time, there will be lateness
And let forever be delayed
I dyed my hair in a motel void
Met the coroner at Dreamgate Frontier
He took my hand, and said, I'll help you, boy
If you really want to disappear""
Four dogs in the distance
Each stands for a silence, yeah
Bluebirds lodged in an evergreen altar
I'm gonna shine out in the wild kindness
I'm gonna shine out in the wild kindness
I'm gonna shine out in the wild kindness
And hold the world to its word"
People,Silver Jews,American Water,"{'year': 1998, 'month': 10, 'day': 20}","Moments can be monuments to you
If your life is interesting and true
It's just the same for a man or a girl
The meaning of the world lies outside the world
People love people and they understand
If you want to renovate your background mind
A federal woman needs municipal man
People gotta synchronize to animal time

You can't change the feeling
But you can change the feeling about the feelings in a second or two, uh huh
People always come around
I'm studying the ceiling on a little afternoon
And when I paint my dining room, uh huh
People gonna come around

I love to see a rainbow from a garden hose
Lit up like the blood of a centerfold
I love the city and the city rain
Suburban kids with biblical names
People ask people to watch their scotch
People send people up to the moon
When they return, well, there isn't much
People be careful not to crest too soon

The drums march along at the clip of an IV. drip
Like sparks from a muffler dragged down the strip, uh huh
I really hope you'll come around
It's sunny and 
It feels so good to be alive
Come on, baby, don't stay inside
Everybody's coming out tonight"
Trains Across the Sea,Silver Jews,Starlite Walker,"{'year': 1994, 'month': 10, 'day': 24}","On the line
And I can't stand to see you
I can't stand to see you
When you're crying at home
Scotch and penicillin
Please try Carlton
A cold black maple hangar
And husbands on the run
I just got back from a dream attack
That took me by surprise
And in there, I met a lady
Her name was Shady Sides
And she said
It's been evening all day long
It's been evening all day long
And how can something so old
Be so wrong?""
Sin and gravity
Drag me down to sleep
To dream of trains across the sea
Trains across the sea
Half hours on earth
What are they worth?
I don't know
In  years
I've drunk fifty thousand beers
And they just wash against me
Like the sea into a pier..."
Pretty Eyes,Silver Jews,The Natural Bridge,"{'year': 1996, 'month': 10, 'day': 1}","But everybody's wants can't make it past a window sill
I can see you in your room at night
Pictures on your walls
Little forest scenes and high school Halloweens
But they don't come to you
They don't come to you at all
All houses dream in blueprints
Our houses dream so hard
Outside, you can see my shoeprints
I've been dreaming in your yard
One of these days, these days will end
The kitchen window, the light will bend
You'll be carving a pumpkin with a knife
When someone at the table says:
That's not what I call a life!""
The elephants are so ashamed of their size
Hosing them down, I tell 'em, You got pretty eyes""
Out in the backyard, I used to make like I was a cowboy
I'd set my dog before a hoop and say, Now boy, now boy!""
When the governor's heart fails
The state bird falls from its branch
Icicles on hell's higher hills
Meanwhile, back home at the ranch
I still get up early in the morning
And I never knew a better place
I believe that stars are the headlights of angels
Driving from heaven to save us, to save us
Look in the sky
They're driving from heaven into our eyes
And final words are so hard to devise
I promise that I'll always remember your pretty eyes
Your pretty eyes"
Dallas,Silver Jews,The Natural Bridge,"{'year': 1996, 'month': 10, 'day': 1}","The CPR was so erotic
A blizzard blew in through the door
And little glowing cum buckets in her ankles
O Dallas, you shine with an evil light
O Dallas, you shine with an evil light
How'd you turn a billion steers
Into buildings made of mirrors?
And why am I drawn to you tonight?
Once you taste the geometry of a church in a culdesac
You're gonna wanna sit with the bad kids in the back
Cruising down Commerce
Killing time in the blazing sun
Is it true your analyst was a placekicker for the Falcons?
We saw BB. King on General Hospital
In the Oak Cliff dram house where we stayed
And when Clancy whipped her with his belt buckle
He cleaned her cuts and then we prayed
O Dallas, you shine with an evil light
Don't you know that God stays up all night?
How'd you turn a billion steers
Into buildings made of mirrors?
And why am I drawn to you tonight?
Watching the makeup girls make out with the mannequins
Hey boys, supper's on me, our record just went aluminum""
Poor as a mouse every morning
Rich as a cat every night
Some kind of strange magic happens
When the city turns on her lights"
Send in the Clouds,Silver Jews,American Water,"{'year': 1998, 'month': 10, 'day': 20}","Shut all the blinds, and turn out the lights
I feel insane when you get in my bed
I am the trick my mother played on the world
Seventeen doctors couldn't decide
Whether I should be allowed in the game
Why can't monsters get along with other monsters?
Soi disantra
Soi disantra
Soi disantra
I know a puppy who walked from Kentucky
Made it to East Virginia by dawn
He had seventeen ideas in his head
Windex tears flow down the robot's face
He'd never felt a mother's embrace
My momma named me after a king
I'm gonna bury my name in you
Why can't monsters get along with other monsters?
Soi disantra
Soi disantra
They don't want t'ah
Why can't monsters get along with other monsters?
Soi disantra
Soi disantra, yeah
Soi disantra
Soi disantra
Soi disantra
Whoa, soi disantra
Soi disantra
Whoa, whoa"
We Are Real,Silver Jews,American Water,"{'year': 1998, 'month': 10, 'day': 20}","And I will see you soon, my friend
If these old directions still direct, oh yeah
If these old directions still direct
Is the problem that we can't see, or is it that the problem is beautiful to me?
Birds of Virginia are flying within you
Like background singers, they all come in threes
Like background singers, they all come in threes
Won't soul music change now that our souls have turned strange?
Once a day, twice a day
When on and off collide
We'll set our souls aside and walk away
We've been raised on replicas
Of fake and winding roads
And day after day, up on this beautiful stage
We've been playing tambourine for minimum wage
But we are real, real
I know we are real
Repair is the dream of the broken thing
Like a message broadcast on an overpass
All my favorite singers couldn't sing
All my favorite singers couldn't sing
My ski vest has buttons like convenience store mirrors
And they help me see
That everything in this room right now is a part of me
Oh yeah, is a part of me
Won't soul music change now that our souls have turned strange?
Once a day, twice a day
When on and off collide
We'll set our souls aside and walk away
Realizing is how it feels
Inside when it happens to you
So I took a shot of sugar like snow dumped into the blood
And children wander off into the ultraeconomic
But we're real
We are real
I know we are real
I know we are real
I know we are real, real, real, real, real"
Tennessee,Silver Jews,Bright Flight,"{'year': 2001, 'month': 11, 'day': 5}","I saw the river playing in the valley
Rushing 'round a bend and skipping stones
I saw the meadow wobble in the moonlight
I've come to get my girl and take her home

Her doorbell plays a bar of Stephen Foster
Her sister never left and look what it cost her
We're gonna live in Nashville and I'll make a career
Out of writing sad songs and gettin' paid by the tear

Marry me and leave Kentucky
Come to Tennessee
'Cause you're the only ten I see
You're the only ten I see

I've looked through offices and honkytonks
For men man enough to be
Mister, Misses Tennessee
Mister, Misses Tennessee

Punk rock died when the first kid said
Punk's not dead, punk's not dead""
You know Louisville is death, we've got to up and move
Because the dead do not improve

Goodbye users and suckers and steady bad luckers
We're off to the land of club soda unbridled
We're off to the land of hot middleaged women
Off to the land whose blood runneth orange

Marry me and leave Kentucky
And come to Tennessee
'Cause you're the only ten I see
You're the only ten I see

I've looked through offices and honkytonks
For men man enough to be
Mister, Misses Tennessee
Mister, Misses Tennessee"
