,Artist,Album,Release Date,Lyrics
Mystery of Love,Sufjan Stevens,Mystery of Love,"{'year': 2017, 'month': 11, 'day': 3}","Oh, to see without my eyes
The first time that you kissed me
Boundless by the time I cried
I built your walls around me
White noise, what an awful sound
Fumbling by Rogue River
Feel my feet above the ground
Hand of God, deliver me

Oh, oh woeohwoah is me
The first time that you touched me
Oh, will wonders ever cease?
Blessed be the mystery of love

Lord, I no longer believe
Drowned in living waters
Cursed by the love that I received
From my brother's daughter
Like Hephaestion, who died
Alexander's lover
Now my riverbed has dried
Shall I find no other?

Oh, oh woeohwoah is me
I'm running like a plover
Now I'm prone to misery
The birthmark on your shoulder reminds me

How much sorrow can I take?
Blackbird on my shoulder
And what difference does it make
When this love is over?
Shall I sleep within your bed?
River of unhappiness
Hold your hands upon my head
Till I breathe my last breath
Oh, oh woeohwoah is me
The last time that you touched me
Oh, will wonders ever cease?
Blessed be the mystery of love"
Fourth of July,Sufjan Stevens,Carrie & Lowell,"{'year': 2015, 'month': 3, 'day': 31}","The evil, it spread like a fever ahead
It was night when you died, my firefly
What could I have said to raise you from the dead?
Oh, could I be the sky on the Fourth of July?
Well, you do enough talk
My little hawk, why do you cry?
Tell me, what did you learn from the Tillamook burn?
Or the Fourth of July?
We're all gonna die""

Sitting at the bed with the halo at your head
Was it all a disguise, like junior high?
Where everything was fiction, future, and prediction
Now, where am I? My fading supply

Did you get enough love, my little dove?
Why do you cry?
And I'm sorry I left, but it was for the best
Though it never felt right
My little Versailles""

The hospital asked, Should the body be cast?""
Before I say goodbye, my star in the sky
Such a funny thought to wrap you up in cloth
Do you find it all right, my dragonfly?

Shall we look at the moon, my little loon?
Why do you cry?
Make the most of your life, while it is rife
While it is light
Well, you do enough talk
My little hawk, why do you cry?
Tell me, what did you learn from the Tillamook burn?
Or the Fourth of July?
We're all gonna die""

We're all gonna die
We're all gonna die
We're all gonna die
We're all gonna die
We're all gonna die
We're all gonna die
We're all gonna die"
Should Have Known Better,Sufjan Stevens,Carrie & Lowell,"{'year': 2015, 'month': 3, 'day': 11}","To see what I could see
My black shroud
Holding down my feelings
A pillar for my enemies
I should have wrote a letter
And grieve what I happen to grieve
My black shroud
I never trust my feelings
I waited for the remedy
When I was three, three, maybe four
She left us at that video store
Oh, be my rest, be my fantasy
Oh, be my rest, be my fantasy
Im light as a feather
Im bright as the Oregon breeze
My black shroud
Frightened by my feelings
I only wanna be a relief
No, Im not a gogetter
The demon had a spell on me
My black shroud
Captain of my feelings
The only thing I wanna believe
When I was three, and free to explore
I saw her face on the back of the door
Oh, be my rest, be my fantasy
Oh, be my rest, be my fantasy
I should have known better
Nothing can be changed
The past is still the past
The bridge to nowhere
I should have wrote a letter
Explaining what I feel, that empty feeling
Dont back down, concentrate on seeing
The breakers in the bar, the neighbors greeting
My brother had a daughter
The beauty that she brings, illumination
Dont back down, there is nothing left
The breakers in the bar, no reason to live
Im a fool in the fetter fool in the fetter)
Rose of Aarons beard, where you can reach me
Dont back down: nothing can be changed
Cantilever bridge, the drunken sailor
My brother had a daughter brother had a daughter)
The beauty that she brings, illumination illumination)
Illumination"
Visions of Gideon,Sufjan Stevens,Mystery of Love,"{'year': 2017, 'month': 11, 'day': 3}","I have loved you for the last time
Is it a video? Is it a video?
I have touched you for the last time
Is it a video? Is it a video?

For the love, for laughter, I flew up to your arms
Is it a video? Is it a video?
For the love, for laughter, I flew up to your arms
Is it a video? Is it a video?
Is it a video?

I have loved you for the last time
Visions of Gideon, visions of Gideon
And I have kissed you for the last time
Visions of Gideon, visions of Gideon

For the love, for laughter, I flew up to your arms
Is it a video? Is it a video?) Is it a video? Is it a video?)
For the love, for laughter, I flew up to your arms
Is it a video? Is it a video?) Is it a video? Is it a video?)
For the love, for laughter, I flew up to your arms
Visions of Gideon, visions of Gideon), visions of Gideon, visions of Gideon)
For the love, for laughter, I flew up to your arms
Visions of Gideon, visions of Gideon), visions of Gideon, visions of Gideon), Visions of Gideon

Visions of Gideon, visions of Gideon, visions of Gideon
Visions of Gideon, visions of Gideon, visions of Gideon
Visions of Gideon, Is it a video?), visions of Gideon, Is it a video?), visions of Gideon
Visions of Gideon, Is it a video?), visions of Gideon, Is it a video?), visions of Gideon
Is it a video?) Is it a video?) Is it a video?)"
Death with Dignity,Sufjan Stevens,Carrie & Lowell,"{'year': 2015, 'month': 3, 'day': 31}","Spirit of my silence, I can hear you
But Im afraid to be near you
And I dont know where to begin
And I dont know where to begin

Somewhere in the desert, theres a forest
And an acre before us
But I dont know where to begin
But I dont know where to begin
Again, I've lost my strength completely, oh be near me
Tired, old mare with the wind in your hair

Amethyst and flowers on the table On the table)
Is it real or a fable? Is it real or a fable?)
Well, I suppose a friend is a friend
And we all know how this will end

Chimney swift that finds me, be my keeper Be my keeper)
Silhouette of the cedar Silhouette of the cedar)
What is that song you sing for the dead?
What is that song you sing for the dead?
I see the signal searchlight strike me in the window of my room
Well, I got nothing to prove
Well, I got nothing to prove


I forgive you, mother, I can hear you I can hear you)
And I long to be near you And I long to be near you)
But every road leads to an end
Yes, every road leads to an end
Your apparition passes through me in the willows
Five red hens – youll never see us again
Youll never see us again
"
The Only Thing,Sufjan Stevens,Carrie & Lowell,"{'year': 2015, 'month': 3, 'day': 31}","The only thing that keeps me from driving this car
Halflight, jack knife into the canyon at night
Signs and wonders: Perseus aligned with the skull
Slain Medusa, Pegasus alight from us all

Do I care if I survive this? Bury the dead where theyre found
In a veil of great surprises, I wonder did you love me at all?

The only thing that keeps me from cutting my arm
Cross hatch, warm bath, Holiday Inn after dark
Signs and wonders: water stain riding the wall
Daniels message; blood of the moon on us all

Do I care if I despise this? Nothing else matters, I know
In a veil of great disguises; how do I live with your ghost?

Should I tear my eyes out now?
Everything I see returns to you, somehow
Should I tear my heart out now?
Everything I feel returns to you, somehow
I want to save you from your sorrow

The only reason why I continue at all
Faith in reason, I wasted my life playing dumb
Signs and wonders: sea lion caves in the dark
Blind faith, Gods grace, nothing else left to impart

Do I care if I survive this? Bury the dead where theyre found
In a veil of great surprises; hold to my head till I drown
Should I tear my eyes out now, before I see too much?
Should I tear my arms out now? I wanna feel your touch

Should I tear my eyes out now?
Everything I see returns to you, somehow
Should I tear my heart out now?
Everything I feel returns to you, somehow"
Casimir Pulaski Day,Sufjan Stevens,Illinois ,"{'year': 2005, 'month': 7, 'day': 4}","Goldenrod and the H stone
The things I brought you when I found out
You had cancer of the bone

Your father cried on the telephone
And he drove his car into the Navy yard
Just to prove that he was sorry

In the morning, through the window shade
When the light pressed up against your shoulderblade
I could see what you were reading
All the glory that the Lord has made
And the complications you could do without
When I kissed you on the mouth

Tuesday night at the Bible study
We lift our hands and pray over your body
But nothing ever happens

I remember at Michael's house
In the living room when you kissed my neck
And I almost touched your blouse

In the morning at the top of the stairs
When your father found out what we did that night
And you told me you were scared
All the glory when you ran outside
With your shirt tucked in and your shoes untied
And you told me not to follow you

Sunday night when I cleaned the house
I find the card where you wrote it out
With the pictures of your mother

On the floor at the great divide
With my shirt tucked in and my shoes untied
I am crying in the bathroom

In the morning when you finally go
And the nurse runs in with her head hung low
And the cardinal hits the window
In the morning in the winter shade
On the first of March, on the holiday
I thought I saw you breathing
All the glory that the Lord has made
And the complications when I see His face
In the morning in the window
All the glory when He took our place
But He took my shoulders and He shook my face
And He takes and He takes and He takes"
All of Me Wants All of You,Sufjan Stevens,Carrie & Lowell,"{'year': 2015, 'month': 3, 'day': 31}","Shall we beat this or celebrate it?
Youre not the one to talk things through
You checked your texts while I masturbated
Manelich, I feel so used

Found myself on Spencers Butte
Traced your shadow with my shoe
Empty outline changed my view
Now all of me thinks less of you

On the sheet, I see your horizon
All of me pressed onto you
But in this light, you look like Poseidon
Im just a ghost you walk right through

Saw myself on Spencers Butte All of me wants all of you)
Landscape changed my point of view All of me wants all of you)
Revelation may come true All of me wants all of you)
Now all of me thinks less of you All of me wants all of you)

All of me wants all of you)
All of me wants all of you)
All of me wants all of you)
All of me wants all of you)"
John My Beloved,Sufjan Stevens,Carrie & Lowell,"{'year': 2015, 'month': 3, 'day': 31}","Are we to speak, first day of the week
Stumbling words at the bar
Beauty blue eyes, my order of fries
Long Island kindness and wine
Beloved of John, I get it all wrong
I read you for some kind of poem
Covered in lines, the fossils I find
Have they no life of their own?

So can we pretend, sweetly
Before the mystery ends?
I am a man with a heart that offends
With its lonely and greedy demands
Theres only a shadow of me; in a matter of speaking, I'm dead

Such a waste, your beautiful face
Stumbling carpet arise
Go follow your gem, your white feathered friend
Icarus, point to the sun
If history speaks of two baby teeth
Im painting the hills blue and red
They said beware, Lord, hear my prayer
Ive wasted my throes on your head

So can we be friends, sweetly
Before the mystery ends?
I love you more than the world can contain
In its lonely and ramshackle head
Theres only a shadow of me; in a matter of speaking, I'm dead

Im holding my breath
My tongue on your chest
What can be said of my heart?
If history speaks, the kiss on my cheek
Where there remains but a mark
Beloved, my John, so Ill carry on
Counting my cards down to one
And when I am dead, come visit my bed
My fossil is bright in the sun

So can we contend, peacefully
Before my history ends?
Jesus, I need you, be near me, come shield me
From fossils that fall on my head
Theres only a shadow of me; in a matter of speaking, I'm dead"
No Shade in the Shadow of the Cross,Sufjan Stevens,Carrie & Lowell,"{'year': 2015, 'month': 3, 'day': 31}","My only lover
Give out to give in
I search for the capsule I lost
Drag me to hell in the valley of The Dalles
Like my mother
Give wings to a stone
Its only the shadow of a cross
I slept on my back in the shade of the meadowlark
Like a champion
Get drunk to get laid
I take one more hit when you depart
I'll drive that stake through the center of my heart
Lonely vampire
Inhaling its fire
Im chasing the dragon too far
Theres blood on that blade
Fuck me, I'm falling apart
My assassin
Like Casper the ghost
Theres no shade in the shadow of the cross"
