,Artist,Album,Release Date,Lyrics
Somebody Else,The 1975,"I like it when you sleep, for you are so beautiful yet so unaware of it (Target Deluxe Edition)","{'year': 2016, 'month': 2, 'day': 16}","So I heard you found somebody else
And at first, I thought it was a lie
I took all my things that make sounds
The rest I can do without

I don't want your body
But I hate to think about you with somebody else
Our love has gone cold
You're intertwining your soul with somebody else
I'm looking through you
While you're looking through your phone
And then leaving with somebody else
No, I don't want your body
But I'm picturing your body with somebody else Else, else...)

I don't want your body, I don't want your body
I don't want your body, I don't want your body
I don't want your body, I don't want your body
I don't want your body, I don't want your body

And c'mon baby I know)
This ain't the last time that I'll see your face
And c'mon baby I know)
You said you'd find someone to take my place Place, place)
I just don't believe that you have got it in you
'Cause we are just gonna keep Doin' it” and every time
I start to believe in anything you're saying
I'm reminded that I should be gettin' over it

I don't want your body
But I hate to think about you with somebody else
Our love has gone cold
You're intertwining your soul with somebody else
I'm looking through you
While you're looking through your phone
And then leaving with somebody else
No, I don't want your body
But I'm picturing your body with somebody else Else, else...)

I don't want your body, I don't want your body
I don't want your body, I don't want your body
I don't want your body, I don't want your body
I don't want your body, I don't want your body

Get someone you love?
Get someone you need?
Fuck that, get money
I can't give you my soul, 'cause we're never alone
Get someone you love?
Get someone you need?
Fuck that, get money
I can't give you my soul, 'cause we're never alone
Get someone you love?
Get someone you need?
Fuck that, get money
I can't give you my soul, 'cause we're never alone
Get someone you love?
Get someone you need?
Fuck that, get money
I can't give you my soul, 'cause we're never alone
I don't want your body I don't want your body)
But I hate to think about you with somebody else
I don't want your body)
Our love has gone cold
You're intertwining your soul with somebody else
I don't want your body)
I'm looking through you
While you're looking through your phone
And then leaving with somebody else
I don't want your body)
No, I don't want your body I don't want your body)
But I'm picturing your body with somebody else
I don't want your body)"
Love It If We Made It,The 1975,A Brief Inquiry Into Online Relationships,"{'year': 2018, 'month': 7, 'day': 19}","We're fucking in a car, shooting heroin
Saying controversial things just for the hell of it
Selling melanin and then suffocate the black men
Start with misdemeanours and we'll make a business out of them
And we can find out the information
Access all the applications
That are hardening positions based on miscommunication
Oh, fuck your feelings
Truth is only hearsay
We're just left to decay
Modernity has failed us

And I'd love it if we made it
Yes, I'd love it if we made it
Yes, I'd love it if we made it
Yes, I'd love it if we made it

And poison me, daddy
I got the Jones right through my bones
Write it on a piece of stone
A beach of drowning threeyearolds
Rest in peace, Lil Peep
The poetry is in the streets
Jesus save us
Modernity has failed us

And I'd love it if we made it
Yes, I'd love it if we made it
Yes, I'd love it if we made it
Yes, I'd love it if we made it
And I'd love it if we made it
And I'd love it if we made it
And I'd love it if we made it
I'd love it if we made it
Tell me something I didn't know
Consultation
Degradation
Fossil fueling
Masturbation
Immigration
Liberal kitsch
Kneeling on a pitch

I moved on her like a bitch""
Excited to be indicted
Unrequited house with seven pools
Thank you, Kanye, very cool""
The war has been incited
And guess what, you're all invited
And you're famous
Modernity has failed us
And I'd love it if we made it
And I'd love it if we made it
And I'd love it if we made it
Tell me something I didn't know
And I'd love it if we made it
And I'd love it if we made it
And I'd love it if we made it
And I'd love it if we made it"
Robbers,The 1975,The 1975 (Deluxe),"{'year': 2013, 'month': 9, 'day': 2}","She had a face straight out a magazine
God only knows, but you'll never leave her
Her balaclava is starting to chafe
And when she gets his gun, he's begging, Babe, stay, stay
Stay, stay, stay""

I'll give you one more time
We'll give you one more fight
Said one more line
Will I know you?""

Now if you never shoot, you'll never know
And if you never eat, you'll never grow
You got a pretty kind of dirty face
And when she's leaving your home, she's begging you to stay, stay
Stay, stay, stay

I'll give you one more time
We'll give you one more fight
Said one more line
There'll be a riot 'cause I know you""

Well, now that you've got your gun
It's much harder now the police have come
And I'll shoot him if it's what you ask
But if you just take off your mask
You'd find out everything's gone wrong

Now everybody's dead
And they're driving past my old school
And he's got his gun, and he's got his suit on
And she says, Babe, you look so cool
You look so cool
You look so cool
You look so cool One more time)
You look so cool One more fight)
You look so cool One more line)""
('Cause I know you)"
Sex,The 1975,The 1975 (Deluxe),"{'year': 2012, 'month': 10, 'day': 5}","And this is how it starts
Take your shoes off in the back of my van
Yeah, my shirt looks so good
When it's just hanging off your back
And she said, Use your hands and my spare time
We got one thing in common, it's this tongue of mine""
She said, oh
She's got a boyfriend anyway

There's only minutes before I drop you off
All we seem to do is talk about sex
She's got a boyfriend anyway
She's got a boyfriend anyway
I loved your friend when I saw his film
He's got a funny face, but I like that 'cause he still looks cool
She's got a boyfriend anyway
She's got a boyfriend anyway

Now we're on the bed in my room
And I'm about to fill his shoes
But you say no, you say no
Does he take care of you?
Or could I easily fill his shoes?
But you say no, you say no

Now we're just outside of town
And you're making your way down
She's got a boyfriend anyway
She's got a boyfriend anyway
And I'm not trying to stop you, love
If we're gonna do anything, we might as well just fuck
She's got a boyfriend anyway
She's got a boyfriend anyway

Got your tongue pierced anyway
You in your hightops any day
You in your skinny jeans anyway
You and your fit friends anyway
I'd take them all out any day
They all got backcombs anyway
They all got boyfriends anyway"
Chocolate,The 1975,The 1975 (Deluxe),"{'year': 2013, 'month': 3, 'day': 4}","Hey now, call it a split because I know that you will
Ohoh, you bite your friend like chocolate
You said we go where nobody know
With guns hidden under our petticoat
No, we're never gonna quit it, no, we're never gonna quit it, no
Now we run, run away from the boys in the blue
Oh, my car smells like chocolate
Hey now, I think about what to do
I think about what to say, I think about how to think
Pause it, play it, pause it, play it, pause it

Oh, we go where nobody know
With guns hidden under our petticoats
No, we're never gonna quit it, no, we're never gonna quit it, no
Yeah, we're dressed in black from head to toe
We got guns hidden under our petticoat
No, we're never gonna quit it, no, we're never gonna quit it, no

Now you're never gonna quit it, now you're never gonna quit it
Now you're never gonna quit it if you don't stop smoking it
That's what she said
She said we're dressed in black, head to toe
With guns hidden under our petticoat
Mm, we're never gonna quit it, no, we're never gonna quit it, no

Hey now, we're building up speed as we're approaching the hill
Oh, my hair smells like chocolate
Hey now, you say you're gonna quit it, but you're never gonna quit it
Go get it, go get it, go get it, go get it, go
And play it cool

Oh, you said we go where nobody know
With guns hidden under our petticoat
No, we're never gonna quit it, no, we're never gonna quit it, no
Yeah, we're dressed in black from head to toe
We got guns hidden under our petticoat
We're never gonna quit it, no, we're never gonna quit it, no

Well, I think we better go
Seriously better go
Said the feds are here, you know
Seriously better go
Oh no, well, I think we better go
Said the feds are here, you know
Said Rebecca better know
Seriously better go

Hey)
We go where nobody know
Guns hidden under our petticoat
No, we're never gonna quit it, no, we're never gonna quit it, no
Yeah, we're dressed in black from head to toe
Guns hidden under our petticoat
No, we're never gonna quit it, no, we're never gonna quit it, no, no, no
Well, I think we better go
Seriously better go
Said the feds are here, you know
Seriously better go
Well, I think we better go
Said the feds are here, you know
Said Rebecca better know
Seriously better go"
Sincerity Is Scary,The 1975,A Brief Inquiry Into Online Relationships,"{'year': 2018, 'month': 9, 'day': 13}","And irony is okay, I suppose, culture is to blame
You try and mask your pain in the most postmodern way
You lack substance when you say something like, Oh, what a shame""
It's just a selfreferential way that stops you having to be human
I'm assuming you'll balloon when you remove the dirty spoon
And start consuming like a human, that's what I am assuming

I'm sure that you're not just another girl
I'm sure that you're gonna say that I was sexist
I feel like you're running out of all the things I liked you for

Why can't we be friends when we are lovers?
'Cause it always ends with us hating each other
Instead of calling me out, you should be pulling me in
I've just got one more thing to say

And why would you believe you could control how you're perceived
When at your best, you're intermediately versed in your own feelings?
Keep on putting off conceiving, it's only you that you're deceiving
Oh, don't have a child, don't cramp your style, I'll leave it

Why can't we be friends when we are lovers?
'Cause it always ends with us hating each other
Instead of calling me out, you should be pulling me in
I've just got one more thing to say

I'm just pissed off because you pied me off
After your show when you let go of my hand
In front of some sket who wanted bit on your—
Nah, I'm just messing"
Girls,The 1975,The 1975 (Deluxe),"{'year': 2013, 'month': 9, 'day': 2}","Bite your face to spite your nose
Seventeen and a half years old
Worrying about my brother finding out
Where's the fun in doing what you're told?

I said, No""
Oh, give it a rest, I could persuade you
I'm not your typical stoned eighteenyearold
Give me a night, I'll make you""
I know you're looking for salvation in the secular age
But girl, I'm not your saviour""
Wrestle to the ground
God help me now

'Cause they're just girls breaking hearts
And eyes bright, uptight, just girls
But she can't be what you need if she's seventeen
They're just girls
They're just girls

A pair of frozen hands to hold
Oh, she's so southern, so she feels the cold
One moment, I was tearing off your blouse
Now you're living in my house
What happened to just messing around?

I said, Yo, I think I better go
I can't take you""
You just sit and get stoned with thirtyyearolds
And you think you've made it""
Well, shouldn't you be fucking with somebody your age
Instead of making changes?""
Wrestle to the ground
God help me now

'Cause they're just girls breaking hearts
And eyes bright, uptight, just girls
But she can't be what you need if she's seventeen
They're just girls
They're just girls

I told her from the start
Destined to be hard
I told her from the start
I'll break your heart
Destined to be hard
Break your heart

I said, Yo, I think I better go
I can't take you
I know you're looking for salvation in the secular age
But girl, I'm not your saviour""
Well, shouldn't you be fucking with somebody your age
Instead of making changes?""
Wrestle to the ground
God help me now
'Cause they're just girls breaking hearts Girls)
And eyes bright, uptight, just girls
But she can't be what you need if she's seventeen
They're just girls
They're just girls
'Cause they're just girls breaking hearts
And eyes bright, uptight, just girls
But she can't be what you need if she's seventeen
They're just girls
They're just girls
'Cause they're just girls Girls)

Just girls)
Just girls)
Girls)
Just girls
They're just girls
Girls)
Oh)
Girls)
Just girls)
Just girls)"
It’s Not Living (If It’s Not With You),The 1975,A Brief Inquiry Into Online Relationships,"{'year': 2018, 'month': 10, 'day': 18}","Danny ran into some complications
He falls asleep during conversations
He's gotta search the street when he's on vacation
The worst thing is that I'm in the same situation

And all I do is sit and think about you
If I knew what you'd do
Collapse my veins, wearing beautiful shoes
It's not living if it's not with you

And Danny says we're living in a simulation
But he works in a petrol station Selling petrol)
He says it all began with his operation
And I know you think you're sly, but you need some imagination

And all I do is sit and think about you
If I knew what you'd do
Collapse my veins, wearing beautiful shoes
It's not living if it's not with you
All I do is sit and drink without you
If I choose, then I lose
Distract my brain from the terrible news
It's not living if it's not with you

I can't stop sweating or control my feet
Got a twentystone monkey that I just can't beat
I can stage a situation, but I just can't eat
And there's a feeling, you're replacing embrace

It's true that all I do is sit and think about you
If I knew what you'd do
Collapse my veins, wearing beautiful shoes
It's not living if it's not with you
All I do is sit and drink without you
If I choose, then I lose
Distract my brain from the terrible news
It's not living if it's not with you

Oh, and Johnny got a job in a bank, I think
And he spent the time trying to pack in the drinks for me
I feel sick and I know that I'll lose, but
It's not living if it's not with you
It's not, it's not)
It's not living if it's not with you
It's not, it's not)
It's not, it's not)
It's not living if it's not with you
It's not living if it's not with you)
It's not, it's not)
It's not, it's not)
It's not, it's not)
It's not living if it's not with you)"
About You,The 1975,Being Funny in a Foreign Language (Japanese Deluxe),"{'year': 2022, 'month': 10, 'day': 14}","I know a place
It's somewhere I go when I need to remember your face
We get married in our heads
Something to do while we try to recall how we met

Do you think I have forgotten?
Do you think I have forgotten?
Do you think I have forgotten
About you?

You and I Don't let go)
We're alive Don't let go)
With nothing to do, I could lay and just look in your eyes
Wait Don't let go)
And pretend Don't let go, oh)
Hold on and hope that we'll find our way back in the end In the end)

Do you think I havе forgotten?
Do you think I have forgotten?
Do you think I havе forgotten
About you?
Do you think I have forgotten?
Do you think I have forgotten?
Do you think I have forgotten
About you?

And there was something about you that now I can't remember
It's the same damn thing that made my heart surrender
And I'll miss you on a train, I'll miss you in the mornin'
I never know what to think about
I think about you Don't let go)
About you Don't let go)

Do you think I have forgotten
About you?
About you Don't let go, oh)
About you
About you
Do you think I have forgotten
About you?
About you Don't let go)"
A Change of Heart,The 1975,"I like it when you sleep, for you are so beautiful yet so unaware of it (Target Deluxe Edition)","{'year': 2016, 'month': 2, 'day': 22}","Are we awake?
Am I too old to be this stoned?
Was it your breasts from the start?
They played a part
For goodness sake
I wasn't told you'd be this cold
Now it's my time to depart
And I just had a change of heart

I'll quote On the Road"" like a twat
And wind my way out of the city
Finding a girl who is equally pretty won't be hard
Oh, I just had a change of heart


You smashed a glass into pieces
And that's around the time I left
And you were coming across as clever
Then you lit the wrong end of your cigarette
You said I'm full of diseases
Your eyes were full of regret
And then you took a picture of your salad
And put it on the Internet

And she said, I've been so worried about you lately
You look shit and you smell a bit
You're mad thinking you could ever save me
Not looking like that""

You used to have a face straight out of a magazine
Now you just look like anyone
I just had a change of heart
I feel as though I was deceived
I never found love in the city
I just sat in selfpity and cried in the car
Oh, I just had a change of heart

Then she said, I've been so worried 'bout you lately
You were fit, but you're losing it
You played a part, 'this is how it starts'""
Oh, I just had a change of heart
​
I just had a change of heart
I just had a change of heart
I just had a change of heart
Oh, I just had a change of heart
I just had a change of heart
I just had a change of heart
I just had a change of heart
I just had a change of heart"
