,Artist,Album,Release Date,Lyrics
The Mariner’s Revenge Song,The Decemberists,Picaresque,"{'year': 2005, 'month': 3, 'day': 22}","We are two mariners, our ships' sole survivors
In this belly of a whale
Its ribs our ceiling beams, its guts our carpeting
I guess we have some time to kill
You may not remember me, I was a child of three
And you, a lad of eighteen
But I remember you, and I will relate to you
How our histories interweave
At the time you were a rake and a roustabout
Spending all your money on the whores and hounds
Ohohhhhh

You had a charming air, all cheap and debonair
My widowed mother found so sweet
And so she took you in, her sheets still warm with him
Now filled with filth and foul disease
As time wore on, you proved a debtridden drunken mess
Leaving my mother a poor consumptive wretch
Ohohhhhh

And then you disappeared, your gambling arrears
The only thing you left behind
And then the magistrate reclaimed our small estate
And my poor mother lost her mind
Then, one day in Spring, my dear sweet mother died
But before she did, I took her hand as she, dying, cried:
Ohohhhhh

Find him, bind him
Tie him to a pole and break his fingers to splinters
Drag him to a hole until he wakes up, naked
Clawing at the ceiling of his grave""
Death rattle*

It took me fifteen years to swallow all my tears
Among the urchins in the street
Until a priory took pity and hired me
To keep their vestry nice and neat
But never once in the employ of these holy men
Did I ever once turn my mind from the thought of revenge
Ohohhhhh

One night I overheard the Prior exchanging words
With a penitent whaler from the sea
The captain of his ship, who matched you toe to tip
Was known for wanton cruelty
The following day, I shipped to sea with a privateer
And in the whistle of the wind I could almost hear...
Ohohhhhh

Find him, bind him
Tie him to a pole and break his fingers to splinters
Drag him to a hole until he wakes up, naked
Clawing at the ceiling of his grave""
There is one thing I must say to you
As you sail across the sea
Always, your mother will watch over you
As you avenge this wicked deed""

And then that fateful night, we had you in our sight
After twenty months at sea
Your starboard flank abeam, I was getting my muskets clean
When came this rumbling from beneath
The ocean shook, the sky went black, and the captain quailed
As before us grew the angry jaws of a giant whale
Oh, oh Screaming)
Oh Screaming)

Don't know how I survived, the crew all was chewed alive
I must have slipped between his teeth
But, oh, what providence, what divine intelligence!
That you should survive as well as me
It gives my heart great joy to see your eyes fill with fear
So lean in close and I will whisper the last words you'll hear
Oh, oh
"
Sons and Daughters,The Decemberists,The Crane Wife,"{'year': 2006, 'month': 10, 'day': 3}","When we arrive
Sons & daughters
We'll make our homes on the water
We'll build our walls aluminum
We'll fill our mouths with cinnamon now

These currents pull us 'cross the border
Steady your boats
Arms to shoulder
'Til tides all pull
Our hull aground
Making this cold harbour now home

Take up your arms
Sons and daughters
We will arise from the bunkers
By land, by sea, by dirigible
We'll leave our tracks untraceable now

When we arrive
Sons and daughters
We'll make our homes on the water
We'll build our walls aluminum
Sons and daughters)
We'll fill our mouths with cinnamon
We'll make our homes on the water)
We'll make our homes on the water
When we build our walls of aluminum)
We'll fill our mouths with cinnamon)

When we arrive
Sons and daughters
We'll make our homes on the water
We'll build our walls aluminum
Sons and daughters)
We'll fill our mouths with cinnamon
We'll make our homes on the water)
We'll make our homes on the water
When we build our walls of aluminum)
We'll fill our mouths with cinnamon)

When we arrive
Sons and daughters
We'll make our homes on the water
We'll build our walls aluminum
Sons and daughters)
We'll fill our mouths with cinnamon
We'll make our homes on the water)
We'll make our homes on the water
When we build our walls of aluminum)
We'll fill our mouths with cinnamon)
Now

Hear all the bombs fade away
Hear all the bombs fade away
Hear all the bombs fade away
Hear all the bombs fade away
Hear all the bombs fade away
Hear all the bombs fade away
Hear all the bombs fade away
Hear all the bombs fade away
Hear all the bombs fade away
Hear all the bombs) fade away
Hear all the bombs) fade away
Hear all the bombs) fade away
Hear all the bombs) fade away
Hear all the bombs) fade away
Hear all the bombs) fade away"
Severed,The Decemberists,I’ll Be Your Girl,"{'year': 2018, 'month': 1, 'day': 17}","I alight like a whisper
I alight with the lights out
And it won't take me long just to find you
And it won't take me long just to find you

I'm allied to the winter
But don't you get clever
Don't you get clever
I'm allied to the landslide
Gonna leave you all severed
Gonna leave you all severed

I alone am the answer
I alone will make wrongs right
But in order to root out the cancer
It's got to be kept from the sunlight

I'm allied to the winter
But don't you get clever
Don't you get clever
I'm allied to the landslide
Gonna leave you all severed
Gonna leave you all severed

I was born to a jackal
I was born in a whiteout
Gonna smother you all 'til I choke you
Gonna smother you all 'til you kick out

I'm allied to the winter
But don't you get clever
Don't you get clever
I'm allied to the landslide
Gonna leave you all severed
Gonna leave you all severed"
The Crane Wife 1 & 2,The Decemberists,The Crane Wife,"{'year': 2006, 'month': 10, 'day': 3}","And the snow lay round
I pulled my coat tight
Against the falling down
And the sun was all
And the sun was all down
And the sun was all
And the sun was all down
I am a poor man
I haven't wealth nor fame
I have my two hands
And a house to my name
And the winter's so
And the winter's so long
And the winter's so
And the winter's so long
And all the stars were crashing 'round
As I laid eyes on what I'd found
It was a white crane
It was a helpless thing
Upon a red stain
With an arrow in its wing
And it called and cried
And it called and cried so
And it called and cried
And it called and cried so
And all the stars were crashing 'round
As I laid eyes on what I'd found
My crane wife, my crane wife
My crane wife, my crane wife
And now I helped her
And now I dressed her wounds
And how I held her
Beneath the rising moon
And she stood to fly
And she stood to fly away
And she stood to fly
She stood to fly away
And all the stars were crashing 'round
As I laid eyes on what I'd found
My crane wife, my crane wife
My crane wife, my crane wife

My crane wife arrived at my door in the moonlight
All star bright and tonguetied I took her in
We were married and bells rang sweet for our wedding
And our bedding was ready when we fell in
Sound the keening bell
And see it's painted red
Soft as fontanelle
The feathers and the thread
And all I ever meant to do was to keep you
My crane wife
My crane wife
My crane wife
We were poorly, our fortunes fading hourly
And how she vowed me, she could bring it back
But I was greedy, I was vain and I forced her to weaving
On cold loom, in a closed room, with down wove
Sound the keening bell
And see it's painted red
Soft as fontanelle
The feathers and the thread
And all I ever meant to do was to keep you
My crane wife
My crane wife
My crane wife
There's a bend in the wind and it rakes at my heart
There is blood in the thread and it rakes at my heart
It rakes at my heart
My crane wife"
Ben Franklin’s Song,The Decemberists,Hamildrops,"{'year': 2017, 'month': 12, 'day': 15}","Electricity! Yeah, you can all thank me
Took some lightning, a kite, and a fat brass key
And they're putting up streetlights in Gay Paris
Youre welcome from our young nation
Im the only American the French wanna see
They call me a genius, I cant disagree
They have guns, they have funds
They can set us free, invest in my reputation

And do you know who the fuck I am?
Yeah, do you know who the fuck I am?
Do you know who the fuck I am?
I am PoorRichardsAlmanackwriting
Benjamin Fuckin’ Franklin

I said, early to bed, bitches, early to rise
They make a man healthy, wealthy, and wise
Soldiers are fighting for freedom, they have no supplies
So diplomacy happens at night
John Adams debates at the gates of Versailles
He whines and berates and awaits a reply
As I stay up late with a succulent breast or a thigh
Alright, diplomacy happens at night

And do you know who the fuck I am?
Yeah, do you know who the fuck I am?
Do you know who the fuck I am?
I am andIllStillKickYourAss Fuckin’ Franklin

One pain that lingers, the hitch in my stride
Is my son back at home who I could not guide
Who sits all alone in a prison cell on the wrong side
Stands against our young nation
So I play my ambassador part with pride
I am known in the world and the world is wide
To my children, my sins may be magnified
But Id do it all again, no hesitation

And do you know who the fuck I am?
Yeah, do you know who the fuck I am?
Do you know who the fuck I am?
I am PoorRichardsAlmanackwriting
Benjamin Fuckin’ Franklin
Do you know who the fuck I am?) Who the fuck I am?
Do you know who the fuck I am?) Who the fuck I am?
Do you know who the fuck I am?)
I am PoorRichardsAlmanackwriting
Polymath, bifocalwearing
Harp and glassarmonicaplaying
Benjamin Fuckin’ Franklin"
Here I Dreamt I Was an Architect,The Decemberists,Castaways and Cutouts,"{'year': 2002, 'month': 5, 'day': 21}","And here I dreamt I was a soldier
And I marched the streets of Birkenau
And I recall in spring
The perfume that the air would bring
To the indolent town
Where the barkers call the moon down
The carnival was ringing loudly now
And just to lay with you
There's nothing that I wouldn't do
Save lay my rifle down

And try one, and try two
Guess it always comes down to
Alright, it's okay
Guess it's better to turn this way
Hey, hey, hey, hey, hey
Hey, hey, heyy, hey

And I am nothing of a builder
But here I dreamt I was an architect
And I built this balustrade
To keep you home, to keep you safe
From the outside world
But the angles and the corners
Even though my work is unparalleled
They never seemed to meet
This structure fell about our feet
And we were free to go

And try one, and try two
Guess it always comes down to
Alright, okay
Guess it's better to turn this way
Hey, hey, hey, hey, hey
Hey, hey, heyy, hey

And here in Spain I am a Spaniard
I will be buried with my marionettes
Countess and courtesan
Have fallen 'neath my tender hand
When their husbands were not around
But you, my soiled teenage girlfriend
O' how you furrow like a lioness
And we are vagabonds
We travel without seatbelts on
To live this close to death

And try one, and try two
I guess it always comes down to
Alright, it's okay
Guess it's better to turn this
But I won, so you lose
Guess it always comes down to
Alright, it's okay
Guess it's better to turn this way
Hey, hey, hey, hey, hey
Hey, hey, heyy, hey"
Make You Better,The Decemberists,"What a Terrible World, What a Beautiful World","{'year': 2014, 'month': 11, 'day': 3}","I want you, thin fingers
I wanted you, thin fingernails
And when you bend backwards
I wanted you, I needed you
Ohoh, to make me better

I'll love you in springtime
I lost you when summer came
And when you pulled backwards
I wanted to, I needed to
Ohoh, to make me better
Ohoh, to make me better

But we're not so starryeyed anymore
Like the perfect paramour you were in your letters
And won't it all just come around to make you
Let it all unbreak you to the day you met her
But it'd make you better
It'd make you better

I sung you your twinges
I suffered you your tattletales
And when you broke sideways
I wanted you, I needed you
Ohoh, to make me better
Ohoh, to make me better

But we're not so starryeyed anymore
Like the perfect paramour you were in your letters
And won't it all just come around and make you
Let it all unbreak you to the day that you met her
And it'd make you better
Did it make you better?
Make you better, oh

And all I wanted was a sliver to call mine
And all I wanted was a shimmer in your shine
To make me bright

Cause we're not so starryeyed anymore
Like the perfect paramour you were in your letters
And won't it all just come around and make you
Let it all unbreak you to the day you met her
But it'd make you better
It'd make you better, oh"
The Crane Wife 3,The Decemberists,The Crane Wife,"{'year': 2006, 'month': 10, 'day': 3}","And under the boughs unbowed
All clothed in the snowy shroud
She had no heart so hardened
All under the boughs unbowed

Each feather it fell from skin
'Til thread bare while she grew thin
How were my eyes so blinded?
Each feather it fell from skin

And I will hang my head, hang my head low
And I will hang my head, hang my head low

A grey sky, a bitter sting
A rain cloud, a crane on wing
All out beyond horizon
A grey sky, a bitter sting

And I will hang my head, hang my head low
And I will hang my head, hang my head low
And I will hang my head, hang my head low
And I will hang my head, hang my head low
And I will hang my head, hang my head low
And I will hang my head, hang my head low, low, lowSee The Decemberists LiveGet tickets as low as $"
Down by the Water,The Decemberists,The King Is Dead,"{'year': 2011, 'month': 1, 'day': 14}","See where all the follies led
Down by the water and
Down by the old main drag
I was just some towhead teen
Feeling round for fingers to get in between
Down by the water and
Down by the old main drag
The season rubs me wrong
The summer swells anon
So knock me down, tear me up
But I would bear it all broken just to fill my cup
Down by the water and
Down by the old main drag
Sweet descend this rabble round
The pretty little patter of a seaport town
Rolling in the water and
Rolling down the old main drag
All dolled up in gabardine
The lashflashing Leda Of Pier Nineteen
Queen of the water and
Queen of the old main drag
The season rubs me wrong
The summer swells anon
So knock me down, tear me up
But I would bear it all broken just to fill my cup
Down by the water and
Down by the old main drag
The season rubs me wrong
The summer swells anon
So knock me down, tear me up
But I would bear it all broken just to fill my cup
Down by the water and
Down by the old main drag
Down by the water and
Down by the old main drag
Down by the water and
Down by the old main drag"
The Rake’s Song,The Decemberists,The Hazards of Love,"{'year': 2009, 'month': 3, 'day': 24}","I had entered into a marriage
In the summer of my twentyfirst year
And the bells rang for our wedding
Only now do I remember it clear

Alright, alright, alright

No more a rake and no more a bachelor
I was wedded and it whetted my thirst
Until her womb start spilling out babies
Only then did I reckon my curse

Alright, alright, alright
Alright, alright, alright

First came Isaiah with his crinkled little fingers
Then came Charlotte and that wretched girl Dawn
Ugly Myfanwy died on delivery
Mercifully taking her mother along

Alright, alright, alright

What can one do when one is widower
Shamefully saddled with three little pests?
All that I wanted was the freedom of a new life
So my burden I began to divest

Alright, alright, alright
Alright, alright, alright

Charlotte, I buried after feeding her foxglove
Dawn was easy, she was drowned in the bath
Isaiah fought but was easily bested
Burned his body for incurring my wrath

Alright, alright, alright

And that's how I came, your humble narrator
To be living so easy and free
Expect that you'd think that I should be haunted
But it never really bothers me

Alright, alright, alright
Alright, alright, alright"
