,Artist,Album,Release Date,Lyrics
The Alcott,The National,First Two Pages of Frankenstein,"{'year': 2023, 'month': 4, 'day': 28}","I get myself twisted in threads
To meet you at The Alcott
I'd go to the corner in the back
Where you'd always be
And there you are, sittin' as usual
With your golden notebook
Writin' something about someone
Who used to be me

And the last thing you wanted
Is the first thing I do
I tell you my problems
You tell me the truth
It's the last thing you wanted
It's the first thing I do
I tell you that I think I'm fallin'
Back in love with you

I sit there silently
Waitin' for you to look up Ah)
I see you smile
When you see it's me
I had to do something
To break into your golden thinking Ah)
How many times will I do this
And you'll still believe? Ah)

It's the last thing you wanted
Tell me, which side are you on, dear?)
It's the first thing you do
Give me some tips to forget you)
You tell me your problems
Have I become one of your problems?)
And I tell you the truth
Could it be easy this once?)
It's the last thing you wanted
Everything that's mine is a landmine)
It's the first thing I do
Did my love aid and abet you?)
I tell you that I think I'm fallin'
Back in love with you

And I'll ruin it all over
I'll ruin it for you
I'll ruin it all over
And over like I always do
I'll ruin it all over
Why don't you rain on my parade?)
I'll ruin it for you
Shred my evening gown)
I'll ruin it all over
Read my sentence out loud)
And over like I always do
('Cause I love this curse on our house)
It's the last thing I wanted
Tell me, which side are you on, dear?)
It's the first thing I do
Give me some tips to forget you)
I tell you my problems
Have I become one of your problems?)
And you tell me the truth
Could it be easy this once?)
It's the last thing I wanted
Everything that's mine is a landmine)
It's the first thing I do
Did my love aid and abet you?)
I tell you that I think I'm fallin'
Back in love Back in love)
Back in love with you

Back in love with you"
I Need My Girl,The National,Trouble Will Find Me,"{'year': 2014, 'month': 2, 'day': 3}","I am good, I am grounded
Davy says that I look taller
But I can't get my head around it
I keep feeling smaller and smaller
I need my girl
I need my girl

Remember when you lost your shit and
Drove the car into the garden?
You got out and said I'm sorry""
To the vines and no one saw it
I need my girl
I need my girl

I'm under the gun again
I know I was a percenter then
I know I was a lot of things

But I am good, I am grounded
Davy says that I look taller
But I can't get my head around it
I keep feeling smaller and smaller

I need my girl
I need my girl

There's some things that I should never
Laugh about in front of family
I tried to call you from the party
It's full of punks and cannonballers
I need my girl
I need my girl

I'm under the gun again
I know I was a percenter then
I know I was a lot of things

But I am good, and I am grounded
Davy says that I look taller
But I can't get my head around it
I keep feeling smaller and smaller
I keep feeling smaller and smaller
I keep feeling smaller and smaller"
Don’t Swallow the Cap,The National,Trouble Will Find Me,"{'year': 2013, 'month': 4, 'day': 22}","Gold light breaks behind the houses
I don't see what's strange about this
Tiny bubbles hang above me
It's a sign that someone loves me
I can hardly stand up right
I hit my head upon the light
I have faith but don't believe it
It's not there enough to leave it

Everything I love is on the table
Everything I love is out to sea

I have only two emotions
Careful fear and dead devotion
I can't get the balance right
With all my marbles in the fight
I see all the ones I went for
All the things I had it in for
I won't cry until I hear
'Cause I was not supposed to be here

Everything I love is on the table
Everything I love is out to sea

I'm not alone
I'll never be
And to the bone
I'm evergreen

I'm tired, I'm freezing, I'm dumb
When it gets so late I forget everyone
I need somewhere to stay
I don't think anybody I know is awake
Calm down, it's alright
Keep my arms the rest of the night
When they ask, what do I see?
I say a bright, white, beautiful heaven hanging over me

Ah
Ahahahah

I'm not alone
I'll never be
And to the bone
I'm evergreen
And if you want Dead seriously)
To see me cry Don't swallow the cap)
Play Let It Be"" Pat yourself on the back)
Or Nevermind"" Dead seriously)
Is it time to leave? Is it time to think about
What I wanna say to the girls at the door?
I need somewhere to be
But I can't get around the river in front of me
Calm down, it's alright
Leave my arms the rest of the night
When they ask, what do I see?
I say a bright, white, beautiful heaven hanging over me

Ah
Ahahahah

I'm not alone Dead seriously)
I'll never be Don't swallow the cap)
And to the bone Pat yourself on the back)
I'm evergreen Dead seriously)
And if you want Dead seriously)
To see me cry Don't swallow the cap)
Play Let It Be"" Pat yourself on the back)
Or Nevermind"" Dead seriously)"
Pink Rabbits,The National,Trouble Will Find Me,"{'year': 2013, 'month': 5, 'day': 17}","I couldn't find quiet, I went out in the rain
I was just soaking my head to unrattle my brain
Somebody said you disappeared in a crowd
I didn't understand then, I don't understand now

Am I the one you think about
When you're sitting in your fainting chair, drinking pink rabbits?
Am I the one you think about
When you're sitting in your fainting chair, drinking pink rabbits?

And everybody was gone
You were staring down the street 'cause you were trying not to crack up

It wasn't like a rain, it was more like a sea
I didn't ask for this pain, it just came over me
Well, I love a storm, but I don't love lightning
All the waters coming up so fast, it's frightening

Am I the one you think about
When you're sitting in your fainting chair, drinking pink rabbits?
Am I the one you think about
When you're sitting in your fainting chair, drinking pink rabbits?

And everybody was gone
I was staring down the street 'cause I was trying not to crack

I was solid gold, I was in the fight
I was coming back from what seemed like a ruin
I couldn't see you coming so far
I just turn around and there you are
I'm so surprised you want to dance with me now
I was just getting used to living life without you around
I'm so surprised you want to dance with me now
You always said I held you way too high off the ground
You didn't see me, I was falling apart
I was a white girl in a crowd of white girls in the park
You didn't see me, I was falling apart
I was a television version of a person with a broken heart
You didn't see me, I was falling apart
I was a white girl in a crowd of white girls in the park
You didn't see me, I was falling apart
I was a television version of a person with a broken heart

And everybody was gone
You were standing in the street 'cause you were trying not to crack up
And Bona Drag was still on
Now I only think about Los Angeles when the sound kicks out
Now I only think about Los Angeles when the sound kicks out
You said it would be painless
A needle in a doll
You said it would be painless
It wasn't that at all
You said it would be painless
A needle in a doll
You said it would be painless
It wasn't that at all When the sound kicks out)
You said it would be painless
A needle in a doll When the sound kicks out)
You said it would be painless
It wasn't that at all"
The Rains of Castamere,The National,Game of Thrones: Season 2 (Music from the HBO Series),"{'year': 2012, 'month': 6, 'day': 19}","And who are you?
The proud lord said
That I must bow so low
Only a cat of a different coat
That's all the truth I know

In a coat of gold or a coat of red
A lion still has claws
And mine are long and sharp, my lord
As long and sharp as yours

And so he spoke, and so he spoke
That lord of Castamere
But now the rains weep o'er his hall
With no one there to hear
Yes, now the rains weep o'er his hall
And not a soul to hear

And so he spoke, and so he spoke
That lord of Castamere
But now the rains weep o'er his hall
With no one there to hear
Yes, now the rains weep o'er his hall
And not a soul to hear"
This Is the Last Time,The National,Trouble Will Find Me,"{'year': 2013, 'month': 5, 'day': 17}","Oh, when I lift you up, you feel
Like a hundred times yourself
I wish everybody knew
What's so great about you
Oh, but your love is such a swamp
You don't think before you jump
And I said I wouldn't get sucked in, ahahahah

This is the last time

Oh, don't tell anyone I'm here
I got Tylenol and beer
I was thinking that you'd call
Somebody closer to you
Oh, but your love is such a swamp
You're the only thing I want
And I said I wouldn't cry about it, ahahahah

This is the last time
This is the last time

We were so under the brine
We were so vacant and kind
We were so under the brine
We were so vacant
We were so under the brine
We were so out of our minds
We were so under the brine
We were so vacant

Oh, when I lift you up, you feel
Like a hundred times yourself
I wish everybody knew
What's so great about you
Oh, but your love is such a swamp
You don't think before you jump
And I said I wouldn't get sucked in, ahahahah

And I won't be vacant anymore
I won't be waiting anymore
I won't be vacant anymore
I won't be waiting anymore
I won't be vacant anymore
I won't be waiting anymore
I won't be vacant anymore
I won't be waiting anymore

Jenny, I am in trouble
Can't get these thoughts out of me
Jenny, I'm seeing double
I know this changes everything
Jenny, I am in trouble
Can't get these thoughts out of me
Jenny, I'm seeing double
I know this changes everything
It takes a lot of pain to pick me up
It takes a lot of rain in the cup
It takes a lot of pain to pick me up
It takes a lot of rain in the cup
Baby, you gave me bad ideas
Baby, you left me sad and high"
The System Only Dreams in Total Darkness,The National,Sleep Well Beast,"{'year': 2017, 'month': 5, 'day': 11}","Oohoohoohoohooh
Oohooh

Maybe I listen more than you think
And I can tell that somebody sold you
We said we'd never let anyone in
We said we'd only die of lonely secrets

The system only dreams in total darkness
Why are you hidin' from me?
We're in a different kind of thing now
All night you're talkin' to God

I thought that this would all work out after a while
Now you're sayin' that I'm askin' for too much attention
Also no other faith is light enough for this place
We said we'd only die of lonely secrets

The system only dreams in total darkness
Why are you hidin' from me?
We're in a different kind of thing now
All night you're talkin' to God

And I cannot explain it, oh
Any other, any other way
I cannot explain it, oh
Any other, any other way


The system only dreams in total darkness
Why are you hidin' from me?
We're in a different kind of thing now
All night you're talkin' to God
And I cannot explain it, oh
Any other, any other way
I cannot explain it, oh
Any other, any other way
I cannot explain it, oh
Any other, any other way
I cannot explain it, oh
Any other, any other way"
Demons,The National,Trouble Will Find Me,"{'year': 2013, 'month': 4, 'day': 15}","When I think of you in the city
The sight of you among the sights
I get the sudden sinking feeling
Of a man about to fly
It never kept me up before
Now I've been awake for days
I can't fight it anymore
I'm going through an awkward phase
I am secretly in love with
Everyone that I grew up with
I do my crying underwater
I can't get down any farther
All my drowning friends can see
Now there is no running from it
It's become the crux of me
I wish that I could rise above it

But I stay down with my demons
I stay down with my demons

Bats and buzzards in the sky
Alligators in the sewers
I don't even wonder why
I hide among the younger viewers
I huddle with them all night long
The worried talk to God goes on
I sincerely tried to love it
I wish that I could rise above it

But I stay down with my demons
I stay down with my demons
I stay down with my demons
I stay down with my demons

Can I stay here? I can sleep on the floor
Paint the blood and hang the palms on the door
I do not think I'm going places anymore
I wanna see the sun come up above New York
Oh, every day I start so great, and then the sunlight dims
The less I look, the more I see the pythons in the limbs
I do not know what's wrong with me, the sour is in the cut
When I walk into a room, I do not light it up
Fuck

So I stay down with my demons
I stay down with my demons
I stay down with my demons
I stay down with my demons"
I Should Live in Salt,The National,Trouble Will Find Me,"{'year': 2013, 'month': 5, 'day': 17}","Don't make me read your mind
You should know me better than that
It takes me too much time
You should know me better than that
You're not that much like me
You should know me better than that
We have different enemies
But you should know me better than that

I should leave it alone, but you're not right
I should leave it alone, but you're not right

Can't you write it on the wall?
You should know me better than that
There's no room to write it all
You should know me better than that
Can you turn the TV down?
You should know me better than that
There's too much crying in the sound
I should know you better than that

I should leave it alone, but you're not right
I should leave it alone, but you're not right

I should live in salt for leaving you behind, behind

You think about something so much
You should know me better than that
Start to slide outta touch
You should know me better than that
Tell yourself it's only noise
You should know me better than that
Learn to appreciate the void
You should know me better than that

I should live in salt for leaving you behind, behind
I should live in salt for leaving you behind, behind

I should live in salt for leaving you behind, behind"
Graceless,The National,Trouble Will Find Me,"{'year': 2013, 'month': 8, 'day': 26}","Graceless
Is there a powder to erase this?
Is it dissolvable and tasteless?
You can't imagine how I hate this, graceless
I'm trying, but I'm graceless
I don't have the sunny side to face this
I am invisible and weightless
You can't imagine how I hate this, graceless

I'm trying, but I'm gone, through the glass again
Just come and find me
God loves everybody, don't remind me
I took the medicine and I went missing
Just let me hear your voice, just let me listen

Graceless
I figured out how to be faithless
But it would be a shame to waste this
You can't imagine how I hate this, graceless

I'm trying, but I'm gone, through the glass again
Just come and find me
God loves everybody, don't remind me
I took the medicine and I went missing
Just let me hear your voice, just let me listen

All of my thoughts of you
Bullets through rotten fruit
Come apart at the seams
Now I know what dying means
I am not my rosy self
Left my roses on my shelf
Take the white ones, they're my favorite
It's the side effects that save us

Grace
Put the flowers you find in a vase
If you're dead in the mind, it'll brighten the place
Don't let them die on the vine, it's a waste
Grace

There's a science to walking through windows
There's a science to walking through windows
There's a science to walking through windows
There's a science to walking through windows without you

All of my thoughts of you
Bullets through rotten fruit
Come apart at the seams
Now I know what dying means
I am not my rosy self
Left my roses on my shelf
Take the white ones, they're my favorite
It's the side effects that save us
Grace
Put the flowers you find in a vase
If you're dead in the mind, it'll brighten the place
Don't let 'em die on the vine, it's a waste
Grace
Grace
Put the flowers you find in a vase
If you're dead in the mind, it'll brighten the place
Don't let them die on the vine, it's a waste
Grace"
