,Artist,Album,Release Date,Lyrics
There Is a Light That Never Goes Out,The Smiths,The Queen is Dead,"{'year': 1986, 'month': 6, 'day': 16}","Take me out tonight
Where there's music and there's people
And they're young and alive
Driving in your car
I never, never want to go home
Because I haven't got one anymore
Take me out tonight
Because I want to see people
And I want to see lights
Driving in your car, oh, please don't drop me home
Because it's not my home, it's their home
And I'm welcome no more

And if a doubledecker bus crashes into us
To die by your side is such a heavenly way to die
And if a ten tonne truck kills the both of us
To die by your side, well, the pleasure, the privilege is mine

Take me out tonight
Take me anywhere
I don't care, I don't care, I don't care
And in the darkened underpass
I thought Oh God, my chance has come at last""
But then a strange fear gripped me and I just couldn't ask
Take me out tonight
Oh, take me anywhere
I don't care, I don't care, I don't care
Driving in your car, I never, never want to go home
Because I haven't got one
Ladeedum, oh, I haven't got one
Ohoh, ohohoh

And if a doubledecker bus crashes into us
To die by your side is such a heavenly way to die
And if a ten tonne truck kills the both of us
To die by your side, well, the pleasure, the privilege is mine

Oh, there is a light and it never goes out
There is a light and it never goes out
There is a light and it never goes out
There is a light and it never goes out
There is a light and it never goes out
There is a light and it never goes out
There is a light and it never goes out
There is a light and it never goes out"
This Charming Man,The Smiths,This Charming Man - Single,"{'year': 1983, 'month': 10, 'day': 31}","Punctured bicycle on a hillside desolate
Will nature make a man of me yet?
When in this charming car
This charming man
Why pamper life's complexity
When the leather runs smooth on the passenger seat?
I would go out tonight
But I haven't got a stitch to wear
This man said, It's gruesome
That someone so handsome should care""

Ah, a jumpedup pantry boy
Who never knew his place
He said, Return the ring""
He knows so much about these things
He knows so much about these things

I would go out tonight
But I haven't got a stitch to wear
This man said, It's gruesome
That someone so handsome should care""
Nanananananana
This charming man
Nanananananana
This charming man

Ah, a jumpedup pantry boy
Who never knew his place
He said, Return the ring""
He knows so much about these things
He knows so much about these things
He knows so much about these things"
I Know It’s Over,The Smiths,The Queen is Dead,"{'year': 1986, 'month': 6, 'day': 16}","Oh, Mother, I can feel
The soil falling over my head
And as I climb into an empty bed
Oh well, enough said

I know it's over, still I cling
I don't know where else I can go
Over

Oh, Mother, I can feel
The soil falling over my head
See, the sea wants to take me, the knife wants to slit me
Do you think you can help me?
Sad veiled bride, please be happy
Handsome groom, give her room
Loud, loutish lover, treat her kindly
Though she needs you more than she loves you

And I know it's over, still I cling
I don't know where else I can go
Over and over and over and over, over and over
I know it's over, and it never really began
But in my heart it was so real
And you even spoke to me, and said

If you're so funny
Then why are you on your own tonight?
And if you're so clever
Then why are you on your own tonight?
If you're so very entertaining
Then why are you on your own tonight?
If you're so very goodlooking
Why do you sleep alone tonight?
I know, 'cause tonight is just like any other night
That's why you're on your own tonight
With your triumphs and your charms
While they're in each other's arms""

It's so easy to laugh, it's so easy to hate
It takes strength to be gentle and kind
Over, over, over, over
It's so easy to laugh, it's so easy to hate
It takes guts to be gentle and kind
Over, over
Love is natural and real
But not for you, my love
Not tonight, my love
Love is natural and real
But not for such as you and I
My love
Oh, Mother, I can feel
The soil falling over my head, oh
Mother, I can feel
The soil falling over my head, oh
Mother, I can feel
The soil falling over my head
Mother, I can feel
The soil falling over my head
Oh, Mother, I can feel
The soil falling over my head
Oh, Mother, I can feel
The soil falling over my head
Oh, Mother, I can feel
The soil falling over my head, oh
Mother, I can feel
The soil falling over my head"
Heaven Knows I’m Miserable Now,The Smiths,The Smiths (Japan),"{'year': 1984, 'month': 5, 'day': 21}","I was happy in the haze of a drunken hour
But heaven knows I'm miserable now
I was looking for a job and then I found a job
And heaven knows I'm miserable now

In my life, why do I give valuable time
To people who don't care
If I live or die?

Two lovers entwined pass me by
And heaven knows I'm miserable now
I was looking for a job and then I found a job
And heaven knows I'm miserable now

In my life, oh, why do I give valuable time
To people who don't care
If I live or I die?

What she asked of me at the end of the day
Caligula would have blushed
Oh, you've been in the house too long"", she said
And I naturally fled

In my life, why do I smile
At people who I'd much rather
Kick in the eye?

I was happy in the haze of a drunken hour
But heaven knows I'm miserable now
Oh, you've been in the house too long"", she said
And I naturally fled

In my life, oh, why do I give valuable time
To people who don't care
If I live or I die?"
Bigmouth Strikes Again,The Smiths,The Queen is Dead,"{'year': 1986, 'month': 5, 'day': 22}","Sweetness, sweetness
I was only joking when I said
I'd like to smash every tooth in your head
Ohoh, sweetness, sweetness
I was only joking when I said
By rights you should be bludgeoned in your bed

And now I know how Joan of Arc felt
Now I know how Joan of Arc felt
As the flames rose to her Roman nose
And her Walkman started to melt Ah)

Bigmouth, ladadadada
Bigmouth ladadada
Bigmouth strikes again
And I've got no right to take my place
With the human race, oh, oh, ohoh
Bigmouth ladadadada
Bigmouth ladadada
Bigmouth strikes again
And I've got no right to take my place
With the human race

And now I know how Joan of Arc felt
Now I know how Joan of Arc felt Ohohoh)
As the flames rose to her Roman nose
And her hearing aid started to melt Ah)

Bigmouth, ladadadada
Bigmouth, ladadada
Bigmouth strikes again
And I've got no right to take my place
With the human race, oh, oh, oh, ohohoh
Bigmouth, ohohoh, haha
Bigmouth, ladadada
Bigmouth strikes again
And I've got no right to take my place
With the human race, oh, oh, oh, ohohoh
Bigmouth, ohohoh, haha
Bigmouth, ladadada
Bigmouth strikes again
And I've got no right to take my place
With the human race, oh, no, no, no, no, no
Bigmouth, ladadadada
Bigmouth, ladadada
Bigmouth strikes again
And I've got no right to take my place
With the human race, oh, oh, no, no, no"
How Soon Is Now?,The Smiths,Hatful of Hollow,"{'year': 1985, 'month': 1, 'day': 28}","
I am the son and the heir
Of a shyness that is criminally vulgar
I am the son and heir
Of nothing in particular

You shut your mouth, how can you say
I go about things the wrong way?
I am human and I need to be loved
Just like everybody else does

I am the son and the heir
Of a shyness that was criminally vulgar
I am the son and heir
Of nothing in particular

You shut your mouth, how can you say
I go about things the wrong way?
I am human and I need to be loved
Just like everybody else does


There's a club if you'd like to go
You could meet somebody who really loves you
So you go and you stand on your own
And you leave on your own
And you go home and you cry
And you want to die


When you say, It's gonna happen now""
Well, when exactly do you mean?
See I've already waited too long
And all my hope is gone


You shut your mouth, how can you say
I go about things the wrong way?
I am human and I need to be loved
Just like everybody else does"
This Night Has Opened My Eyes,The Smiths,Hatful of Hollow,"{'year': 1984, 'month': 11, 'day': 12}","In a river the color of lead
Immerse the baby's head
Wrap her up in The News Of The World
Dump her on a doorstep, girl
This night has opened my eyes
And I will never sleep again

You kicked and cried like a bullied child
A grown man of twentyfive
Oh, he said he'd cure your ills
But he didn't and he never will
Oh, save your life
Because you've only got one

The dream has gone
But the baby is real
Oh, you did a good thing
She could have been a poet
Or she could have been a fool
Oh, you did a bad thing
And I'm not happy and I'm not sad

A shoeless child on a swing
Reminds you of your own again
She took away your troubles
Oh, but then again, she left pain
Oh, please save your life
Because you've only got one

The dream has gone
But the baby is real
Oh, you did a good thing
She could have been a poet
Or she could have been a fool
Oh, you did a bad thing
And I'm not happy and I'm not sad

Oh, lala, oh, oh, lala
And I'm not happy and I'm not sad
Oh, lala, ohoh, oh, lala
And I'm not happy and I'm not sad"
The Queen is Dead,The Smiths,The Queen is Dead,"{'year': 1986, 'month': 6, 'day': 16}","Oh, take me back to dear old Blighty
Put me on the train for London Town
Take me anywhere, drop me anywhere
In Liverpool, Leeds or Birmingham, but I don't care
I should like to see—""


I don't bless them)
Farewell to this land's cheerless marshes
Hemmed in like a boar between archers
Her very lowness with her head in a sling
I'm truly sorry, but it sounds like a wonderful thing
I say, Charles, don't you ever crave
To appear on the front of the Daily Mail
Dressed in your mother's bridal veil?
Ohohohoh, ohohohohohoh)

And so I checked all the registered historical facts
And I was shocked into shame to discover
How I'm the eighteenth pale descendent
Of some old queen or other
Oh, has the world changed or have I changed?
Oh, has the world changed or have I changed?
Some nine year old tough who peddles drugs
I swear to God, I swear I never even knew what drugs were
Ohohohoh, ohohohohohoh)

So I broke into the Palace
With a sponge and a rusty spanner
She said, ""'Ey, I know you, and you cannot sing""
I said, That's nothing, you should hear me play piano""
We can go for a walk where it's quiet and dry
And talk about precious things
But when you are tied to your mother's apron
No one talks about castration
Ohohohoh, ohohohohoh)

We can go for a walk where it's quiet and dry
And talk about precious things
Like love and law and poverty, ohohoh, ohohoh
These are the things that kill me)
We can go for a walk where it's quiet and dry
And talk about precious things
But the rain that flattens my hair, ohohoh
These are the things that kill me)
All their lies about makeup and long hair are still there

Past the pub that saps your body
And the church who'll snatch your money
The Queen is dead, boys
And it's so lonely on a limb
Pass the pub that wrecks your body
And the church, all they want is your money
The Queen is dead, boys
And it's so lonely on a limb
Life is very long when you're lonely
Life is very long when you're lonely
Life is very long when you're lonely
Life is very long when you're lonely
"
"Please, Please, Please Let Me Get What I Want",The Smiths,Hatful of Hollow,"{'year': 1984, 'month': 8, 'day': 20}","Good times for a change
See, the luck I've had
Can make a good man turn bad

So please, please, please
Let me, let me, let me
Let me get what I want
This time

Haven't had a dream in a long time
See, the life I've had
Can make a good man bad

So, for once in my life
Let me get what I want
Lord knows it would be the first time
Lord knows it would be the first time"
Asleep,The Smiths,The World Won’t Listen,"{'year': 1985, 'month': 9, 'day': 16}","Sing me to sleep
Sing me to sleep
I'm tired and I
I want to go to bed
Sing me to sleep
Sing me to sleep
And then leave me alone
Don't try to wake me in the morning
'Cause I will be gone

Don't feel bad for me
I want you to know
Deep in the cell of my heart
I will feel so glad to go

Sing me to sleep
Sing me to sleep
I don't want to wake up
On my own anymore
Sing to me
Sing to me
I don't want to wake up
On my own anymore

Don't feel bad for me
I want you to know
Deep in the cell of my heart
I really want to go

There is another world
There is a better world
There must be
Well, there must be
Well, there must be
Well, there must be
Well
Bye, bye
Bye, bye
Bye"
