,Artist,Album,Release Date,Lyrics
Step,Vampire Weekend,Modern Vampires of the City (Japan CD),"{'year': 2013, 'month': 5, 'day': 14}","Every time I see you in the world, you always step to my girl

Back, back, way back I used to front like Angkor Wat
Mechanicsburg, Anchorage and Dar es Salaam
While home in New York was champagne and disco
Tapes from LA. slash San Francisco
But actually Oakland and not Alameda
Your girl was in Berkeley with her Communist reader
Mine was entombed within boombox and Walkman
I was a hoarder, but girl, that was back then

The gloves are off, the wisdom teeth are out
What you on about?
I feel it in my bones
I feel it in my bones
I'm stronger now, I'm ready for the house
Such a modest mouse
I can't do it alone
I can't do it alone

Every time I see you in the world
You always step to my girl
Ancestors told me that their girl was better
She's richer than Croesus, she's tougher than leather
I just ignore all the tales of her past life
Stale conversation deserves but a bread knife
And punks who would laugh when they saw us together
Well, they didn't know how to dress for the weather
I can still see them there, huddled on Astor
Snow falling slow to the sound of the master

The gloves are off, the wisdom teeth are out
What you on about?
I feel it in my bones
I feel it in my bones
I'm stronger now, I'm ready for the house
Such a modest mouse
I can't do it alone
I can't do it alone

Wisdom's a gift, but you'd trade it for youth
Age is an honor, it's still not the truth
We saw the stars when they hid from the world
You cursed the sun when it stepped to your girl
Maybe she's gone and I can't resurrect her
The truth is she doesn't need me to protect her
We know the true death, the true way of all flesh
Everyone's dying, but girl, you're not old yet
Gloves are off, the wisdom teeth are out
What you on about?
I feel it in my bones
I feel it in my bones
I'm stronger now, I'm ready for the house
Such a modest mouse
I can't do it alone
I can't do it alone
Gloves are off, the wisdom teeth are out
What you on about?
I feel it in my bones
I feel it in my bones
I'm stronger now, I'm ready for the house
Such a modest mouse
I can't do it alone
I can't do it alone

Every time I see you in the world
You always step to my girl"
Unbelievers,Vampire Weekend,Modern Vampires of the City (Japan CD),"{'year': 2013, 'month': 5, 'day': 13}","Got a little soul
The world is a cold, cold place to be
Want a little warmth
But who's going to save a little warmth for me?
We know the fire awaits unbelievers
All of the sinners the same
Girl, you and I will die unbelievers
Bound to the tracks of the train

If I'm born again
I know that the world will disagree
Want a little grace
But who's gonna say a little grace for me?

We know the fire awaits unbelievers
All of the sinners the same
Girl, you and I will die unbelievers
Bound to the tracks of the train

I'm not excited, but should I be?
Is this the fate that half of the world has planned for me?
I know I love you, and you love the sea
But what holy water contains a little drop, little drop for me?

See the sun go down
It's going on down and the night is deep
Want a little light
But who's gonna save a little light for me?

We know the fire awaits unbelievers
All of the sinners the same
Girl, you and I will die unbelievers
Bound to the tracks of the train

I'm not excited, but should I be?
Is this the fate that half of the world has planned for me?
I know I love you, and you love the sea
But what holy water contains a little drop, little drop for me?


I'm not excited, but should I be?
Is this the fate that half of the world has planned for me?
I know I love you, and you love the sea
But what holy water contains a little drop, little drop for me?"
Oxford Comma,Vampire Weekend,Vampire Weekend,"{'year': 2007, 'month': 6, 'day': 16}","Who gives a fuck about an Oxford comma?
I've seen those English dramas too; they're cruel
So if there's any other way to spell the word
It's fine with me, with me

Why would you speak to me that way?
Especially when I always said that I
Haven't got the words for you
All your diction dripping with disdain
Through the pain, I always tell the truth

Who gives a fuck about an Oxford comma?
I climbed to Dharamsala too, I did
I met the highest Lama
His accent sounded fine to me, to me

Take your handbook, it's no trick
Take the chapstick, put it on your lips
Crack a smile, adjust my tie
Know your boyfriend, unlike other guys

Why would you lie 'bout how much coal you have?
Why would you lie about something dumb like that?
Why would you lie 'bout anything at all?
First the window, then it's to the wall
Lil Jon, he always tells the truth


Check your passport, it's no trick
Take the chapstick, put it on your lips
Crack a smile, adjust my tie
Know your butler, unlike other guys

Why would you lie 'bout how much coal you have?
Why would you lie about something dumb like that?
Why would you lie 'bout anything at all?
First the window, then it's to the wall
Why would you tape my conversations?
Show your paintings at the United Nations
Lil Jon, he always tells the truth"
Hannah Hunt,Vampire Weekend,Modern Vampires of the City (Japan CD),"{'year': 2013, 'month': 5, 'day': 14}","A gardener told me some plants move
But I could not believe it
'Til me and Hannah Hunt
Saw crawling vines and weeping willows
As we made our way from Providence to Phoenix

A man of faith said hidden eyes
Could see what I was thinking
I just smiled and told him
That was only true of Hannah
And we glided on through Waverly and Lincoln

Our days were long, our nights no longer
Count the seconds, watching hours
Though we live on the US dollar
You and me, we got our own sense of time

In Santa Barbara, Hannah cried
I miss those freezing beaches""
And I walked into town
To buy some kindling for the fire
Hannah tore the New York Times up into pieces

If I can't trust you then damn it, Hannah
There's no future, there's no answer
Though we live on the US dollar
You and me, we got our own sense of time

If I can't trust you then damn it, Hannah
There's no future, there's no answer
Though we live on the US dollar
You and me, we got our own sense of time"
Diane Young,Vampire Weekend,Modern Vampires of the City (Japan CD),"{'year': 2013, 'month': 3, 'day': 19}","You torched a Saab like a pile of leaves
I'd gone to find some better wheels
Four, five meters runnin' 'round the bend
When the government agents surround you again

If Diane Young won't change your mind
Baby, baby, baby, baby, right on time

Out of control but you're playing a role
Do you think you can go til the th hole
Or will you flipflop the day of the championship?
Try to go a little long on your own for a bit

If Diane Young won't change your mind
Baby, baby, baby, baby, right on time
Baby, baby, baby, baby, right on
Baby, baby, baby, baby, right on
Radiate, iate, iate your light on
Radiate, iate, iate, iate a lifetime
Baby, baby, baby, baby, right on
Time, time, time, time, ttime, time
Baby, baby, baby, baby, right on time
Ooh, you let 'em go
DiDi, DiDiDiDi

If Diane Young won't change your mind
Baby, baby, baby, baby, right on time

Irish and proud, baby, naturally
But you got the luck of a Kennedy
So grab the wheel, keep on holdin' it tight
'Til you're tottering off into that goodnight

If Diane Young won't change your mind
Baby, baby, baby, baby, right on time

Baby, baby, baby, baby, right on
Baby, baby, baby, baby, right on
Radiate, iate, iate your light on
Radiate, iate, iate, iate a lifetime
Baby, baby, baby, baby, right on
Time, time, time, time, ttime, time
Baby, baby, baby, baby, right on time

Nobody knows what the future holds
And its bad enough just getting old
Live my life in selfdefense
You know I love the past, cause I hate suspense
If Diane Young won't change your mind
Baby, baby, baby, baby, right on time"
Harmony Hall,Vampire Weekend,Father of the Bride,"{'year': 2019, 'month': 1, 'day': 24}","We took a vow in summertime
Now we find ourselves in late December
I believe that New Year's Eve
Will be the perfect time for their great surrender
But they don't remember

Anger wants a voice, voices wanna sing
Singers harmonize 'til they can't hear anything
I thought that I was free from all that questionin'
But every time a problem ends, another one begins

And the stone walls of Harmony Hall bear witness
Anybody with a worried mind could never forgive the sight
Of wicked snakes inside a place you thought was dignified
I don't wanna live like this, but I don't wanna die

Ooh, ooh, ooh
I don't wanna live like this, but I don't wanna die

Within the halls of power lies a nervous heart that beats
Like a Young Pretender's
Beneath these velvet gloves I hide
The shameful, crooked hands of a moneylender
'Cause I still remember

Anger wants a voice, voices wanna sing
Singers harmonize 'til they can't hear anything
I thought that I was free from all that questionin'
But every time a problem ends, another one begins

And the stone walls of Harmony Hall bear witness
Anybody with a worried mind could never forgive the sight
Of wicked snakes inside a place you thought was dignified
I don't wanna live like this, but I don't wanna die

Ooh, ooh, ooh
I don't wanna live like this, but I don't wanna die


And the stone walls of Harmony Hall bear witness
Anybody with a worried mind could never forgive the sight
Of wicked snakes inside a place you thought was dignified
I don't wanna live like this, but I don't wanna die

Ooh, ooh, ooh
I don't wanna live like this, but I don't wanna die
And the stone walls of Harmony Hall bear witness
Anybody with a worried mind could never forgive the sight
Of wicked snakes inside a place you thought was dignified
I don't wanna live like this, but I don't wanna die"
Ya Hey,Vampire Weekend,Modern Vampires of the City (Japan CD),"{'year': 2013, 'month': 5, 'day': 3}","Oh, sweet thing
Zion doesn't love You
And Babylon don't love You
But You love everything
Oh, You saint
America don't love You
So I could never love You
In spite of everything

In the dark of this place
There's the glow of Your face
There's the dust on the screen
Of this broken machine
And I can't help but feel
That I've made some mistake
But I let it go
Ya Hey, Ya Hey, Ya Hey

Through the fire and through the flames
Ya Hey, Ya Hey)
Ut Deo, Ya Hey)
Ut Deo, Deo)
You won't even say Your name
Ya Hey, Ya Hey)
Ut Deo, Ya Hey)
Ut Deo, Deo)
Through the fire and through the flames
You won't even say Your name
Only I am that I am""
But who could ever live that way?
Ya Hey, Ya Hey)
Ut Deo, Ya Hey
Ut Deo, Deo

Oh, the motherland don't love You
The fatherland don't love You
So why love anything?
Oh, good God
The faithless, they don't love You
The zealous hearts don't love You
And that's not gonna change

All the cameras and files
All the paranoid styles
All the tension and fear
Of a secret career
And I can't help but feel
That You seen the mistakes
But You let it go
Ya Hey, Ya Hey, Ya Hey

Through the fire and through the flames
Ya Hey, Ya Hey)
Ut Deo, Ya Hey)
Ut Deo, Deo)
You won't even say Your name
Ya Hey, Ya Hey)
Ut Deo, Ya Hey)
Ut Deo, Deo)
Through the fire and through the flames
You won't even say Your name
You say, I am that I am""
But who could ever live that way?
Ya Hey, Ya Hey)
Ut Deo, Ya Hey
Ut Deo, Deo
Outside the tents
On the festival grounds
As the air began to cool
And the sun went down
My soul swooned
As I faintly heard the sound
Of You spinning Israelites""
Into th Nervous Breakdown""

Through the fire and through the flames
Ya Hey, Ya Hey)
Ut Deo, Ya Hey)
Ut Deo, Deo)
You won't even say Your name
Ya Hey, Ya Hey)
Ut Deo, Ya Hey)
Ut Deo, Deo)
Through the fire and through the flames
You won't even say Your name
Only I am what I am""
But who could ever live that way?
Ya Hey, Ya Hey)
Ut Deo, Ya Hey
Ut Deo, Deo
Through the fire and through the flames
You won't even say Your name
Only I am that I am""
But who could ever live that way?
Ya Hey, Ya Hey)
Ut Deo, Ya Hey
Ut Deo, Deo"
A-Punk,Vampire Weekend,Vampire Weekend,"{'year': 2007, 'month': 6, 'day': 16}","Johanna drove slowly into the city
The Hudson River all filled with snow
She spied the ring on His Honor's finger
Oh, oh, oh
A thousand years in one piece of silver
She took it from his lilywhite hand
Showed no fear, she'd seen the thing
In the young men's wing at SloanKettering

Look outside at the raincoats coming, say oh""
Look outside at the raincoats coming, say oh""

'Ey, 'ey, 'ey, 'ey!
'Ey, 'ey, 'ey!

His Honor drove southward, seeking exotica
Down to the pueblo huts of New Mexico
Cut his teeth on turquoise harmonicas
Oh, oh, oh
I saw Johanna down in the subway
She took an apartment in Washington Heights
Half of the ring lies here with me
But the other half's at the bottom of the sea

Look outside at the raincoats coming, say oh""
Look outside at the raincoats coming, say oh""
Look outside at the raincoats coming, say oh""
Look outside at the raincoats coming, say oh""

'Ey, 'ey, 'ey, 'ey!
'Ey, 'ey, 'ey, 'ey!"
Cape Cod Kwassa Kwassa,Vampire Weekend,Vampire Weekend,"{'year': 2007, 'month': 6, 'day': 16}","As a young girl, Louis Vuitton
With your mother on a sandy lawn
As a sophomore with reggaeton
And the linens you're sittin' on

Is your bed made, is your sweater on?
Do you want to fuck like you know I do?
Like you know I do, ooh, ooh, ooh, ooh, ooh, ooh
Ooh, ooh, ooh, ooh, ooh, ooh, ooh

But this feels so unnatural, Peter Gabriel too
But it feels so unnatural, Peter Gabriel

Can you stay up to see the dawn?
In the colors of Benetton

Is your bed made, is your sweater on?
Do you want to, like you know I do?
Like you know I do, ooh, ooh, ooh, ooh, ooh, ooh
Ooh, ooh, ooh, ooh, ooh, ooh, ooh

Feels so unnatural, Peter Gabriel too
But this feels so unnatural, Peter Gabriel

Ooh, ooh
Ooh, ooh

Is your bed made, is your sweater on?
Do you wanna, like you know I do?
Like you know I do, ooh, ooh, ooh, ooh, ooh, ooh
Ooh, ooh, ooh, ooh, ooh, ooh, ooh"
Finger Back,Vampire Weekend,Modern Vampires of the City (Japan CD),"{'year': 2013, 'month': 5, 'day': 13}","Bend my finger back, snap! Wrap it in a paper towel
Break a twig in half and set it straight
Beat me with a wood bat, hit me with a canister
That's fired while the soldiers drive away
Bend my finger back, snap
On and on and on and on for days
Hit me with a wood bat, hit me like a Yankee
Like a son of freedom, never as a slave

It's etiquette, you idiot, spend time behind the line
Show sympathy to LA where the sun don't ever shine
Everybody wants you, but baby, you are mine
And baby, you're not anybody's fool

Bless me with a heart attack, a real crise cardiaque
And show me where to find the surgeons knife
Eviscerate me now, hack! Take me to my punishment
The punishment I needed all my life
Bend my finger back, snap!
On and on and on and on with strife
Listen to my bum rap, listen to the evidence
Exonerating me from being right

It's etiquette, you idiot, spend time behind the line
Show sympathy to LA where the sun don't ever shine
Everybody wants you, but baby, you are mine
And baby, you're not anybody's fool

You know that Ive been wicked and the road to hell is wide
Cursed by curiosity that made us go inside
Everyone was charming but we took 'em for a ride
Baby, youre not anybodys fool

Bend my finger back, snap! Pack it in a paper towel
Break a twig in half and set it straight
Beat me with a wood bat, hit me with a canister
That's fired while the soldiers drive away
Bend my finger back, snap!
On and on and on and on for days
Hit me with a wood bat, hit me like a Yankee
Like a son of freedom, never as a slave

It's etiquette, you idiot, spend time behind the line
Show sympathy to LA where the sun don't ever shine
Everybody wants you, but baby, you are mine
And baby, you're not anybody's fool
The harpsichord is broken and the television's fried
The city's getting hotter like a country in decline
Everyone's a coward when you look them in the eyes
But baby, you're not anybody's fool

Sing Next Year in Jerusalem""
You know, the one at rd and Broadway?
'Cause this Orthodox girl fell in love
With the guy at the falafel shop
And why not? Should she have averted her eyes
And just stared at the laminated poster of the Dome of the Rock?

And then blood, blood, blood, blood, blood, blood, blood
And then blood, blood, blood
And then blood, blood, blood, blood, blood, blood, blood
And then blood, blood, blood, blood, blood

Remembrances of holy days in Tarrytown and Rye
I dont wanna live like this, but I dont wanna die
Condolences to gentle hearts who couldnt bear to try
I dont wanna live like this, but I dont wanna die
Remembrances of holy days in Tarrytown and Rye
I dont wanna live like this, but I dont wanna die"
